timestamp_ms,context_switches_sec,processes_created_sec
1505941345000,1522.54,10.45
1505941445000,1743.48,17.51
1505941545000,1119.84,0.70
1505941645000,1172.34,5.54
1505941745000,2118.73,40.25
1505941845000,2324.87,50.19
1505941945000,2516.38,160.60
1505942045000,1373.43,1.41
1505942145000,1385.97,2.15
1505942245000,1366.07,2.26
1505942345000,1376.59,2.11
1505942445000,1401.13,2.15
1505942545000,1346.47,1.43
1505942645000,1339.80,1.45
1505942745000,1361.95,1.65
1505942845000,1899.43,9.31
1505942945000,2430.87,14.51
1505943045000,3746.22,31.44
1505943145000,2604.12,11.96
1505943245000,3343.88,23.02
1505943345000,3706.04,24.94
1505943445000,3876.76,26.04
1505943545000,4088.14,26.69
1505943645000,4566.38,31.75
1505943745000,4925.31,34.24
1505943845000,5320.66,37.37
1505943945000,4266.67,20.20
1505944045000,5161.67,32.00
1505944145000,4886.15,25.94
1505944245000,5414.16,31.74
1505944345000,5187.44,28.11
1505944445000,5532.49,31.42
1505944545000,5047.36,24.68
1505944645000,6368.30,42.09
1505944745000,6147.94,37.32
1505944845000,6647.48,43.98
1505944945000,5695.86,29.88
1505945045000,5353.40,25.16
1505945145000,5711.87,29.21
1505945245000,5327.96,23.99
1505945345000,6367.76,38.10
1505945445000,5239.50,21.80
1505945545000,6024.82,33.06
1505945645000,5675.34,28.03
1505945745000,5742.90,28.21
1505945845000,6748.13,37.71
1505945945000,6199.09,32.20
1505946045000,6791.49,38.59
1505946145000,6807.16,40.05
1505946245000,6552.60,34.20
1505946345000,6623.25,40.83
1505946445000,5528.00,23.85
1505946545000,6079.70,29.51
1505946645000,6366.45,33.51
1505946745000,6005.28,28.91
1505946845000,6124.04,29.09
1505946945000,6056.16,29.59
1505947045000,6682.05,37.34
1505947145000,6286.25,31.96
1505947245000,5809.12,25.67
1505947345000,6868.43,38.15
1505947445000,6930.01,38.01
1505947545000,6295.63,26.78
1505947645000,7660.21,49.64
1505947745000,7500.35,45.85
1505947845000,6741.35,34.31
1505947945000,7543.78,49.01
1505948045000,6453.09,32.27
1505948145000,6922.96,43.85
1505948245000,5801.12,25.91
1505948345000,5709.53,26.18
