timestamp_ms,datagram_fragments_gen_sec,datagrams_delivered_sec,datagrams_fragmented_ok_sec,datagrams_output_requests_sec,datagrams_reassmbled_sec,fragments_rx_need_reassemble_sec,rx_datagrams_forwarded_sec,rx_datagrams_header_err_sec,rx_datagrams_invalid_addr_sec,rx_datagrams_nobuff_sec,rx_datagrams_reassmbly_fail_sec,rx_datagrams_sec,rx_datagrams_unknown_proto_sec,tx_datagrams_fragment_fail_sec,tx_datagrams_nobuff_sec,tx_datagrams_noroute_sec
1505941345000,0.00,206.55,0.00,189.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,206.55,0.00,0.00,0.00,0.00
1505941445000,0.00,194.50,0.00,179.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,194.50,0.00,0.00,0.00,0.00
1505941545000,0.00,10.64,0.00,10.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.64,0.00,0.00,0.00,0.00
1505941645000,0.00,19.21,0.00,19.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.21,0.00,0.00,0.00,0.00
1505941745000,0.00,76.06,0.00,78.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.06,0.00,0.00,0.00,0.00
1505941845000,0.00,67.88,0.00,70.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.88,0.00,0.00,0.00,0.00
1505941945000,0.00,13.15,0.00,13.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.15,0.00,0.00,0.00,0.00
1505942045000,0.00,3.48,0.00,3.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.48,0.00,0.00,0.00,0.00
1505942145000,0.00,3.32,0.00,3.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.32,0.00,0.00,0.00,0.00
1505942245000,0.00,3.56,0.00,3.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.56,0.00,0.00,0.00,0.00
1505942345000,0.00,3.45,0.00,3.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00
1505942445000,0.00,3.74,0.00,3.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.74,0.00,0.00,0.00,0.00
1505942545000,0.00,3.27,0.00,3.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.27,0.00,0.00,0.00,0.00
1505942645000,0.00,3.34,0.00,3.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.34,0.00,0.00,0.00,0.00
1505942745000,0.00,3.32,0.00,3.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.32,0.00,0.00,0.00,0.00
1505942845000,0.00,10.61,0.00,10.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.61,0.00,0.00,0.00,0.00
1505942945000,0.00,15.50,0.00,16.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.50,0.00,0.00,0.00,0.00
1505943045000,0.00,35.42,0.00,38.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.42,0.00,0.00,0.00,0.00
1505943145000,0.00,20.68,0.00,22.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.68,0.00,0.00,0.00,0.00
1505943245000,0.00,34.54,0.00,36.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.54,0.00,0.00,0.00,0.00
1505943345000,0.00,43.47,0.00,45.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.47,0.00,0.00,0.00,0.00
1505943445000,0.00,50.68,0.00,53.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.68,0.00,0.00,0.00,0.00
1505943545000,0.00,56.63,0.00,59.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.63,0.00,0.00,0.00,0.00
1505943645000,0.00,74.78,0.00,76.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.78,0.00,0.00,0.00,0.00
1505943745000,0.00,92.19,0.00,93.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.19,0.00,0.00,0.00,0.00
1505943845000,0.00,94.97,0.00,96.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.97,0.00,0.00,0.00,0.00
1505943945000,0.00,62.23,0.00,63.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.23,0.00,0.00,0.00,0.00
1505944045000,0.00,96.21,0.00,98.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.21,0.00,0.00,0.00,0.00
