timestamp_ms,all_interrupts
1505941345000,2193.85
1505941445000,2581.68
1505941545000,1214.05
1505941645000,1337.52
1505941745000,2850.54
1505941845000,3051.97
1505941945000,2971.27
1505942045000,1441.62
1505942145000,1443.76
1505942245000,1415.88
1505942345000,1429.45
1505942445000,1458.42
1505942545000,1381.19
1505942645000,1375.28
1505942745000,1404.80
1505942845000,2036.78
1505942945000,2674.47
1505943045000,4114.61
1505943145000,2807.04
1505943245000,3712.11
1505943345000,4144.36
1505943445000,4284.35
1505943545000,4644.52
1505943645000,5192.68
1505943745000,5810.07
1505943845000,6171.67
1505943945000,4701.18
1505944045000,5993.53
1505944145000,5864.58
1505944245000,6297.54
1505944345000,6109.57
1505944445000,6560.79
1505944545000,6248.82
1505944645000,7940.12
1505944745000,7867.67
1505944845000,8919.78
1505944945000,7290.69
1505945045000,7170.65
1505945145000,7762.49
1505945245000,7508.44
1505945345000,8813.69
1505945445000,7350.13
1505945545000,8619.76
1505945645000,8218.74
1505945745000,8535.52
1505945845000,10368.31
1505945945000,9471.84
1505946045000,10785.19
1505946145000,10969.11
1505946245000,10666.26
1505946345000,10407.77
1505946445000,8854.92
1505946545000,10873.42
1505946645000,11283.52
1505946745000,9844.52
1505946845000,11384.99
1505946945000,10864.74
1505947045000,11918.37
1505947145000,11684.20
1505947245000,11811.20
1505947345000,13026.76
1505947445000,13929.79
1505947545000,13926.95
1505947645000,15941.72
1505947745000,15767.38
1505947845000,15392.89
1505947945000,17942.90
1505948045000,14273.43
1505948145000,16463.02
1505948245000,13250.12
1505948345000,14369.52
