timestamp_ms,cpu_00,cpu_01,cpu_02,cpu_03
1505941345000,2.78,18.29,2.49,4.47
1505941445000,19.96,9.94,4.15,6.77
1505941545000,0.49,0.37,0.36,0.33
1505941645000,0.54,4.3,0.91,1.12
1505941745000,2.06,8.22,6.56,8.08
1505941845000,2.81,3.7,6.08,8.55
1505941945000,2.4,2.36,3.28,3.62
1505942045000,0.4,0.45,0.37,0.35
1505942145000,0.47,0.46,0.43,0.47
1505942245000,0.51,0.48,0.36,0.44
1505942345000,0.53,0.41,0.4,0.42
1505942445000,0.51,0.58,0.57,0.51
1505942545000,0.4,0.42,0.36,0.4
1505942645000,0.4,0.41,0.35,0.39
1505942745000,0.45,0.43,0.32,0.47
1505942845000,1.12,1.06,0.9,1.09
1505942945000,1.64,1.68,1.58,1.7
1505943045000,3.63,3.49,3.27,3.42
1505943145000,2.24,2.33,2.02,2.03
1505943245000,3.56,3.46,3,3.24
1505943345000,3.94,4.35,4.05,3.94
1505943445000,4.66,4.53,4.38,4.28
1505943545000,5.4,5.09,5.06,5.01
1505943645000,6.72,6.44,6.67,6.88
1505943745000,7.7,8.04,7.12,7.64
1505943845000,9.4,8.92,8.44,8.65
1505943945000,6.46,6.76,5.84,5.99
1505944045000,9.49,8.31,8.52,8.32
1505944145000,9.26,8.54,9.07,7.95
1505944245000,9.85,11.12,10.11,9.54
1505944345000,9.96,11.65,9.97,9.94
1505944445000,10.94,10.51,10.86,10.96
1505944545000,11.62,10.8,10.6,10.52
1505944645000,14.95,14.53,14.91,13.81
1505944745000,16.26,17.69,15.13,13.52
1505944845000,17.6,18.65,17.01,16.85
1505944945000,13.24,14.55,13.68,13.34
1505945045000,13.73,13.96,12.92,12.12
1505945145000,14.89,16.4,15.73,14.33
1505945245000,15.35,14.8,16.2,14.9
1505945345000,18.66,16.13,16.83,17.18
1505945445000,14.29,14.54,13.54,13
1505945545000,19.62,15.48,15.43,15.26
1505945645000,16.93,16.68,15.4,16.25
1505945745000,16.26,17.31,16.73,15.27
1505945845000,20.13,20.07,18.44,18.71
1505945945000,18.52,17.43,19.15,17.85
1505946045000,20.56,22.49,23.02,19.87
1505946145000,24.92,25.61,25.03,25.92
1505946245000,23.68,22.45,22.77,22.52
1505946345000,18.26,18.51,20.78,19.85
1505946445000,19.12,17.89,17.47,17.65
1505946545000,20.96,20.46,20.02,20.78
1505946645000,20.49,21.02,21.13,21.18
1505946745000,20.25,21.17,24.22,20.99
1505946845000,22.27,22.45,21.98,21.94
1505946945000,22.07,20.77,21.44,22.34
1505947045000,23.68,23.16,22.78,23.81
1505947145000,24.58,24.54,22.17,23.12
1505947245000,23.45,24.09,23.06,22.66
1505947345000,27.93,27.03,26.22,25.78
1505947445000,27.17,27.13,27.52,25.78
1505947545000,24.63,27.06,25.13,27.14
1505947645000,31.16,31.54,30.18,31.23
1505947745000,31.18,30.88,30.08,30.12
1505947845000,30.11,30.43,28.64,29.84
1505947945000,38.43,38.85,43.21,40.78
1505948045000,26.52,26.22,27.11,27.2
1505948145000,29.97,29.69,31.2,31.1
1505948245000,23.23,24.18,24,24.32
1505948345000,24.26,25.25,24.79,25.79
