timestamp_ms,rx_datagrams_discard_no_dest_port_sec,rx_datagrams_discard_other_error,rx_datagrams_sec,tx_datagrams_sec
1505941345000,0.00,0.00,7.19,7.19
1505941445000,0.00,0.00,12.68,12.68
1505941545000,0.00,0.00,0.09,0.09
1505941645000,0.00,0.00,3.37,3.37
1505941745000,0.00,0.00,28.09,28.09
1505941845000,0.00,0.00,31.31,31.30
1505941945000,0.00,0.00,7.47,7.47
1505942045000,0.00,0.00,0.14,0.14
1505942145000,0.00,0.00,0.02,0.02
1505942245000,0.00,0.00,0.02,0.02
1505942345000,0.00,0.00,0.02,0.02
1505942445000,0.00,0.00,0.02,0.02
1505942545000,0.00,0.00,0.01,0.01
1505942645000,0.00,0.00,0.03,0.03
1505942745000,0.00,0.00,0.01,0.01
1505942845000,0.00,0.00,1.17,1.19
1505942945000,0.00,0.00,1.53,1.56
1505943045000,0.00,0.00,4.11,4.19
1505943145000,0.00,0.00,1.03,1.05
1505943245000,0.00,0.00,2.57,2.62
1505943345000,0.00,0.00,3.10,3.16
1505943445000,0.00,0.00,3.09,3.15
1505943545000,0.00,0.00,3.13,3.19
1505943645000,0.00,0.00,3.56,3.63
1505943745000,0.00,0.00,4.53,4.61
1505943845000,0.00,0.00,4.58,4.67
1505943945000,0.00,0.00,1.58,1.61
1505944045000,0.00,0.00,3.13,3.20
1505944145000,0.00,0.00,2.54,2.58
1505944245000,0.00,0.00,3.09,3.15
1505944345000,0.00,0.00,2.52,2.57
1505944445000,0.00,0.00,3.10,3.16
1505944545000,0.00,0.00,1.55,1.58
1505944645000,0.00,0.00,4.60,4.69
1505944745000,0.00,0.00,3.53,3.60
1505944845000,0.00,0.00,4.15,4.23
1505944945000,0.00,0.00,2.54,2.59
1505945045000,0.00,0.00,1.56,1.59
1505945145000,0.00,0.00,2.04,2.08
1505945245000,0.00,0.00,1.01,1.03
1505945345000,0.00,0.00,3.58,3.65
1505945445000,0.00,0.00,0.54,0.55
1505945545000,0.00,0.00,2.53,2.58
1505945645000,0.00,0.00,1.54,1.57
1505945745000,0.00,0.00,1.55,1.58
1505945845000,0.00,0.00,3.10,3.16
1505945945000,0.00,0.00,2.06,2.10
1505946045000,0.00,0.00,3.07,3.13
1505946145000,0.00,0.00,3.06,3.12
1505946245000,0.00,0.00,2.04,2.08
1505946345000,0.00,0.00,3.59,3.67
1505946445000,0.00,0.00,0.54,0.54
1505946545000,0.00,0.00,1.05,1.08
1505946645000,0.00,0.00,2.07,2.10
1505946745000,0.00,0.00,1.01,1.03
1505946845000,0.00,0.00,1.01,1.03
1505946945000,0.00,0.00,1.00,1.02
1505947045000,0.00,0.00,2.54,2.59
1505947145000,0.00,0.00,1.52,1.55
1505947245000,0.00,0.00,0.00,0.00
1505947345000,0.00,0.00,2.05,2.10
1505947445000,0.00,0.00,2.56,2.60
1505947545000,0.00,0.00,0.02,0.02
1505947645000,0.00,0.00,4.11,4.20
1505947745000,0.00,0.00,3.56,3.62
1505947845000,0.00,0.00,1.04,1.06
1505947945000,0.00,0.00,3.58,3.65
1505948045000,0.00,0.00,1.02,1.04
1505948145000,0.00,0.00,3.07,3.13
1505948245000,0.00,0.00,0.00,0.00
1505948345000,0.00,0.00,0.00,0.00
