timestamp_ms,docker_vg-docker--root--lv-read,docker_vg-docker--root--lv-write,xvda-read,xvda-write,xvdb-read,xvdb-write
1505941845000,0.00,0.00,0.01,0.63,0.00,0.00
1505942445000,0.00,0.00,0.00,1.80,0.00,0.00
1505943045000,0.00,0.00,0.00,0.12,0.00,0.14
1505943645000,0.00,0.00,0.00,0.43,0.00,0.40
1505944245000,0.00,0.00,0.01,1.34,0.00,0.53
1505944845000,0.00,0.00,0.00,1.57,0.00,0.79
1505945445000,0.00,0.00,0.00,1.86,0.00,0.41
1505946045000,0.00,0.00,0.00,2.00,0.00,0.53
1505946645000,0.00,0.00,0.00,1.57,0.00,0.52
1505947245000,0.00,0.00,0.00,1.54,0.00,0.29
1505947845000,0.00,0.00,0.00,1.67,0.00,0.55
