95.07MB of 95.07MB total (  100%)
Dropped 1551 nodes (cum <= 0.48MB)
      flat  flat%   sum%        cum   cum%
   20.50MB 21.56% 21.56%    20.50MB 21.56%  runtime.rawstringtmp
   15.58MB 16.38% 37.95%    15.58MB 16.38%  runtime.hashGrow
   11.50MB 12.10% 50.05%    27.08MB 28.48%  runtime.mapassign
    7.22MB  7.59% 57.64%     7.22MB  7.59%  bytes.makeSlice
    6.01MB  6.32% 63.96%     7.01MB  7.37%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    5.56MB  5.85% 69.81%     5.56MB  5.85%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    4.03MB  4.24% 74.05%     4.03MB  4.24%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
    1.55MB  1.63% 75.68%     1.55MB  1.63%  regexp.(*bitState).reset
    1.51MB  1.59% 77.26%     1.51MB  1.59%  runtime.makemap
    1.50MB  1.58% 78.84%     1.50MB  1.58%  reflect.unsafe_New
    1.50MB  1.58% 80.42%     1.50MB  1.58%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodStatus
    1.50MB  1.58% 82.00%        2MB  2.10%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
       1MB  1.06% 83.05%     6.57MB  6.91%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
       1MB  1.05% 84.11%        1MB  1.05%  regexp/syntax.(*compiler).rune
       1MB  1.05% 85.16%        2MB  2.10%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodSpec
       1MB  1.05% 86.21%        1MB  1.05%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.newRawContainerHandler
       1MB  1.05% 87.26%        1MB  1.05%  reflect.unsafe_NewArray
    0.79MB  0.83% 88.10%     0.79MB  0.83%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.69MB  0.73% 88.82%     0.69MB  0.73%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*parser).recvMsg
    0.62MB  0.65% 89.48%     0.62MB  0.65%  runtime.makechan
    0.50MB  0.53% 90.00%     0.50MB  0.53%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/printers.(*HumanReadablePrinter).HandledResources
    0.50MB  0.53% 90.53%     0.50MB  0.53%  github.com/openshift/origin/vendor/k8s.io/apimachinery/third_party/forked/golang/json.typeFields
    0.50MB  0.53% 91.06%        1MB  1.05%  crypto/x509.parseCertificate
    0.50MB  0.53% 91.58%     0.50MB  0.53%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl.ResourceAliases
    0.50MB  0.53% 92.11%     0.50MB  0.53%  github.com/openshift/origin/vendor/github.com/google/cadvisor/utils.(*TimedStore).Add
    0.50MB  0.53% 92.64%     0.50MB  0.53%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl/cmd/config.NewCmdConfigUseContext
    0.50MB  0.53% 93.16%     0.50MB  0.53%  runtime.malg
    0.50MB  0.53% 93.69%     0.50MB  0.53%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PodSpec).Unmarshal
    0.50MB  0.53% 94.21%     0.50MB  0.53%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*EndpointSubset).Unmarshal
    0.50MB  0.53% 94.74%     3.50MB  3.68%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.newDockerContainerHandler
    0.50MB  0.53% 95.27%     0.50MB  0.53%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).newStream
    0.50MB  0.53% 95.79%     0.50MB  0.53%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/volume/secret.(*secretPlugin).NewMounter
    0.50MB  0.53% 96.32%     0.50MB  0.53%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
    0.50MB  0.53% 96.84%     0.50MB  0.53%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_SecurityContext
    0.50MB  0.53% 97.37%        5MB  5.26%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.containerToRuntimeAPISandbox
    0.50MB  0.53% 97.90%     0.50MB  0.53%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/kuberuntime.(*kubeGenericRuntimeManager).generatePodSandboxConfig
    0.50MB  0.53% 98.42%     0.50MB  0.53%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/volume.(*metricsDu).getFsInfo
    0.50MB  0.53% 98.95%        5MB  5.26%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*Container).Unmarshal
    0.50MB  0.53% 99.47%     0.50MB  0.53%  runtime.convT2E
    0.50MB  0.53%   100%     0.50MB  0.53%  errors.New
         0     0%   100%     4.90MB  5.15%  bytes.(*Buffer).ReadFrom
         0     0%   100%     0.79MB  0.83%  bytes.(*Buffer).Write
         0     0%   100%     1.53MB  1.61%  bytes.(*Buffer).WriteString
         0     0%   100%     2.32MB  2.44%  bytes.(*Buffer).grow
         0     0%   100%     1.50MB  1.58%  crypto/tls.(*Conn).Handshake
         0     0%   100%     1.50MB  1.58%  crypto/tls.(*Conn).clientHandshake
         0     0%   100%     1.50MB  1.58%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0%   100%     1.50MB  1.58%  crypto/x509.(*CertPool).AppendCertsFromPEM
         0     0%   100%     1.50MB  1.58%  crypto/x509.(*Certificate).Verify
         0     0%   100%     1.50MB  1.58%  crypto/x509.ParseCertificate
         0     0%   100%     1.50MB  1.58%  crypto/x509.initSystemRoots
         0     0%   100%     1.50MB  1.58%  crypto/x509.loadSystemRoots
         0     0%   100%     1.50MB  1.58%  crypto/x509.systemRootsPool
         0     0%   100%        1MB  1.05%  encoding/asn1.Unmarshal
         0     0%   100%        1MB  1.05%  encoding/asn1.UnmarshalWithParams
         0     0%   100%        1MB  1.05%  encoding/asn1.parseField
         0     0%   100%        1MB  1.05%  encoding/asn1.parseSequenceOf
         0     0%   100%     7.50MB  7.89%  encoding/json.(*Decoder).Decode
         0     0%   100%     5.50MB  5.79%  encoding/json.(*decodeState).array
         0     0%   100%        4MB  4.21%  encoding/json.(*decodeState).literal
         0     0%   100%        4MB  4.21%  encoding/json.(*decodeState).literalStore
         0     0%   100%     7.50MB  7.89%  encoding/json.(*decodeState).object
         0     0%   100%     7.50MB  7.89%  encoding/json.(*decodeState).unmarshal
         0     0%   100%     7.50MB  7.89%  encoding/json.(*decodeState).value
         0     0%   100%     0.51MB  0.53%  github.com/openshift/origin/pkg/api/install.init
         0     0%   100%     0.54MB  0.56%  github.com/openshift/origin/pkg/api/legacy.InstallLegacy
         0     0%   100%     0.54MB  0.56%  github.com/openshift/origin/pkg/authorization/apis/authorization.addLegacyKnownTypes
         0     0%   100%     0.54MB  0.56%  github.com/openshift/origin/pkg/authorization/apis/authorization/install.init
         0     0%   100%     0.54MB  0.56%  github.com/openshift/origin/pkg/authorization/apis/authorization/install.init.1
         0     0%   100%     0.54MB  0.56%  github.com/openshift/origin/pkg/authorization/generated/internalclientset/scheme.init
         0     0%   100%     0.54MB  0.56%  github.com/openshift/origin/pkg/authorization/generated/internalclientset/typed/authorization/internalversion.init
         0     0%   100%     0.51MB  0.53%  github.com/openshift/origin/pkg/client/testclient.init
         0     0%   100%     2.57MB  2.71%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0%   100%        4MB  4.21%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
         0     0%   100%        4MB  4.21%  github.com/openshift/origin/pkg/cmd/openshift.NewCommandOpenShift
         0     0%   100%     8.63MB  9.07%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0%   100%     0.51MB  0.53%  github.com/openshift/origin/pkg/cmd/server/api/install.init
         0     0%   100%     0.51MB  0.53%  github.com/openshift/origin/pkg/cmd/server/api/v1.init
         0     0%   100%     0.51MB  0.53%  github.com/openshift/origin/pkg/cmd/server/bootstrappolicy.init
         0     0%   100%     1.63MB  1.71%  github.com/openshift/origin/pkg/cmd/server/kubernetes/node.(*NodeConfig).RunKubelet.func1
         0     0%   100%     4.52MB  4.75%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0%   100%     1.04MB  1.10%  github.com/openshift/origin/pkg/cmd/util/clientcmd.init
         0     0%   100%     5.50MB  5.79%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListContainers
         0     0%   100%     0.50MB  0.53%  github.com/openshift/origin/pkg/cmd/util/docker.init
         0     0%   100%     1.01MB  1.06%  github.com/openshift/origin/pkg/network/common.RunEventQueue
         0     0%   100%     1.01MB  1.06%  github.com/openshift/origin/pkg/network/common.newEventQueue
         0     0%   100%     0.51MB  0.53%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).(github.com/openshift/origin/pkg/network/node.watchEgressNetworkPolicies)-fm
         0     0%   100%     0.51MB  0.53%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).watchEgressNetworkPolicies
         0     0%   100%     0.51MB  0.53%  github.com/openshift/origin/pkg/network/proxy.(*OsdnProxy).(github.com/openshift/origin/pkg/network/proxy.watchNetNamespaces)-fm
         0     0%   100%     0.51MB  0.53%  github.com/openshift/origin/pkg/network/proxy.(*OsdnProxy).watchNetNamespaces
         0     0%   100%        1MB  1.05%  github.com/openshift/origin/pkg/oc/admin.NewCommandAdmin
         0     0%   100%     0.50MB  0.53%  github.com/openshift/origin/pkg/oc/admin.init
         0     0%   100%     0.50MB  0.53%  github.com/openshift/origin/pkg/oc/admin/image.init
         0     0%   100%     0.50MB  0.53%  github.com/openshift/origin/pkg/oc/admin/migrate.(*ResourceOptions).Bind
