99.21s of 118.99s total (83.38%)
Dropped 1328 nodes (cum <= 0.59s)
      flat  flat%   sum%        cum   cum%
    15.46s 12.99% 12.99%     15.98s 13.43%  syscall.Syscall
    13.68s 11.50% 24.49%     24.71s 20.77%  runtime.scanobject
     5.95s  5.00% 29.49%      5.95s  5.00%  runtime.heapBitsForObject
     5.84s  4.91% 34.40%      5.85s  4.92%  runtime.greyobject
     5.16s  4.34% 38.73%      5.16s  4.34%  runtime.memclrNoHeapPointers
     4.59s  3.86% 42.59%     17.98s 15.11%  runtime.mallocgc
     4.54s  3.82% 46.41%      4.62s  3.88%  syscall.Syscall6
     4.47s  3.76% 50.16%      4.52s  3.80%  encoding/json.stateInString
     3.11s  2.61% 52.78%      7.05s  5.92%  encoding/json.(*Decoder).readValue
     3.07s  2.58% 55.36%      5.81s  4.88%  encoding/json.(*decodeState).scanWhile
     2.97s  2.50% 57.85%      2.97s  2.50%  runtime.memmove
     1.84s  1.55% 59.40%      1.90s  1.60%  encoding/json.unquoteBytes
     1.77s  1.49% 60.89%      1.77s  1.49%  runtime.heapBitsSetType
     1.73s  1.45% 62.34%      7.75s  6.51%  runtime.mapassign
     1.72s  1.45% 63.79%      1.94s  1.63%  runtime.mapiternext
     1.44s  1.21% 65.00%      1.44s  1.21%  runtime.futex
     1.41s  1.18% 66.18%     24.78s 20.83%  encoding/json.(*decodeState).object
     1.24s  1.04% 67.22%      1.24s  1.04%  runtime.aeshashbody
     0.97s  0.82% 68.04%      0.97s  0.82%  runtime.(*mSpanList).remove
     0.86s  0.72% 68.76%      2.02s  1.70%  runtime.evacuate
     0.73s  0.61% 69.38%      0.73s  0.61%  runtime.memeqbody
     0.72s  0.61% 69.98%      0.92s  0.77%  path.Clean
     0.59s   0.5% 70.48%      0.63s  0.53%  encoding/json.stateEndValue
     0.59s   0.5% 70.97%     22.29s 18.73%  runtime.gcDrain
     0.58s  0.49% 71.46%      2.93s  2.46%  runtime.gentraceback
     0.57s  0.48% 71.94%      1.46s  1.23%  runtime.pcvalue
     0.56s  0.47% 72.41%      1.81s  1.52%  runtime.typedmemmove
     0.54s  0.45% 72.86%      0.86s  0.72%  runtime.mapaccess2_faststr
     0.52s  0.44% 73.30%      1.67s  1.40%  runtime.sweepone
     0.47s  0.39% 73.70%     37.35s 31.39%  runtime.systemstack
     0.46s  0.39% 74.08%      0.84s  0.71%  reflect.(*rtype).String
     0.45s  0.38% 74.46%      1.37s  1.15%  syscall.ByteSliceFromString
     0.40s  0.34% 74.80%      1.24s  1.04%  reflect.(*rtype).Name
     0.40s  0.34% 75.13%      3.50s  2.94%  runtime.rawstring
     0.38s  0.32% 75.45%      1.01s  0.85%  runtime.mapiterinit
     0.37s  0.31% 75.76%      0.75s  0.63%  runtime.mapaccess1
     0.36s   0.3% 76.07%      1.18s  0.99%  runtime.writebarrierptr_prewrite1
     0.34s  0.29% 76.35%      5.56s  4.67%  runtime.newobject
     0.33s  0.28% 76.63%      0.63s  0.53%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.33s  0.28% 76.91%      0.74s  0.62%  runtime.step
     0.32s  0.27% 77.17%      2.12s  1.78%  encoding/json.(*decodeState).indirect
     0.31s  0.26% 77.44%      0.77s  0.65%  runtime.bulkBarrierPreWrite
     0.31s  0.26% 77.70%      0.68s  0.57%  runtime.scanblock
     0.30s  0.25% 77.95%      0.86s  0.72%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/cache.(*actualStateOfWorld).GetMountedVolumes
     0.29s  0.24% 78.19%      5.10s  4.29%  encoding/json.(*decodeState).literalStore
     0.29s  0.24% 78.44%      3.79s  3.19%  runtime.rawstringtmp
     0.27s  0.23% 78.66%      1.15s  0.97%  runtime.convT2E
     0.25s  0.21% 78.87%      3.54s  2.98%  runtime.newarray
     0.25s  0.21% 79.08%      4.39s  3.69%  runtime.slicebytetostring
     0.23s  0.19% 79.28%      2.73s  2.29%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.extractLabels
     0.23s  0.19% 79.47%      2.90s  2.44%  runtime.(*mcentral).cacheSpan
     0.19s  0.16% 79.63%      0.77s  0.65%  runtime.gcmarkwb_m
     0.15s  0.13% 79.75%     25.40s 21.35%  encoding/json.(*decodeState).value
     0.15s  0.13% 79.88%      1.02s  0.86%  runtime.(*mspan).sweep
     0.15s  0.13% 80.01%      1.07s   0.9%  runtime.concatstrings
     0.15s  0.13% 80.13%      6.26s  5.26%  runtime.makeslice
     0.14s  0.12% 80.25%      1.43s  1.20%  reflect.New
     0.14s  0.12% 80.37%      3.22s  2.71%  reflect.Value.SetMapIndex
     0.13s  0.11% 80.48%      2.72s  2.29%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).Unmarshal
     0.13s  0.11% 80.59%      0.61s  0.51%  reflect.Zero
     0.12s   0.1% 80.69%      8.21s  6.90%  encoding/json.(*decodeState).literal
     0.12s   0.1% 80.79%      0.76s  0.64%  reflect.(*rtype).ptrTo
     0.12s   0.1% 80.89%      0.67s  0.56%  strings.Replace
     0.11s 0.092% 80.98%      2.25s  1.89%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.10s 0.084% 81.07%      0.61s  0.51%  reflect.(*rtype).typeOff
     0.10s 0.084% 81.15%      1.41s  1.18%  reflect.makeString
     0.09s 0.076% 81.23%      0.91s  0.76%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*Container).Unmarshal
     0.09s 0.076% 81.30%      1.09s  0.92%  reflect.deepValueEqual
     0.09s 0.076% 81.38%      1.30s  1.09%  runtime.findrunnable
     0.08s 0.067% 81.44%     25.32s 21.28%  encoding/json.(*decodeState).array
     0.08s 0.067% 81.51%      0.74s  0.62%  encoding/json.cachedTypeFields
     0.08s 0.067% 81.58%      0.88s  0.74%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.GetChainLines
     0.08s 0.067% 81.65%      0.80s  0.67%  runtime.writebarrierptr
     0.07s 0.059% 81.70%      0.83s   0.7%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).MarshalTo
     0.07s 0.059% 81.76%      5.61s  4.71%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/kuberuntime.(*kubeGenericRuntimeManager).GetPods
     0.07s 0.059% 81.82%      0.86s  0.72%  reflect.MakeSlice
     0.07s 0.059% 81.88%      1.52s  1.28%  runtime.schedule
     0.07s 0.059% 81.94%      0.84s  0.71%  runtime.writebarrierptr_prewrite1.func1
     0.07s 0.059% 82.00%      1.44s  1.21%  syscall.BytePtrFromString
     0.06s  0.05% 82.05%      0.65s  0.55%  runtime.(*mheap).alloc_m
     0.06s  0.05% 82.10%      1.20s  1.01%  runtime.scanframeworker
     0.06s  0.05% 82.15%      0.66s  0.55%  sort.quickSort_func
     0.05s 0.042% 82.19%      0.85s  0.71%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/cache.(*actualStateOfWorld).GetMountedVolumesForPod
     0.05s 0.042% 82.23%      9.46s  7.95%  os.Lstat
     0.05s 0.042% 82.28%      2.54s  2.13%  runtime.scang
     0.05s 0.042% 82.32%      8.69s  7.30%  syscall.Lstat
     0.04s 0.034% 82.35%      2.47s  2.08%  reflect.Value.Convert
     0.04s 0.034% 82.39%      2.21s  1.86%  reflect.cvtBytesString
     0.04s 0.034% 82.42%      3.68s  3.09%  runtime.(*mcache).nextFree
     0.04s 0.034% 82.45%      2.94s  2.47%  runtime.(*mcache).refill
