74.76MB of 74.76MB total (  100%)
Dropped 1556 nodes (cum <= 0.37MB)
      flat  flat%   sum%        cum   cum%
      15MB 20.06% 20.06%       15MB 20.06%  runtime.rawstringtmp
    9.47MB 12.66% 32.73%     9.47MB 12.66%  runtime.hashGrow
    8.50MB 11.37% 44.10%    17.97MB 24.04%  runtime.mapassign
    7.22MB  9.66% 53.76%     7.22MB  9.66%  bytes.makeSlice
    5.56MB  7.44% 61.20%     5.56MB  7.44%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    3.50MB  4.69% 65.89%     3.50MB  4.69%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    3.02MB  4.04% 69.93%     3.02MB  4.04%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
    1.55MB  2.07% 72.00%     1.55MB  2.07%  regexp.(*bitState).reset
    1.51MB  2.02% 74.02%     1.51MB  2.02%  runtime.makemap
    1.50MB  2.01% 76.03%     1.50MB  2.01%  reflect.unsafe_New
    1.50MB  2.01% 78.03%     1.50MB  2.01%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodStatus
    1.50MB  2.01% 80.04%        2MB  2.68%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
       1MB  1.34% 81.38%     6.57MB  8.79%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
       1MB  1.34% 82.72%        1MB  1.34%  regexp/syntax.(*compiler).rune
       1MB  1.34% 84.06%        2MB  2.68%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodSpec
       1MB  1.34% 85.40%        1MB  1.34%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).getFsStats
       1MB  1.34% 86.74%        1MB  1.34%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.newRawContainerHandler
       1MB  1.34% 88.07%        1MB  1.34%  reflect.unsafe_NewArray
    0.79MB  1.06% 89.13%     0.79MB  1.06%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.62MB  0.83% 89.96%     0.62MB  0.83%  runtime.makechan
    0.50MB  0.67% 90.63%     0.50MB  0.67%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/printers.(*HumanReadablePrinter).HandledResources
    0.50MB  0.67% 91.30%     0.50MB  0.67%  github.com/openshift/origin/vendor/k8s.io/apimachinery/third_party/forked/golang/json.typeFields
    0.50MB  0.67% 91.97%        1MB  1.34%  crypto/x509.parseCertificate
    0.50MB  0.67% 92.64%     0.50MB  0.67%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl.ResourceAliases
    0.50MB  0.67% 93.31%     0.50MB  0.67%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl/cmd/config.NewCmdConfigUseContext
    0.50MB  0.67% 93.98%     0.50MB  0.67%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PodSpec).Unmarshal
    0.50MB  0.67% 94.65%     0.50MB  0.67%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*EndpointSubset).Unmarshal
    0.50MB  0.67% 95.32%     3.50MB  4.68%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.newDockerContainerHandler
    0.50MB  0.67% 95.99%        2MB  2.68%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*ListContainersResponse).Unmarshal
    0.50MB  0.67% 96.66%     0.50MB  0.67%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/volume/secret.(*secretPlugin).NewMounter
    0.50MB  0.67% 97.32%     0.50MB  0.67%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_SecurityContext
    0.50MB  0.67% 97.99%        4MB  5.35%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.containerToRuntimeAPISandbox
    0.50MB  0.67% 98.66%     0.50MB  0.67%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/volume.(*metricsDu).getFsInfo
    0.50MB  0.67% 99.33%     0.50MB  0.67%  runtime.convT2E
    0.50MB  0.67%   100%     0.50MB  0.67%  errors.New
         0     0%   100%     4.90MB  6.55%  bytes.(*Buffer).ReadFrom
         0     0%   100%     0.79MB  1.06%  bytes.(*Buffer).Write
         0     0%   100%     1.53MB  2.05%  bytes.(*Buffer).WriteString
         0     0%   100%     2.32MB  3.10%  bytes.(*Buffer).grow
         0     0%   100%     1.50MB  2.01%  crypto/tls.(*Conn).Handshake
         0     0%   100%     1.50MB  2.01%  crypto/tls.(*Conn).clientHandshake
         0     0%   100%     1.50MB  2.01%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0%   100%     1.50MB  2.01%  crypto/x509.(*CertPool).AppendCertsFromPEM
