17.59s of 22.23s total (79.13%)
Dropped 995 nodes (cum <= 0.11s)
      flat  flat%   sum%        cum   cum%
     3.47s 15.61% 15.61%      3.73s 16.78%  syscall.Syscall
     2.76s 12.42% 28.03%      3.93s 17.68%  runtime.scanobject
     1.15s  5.17% 33.20%      1.17s  5.26%  syscall.Syscall6
     0.99s  4.45% 37.65%      0.99s  4.45%  runtime.memclrNoHeapPointers
     0.72s  3.24% 40.89%      2.67s 12.01%  runtime.mallocgc
     0.67s  3.01% 43.90%      0.67s  3.01%  runtime.greyobject
     0.65s  2.92% 46.83%      0.66s  2.97%  encoding/json.stateInString
     0.62s  2.79% 49.62%      0.62s  2.79%  runtime.heapBitsForObject
     0.42s  1.89% 51.51%      0.87s  3.91%  encoding/json.(*decodeState).scanWhile
     0.39s  1.75% 53.26%      1.14s  5.13%  encoding/json.(*Decoder).readValue
     0.39s  1.75% 55.02%      0.39s  1.75%  runtime.memmove
     0.35s  1.57% 56.59%      1.16s  5.22%  runtime.mapassign
     0.31s  1.39% 57.98%      0.31s  1.39%  runtime.heapBitsSetType
     0.29s  1.30% 59.29%      0.29s  1.30%  runtime.futex
     0.27s  1.21% 60.50%      0.28s  1.26%  encoding/json.unquoteBytes
     0.25s  1.12% 61.63%      3.43s 15.43%  encoding/json.(*decodeState).object
     0.20s   0.9% 62.53%      0.20s   0.9%  runtime.aeshashbody
     0.17s  0.76% 63.29%      3.92s 17.63%  runtime.gcDrain
     0.17s  0.76% 64.06%      0.74s  3.33%  runtime.gentraceback
     0.14s  0.63% 64.69%      0.18s  0.81%  runtime.mapiternext
     0.13s  0.58% 65.27%      0.13s  0.58%  runtime.casgstatus
     0.13s  0.58% 65.86%      0.13s  0.58%  runtime.readvarint
     0.13s  0.58% 66.44%      0.13s  0.58%  syscall.RawSyscall
     0.12s  0.54% 66.98%      0.26s  1.17%  runtime.evacuate
     0.12s  0.54% 67.52%      0.12s  0.54%  runtime.lock
     0.11s  0.49% 68.02%      0.37s  1.66%  runtime.pcvalue
     0.11s  0.49% 68.51%      0.24s  1.08%  runtime.step
     0.11s  0.49% 69.01%      0.12s  0.54%  runtime.unlock
     0.10s  0.45% 69.46%      0.13s  0.58%  path.Clean
     0.10s  0.45% 69.91%      0.16s  0.72%  runtime.mapaccess2_faststr
     0.10s  0.45% 70.36%      0.75s  3.37%  runtime.newobject
     0.10s  0.45% 70.81%      0.24s  1.08%  runtime.typedmemmove
     0.09s   0.4% 71.21%      0.12s  0.54%  runtime.exitsyscall
     0.09s   0.4% 71.61%      0.13s  0.58%  runtime.scanblock
     0.09s   0.4% 72.02%      0.38s  1.71%  runtime.selectgoImpl
     0.09s   0.4% 72.42%      6.33s 28.48%  runtime.systemstack
     0.08s  0.36% 72.78%      0.33s  1.48%  encoding/json.(*decodeState).indirect
     0.08s  0.36% 73.14%      0.22s  0.99%  runtime.sweepone
     0.07s  0.31% 73.46%      0.22s  0.99%  syscall.ByteSliceFromString
     0.06s  0.27% 73.73%      0.15s  0.67%  reflect.(*rtype).Name
     0.06s  0.27% 74.00%      0.14s  0.63%  sort.insertionSort_func
     0.06s  0.27% 74.27%      0.14s  0.63%  strings.FieldsFunc
     0.05s  0.22% 74.49%      0.59s  2.65%  runtime.slicebytetostring
     0.04s  0.18% 74.67%      0.15s  0.67%  reflect.(*rtype).ptrTo
     0.04s  0.18% 74.85%      0.36s  1.62%  runtime.findrunnable
     0.04s  0.18% 75.03%      1.07s  4.81%  runtime.makeslice
     0.04s  0.18% 75.21%      0.12s  0.54%  runtime.mapiterinit
