45813.81kB of 45813.81kB total (  100%)
Dropped 1307 nodes (cum <= 229.07kB)
      flat  flat%   sum%        cum   cum%
 5084.92kB 11.10% 11.10%  5084.92kB 11.10%  bytes.makeSlice
 4853.38kB 10.59% 21.69%  4853.38kB 10.59%  runtime.hashGrow
 4144.18kB  9.05% 30.74%  4144.18kB  9.05%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
 4096.38kB  8.94% 39.68%  4096.38kB  8.94%  runtime.rawstringtmp
 3587.06kB  7.83% 47.51%  3587.06kB  7.83%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
 3585.12kB  7.83% 55.33%  8438.50kB 18.42%  runtime.mapassign
 1584.50kB  3.46% 58.79%  1584.50kB  3.46%  regexp.(*bitState).reset
 1540.88kB  3.36% 62.16%  1540.88kB  3.36%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
 1536.23kB  3.35% 65.51%  2048.34kB  4.47%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
 1033.08kB  2.25% 67.76%  1033.08kB  2.25%  runtime.makemap
 1026.63kB  2.24% 70.01%  1026.63kB  2.24%  regexp/syntax.(*compiler).rune
 1024.38kB  2.24% 72.24%  1024.38kB  2.24%  reflect.unsafe_New
 1024.25kB  2.24% 74.48%  1024.25kB  2.24%  syscall.ByteSliceFromString
 1024.03kB  2.24% 76.71%  1024.03kB  2.24%  reflect.unsafe_NewArray
  809.97kB  1.77% 78.48%   809.97kB  1.77%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
  636.73kB  1.39% 79.87%   636.73kB  1.39%  runtime.makechan
     514kB  1.12% 80.99%  4658.18kB 10.17%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
     513kB  1.12% 82.11%      513kB  1.12%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/printers.(*HumanReadablePrinter).HandledResources
  512.88kB  1.12% 83.23%   512.88kB  1.12%  github.com/openshift/origin/vendor/k8s.io/apimachinery/third_party/forked/golang/json.typeFields
  512.56kB  1.12% 84.35%  1024.58kB  2.24%  crypto/x509.parseCertificate
  512.50kB  1.12% 85.47%   512.50kB  1.12%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl.ResourceAliases
  512.28kB  1.12% 86.59%   512.28kB  1.12%  github.com/openshift/origin/vendor/github.com/google/cadvisor/utils.(*TimedStore).Add
  512.28kB  1.12% 87.71%   512.28kB  1.12%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl/cmd/config.NewCmdConfigUseContext
  512.17kB  1.12% 88.82%   512.17kB  1.12%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodStatus
  512.09kB  1.12% 89.94%   512.09kB  1.12%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*EndpointSubset).Unmarshal
  512.07kB  1.12% 91.06%   512.07kB  1.12%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.newRawContainerHandler
  512.05kB  1.12% 92.18%   512.05kB  1.12%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/volume/secret.(*secretPlugin).NewMounter
  512.04kB  1.12% 93.29%  4099.10kB  8.95%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
  512.04kB  1.12% 94.41%   512.04kB  1.12%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_SecurityContext
  512.04kB  1.12% 95.53%   512.04kB  1.12%  runtime.acquireSudog
  512.03kB  1.12% 96.65%  2561.20kB  5.59%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).Unmarshal
  512.03kB  1.12% 97.76%   512.03kB  1.12%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/volume.(*metricsDu).getFsInfo
  512.02kB  1.12% 98.88%   512.02kB  1.12%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PersistentVolumeSource).Unmarshal
  512.01kB  1.12%   100%   512.01kB  1.12%  errors.New
         0     0%   100%  4113.84kB  8.98%  bytes.(*Buffer).ReadFrom
