133.90s of 161.09s total (83.12%)
Dropped 1533 nodes (cum <= 0.81s)
      flat  flat%   sum%        cum   cum%
    20.75s 12.88% 12.88%     21.63s 13.43%  syscall.Syscall
    17.66s 10.96% 23.84%     32.29s 20.04%  runtime.scanobject
        8s  4.97% 28.81%      8.02s  4.98%  runtime.greyobject
     7.70s  4.78% 33.59%      7.70s  4.78%  runtime.heapBitsForObject
     7.17s  4.45% 38.04%      7.17s  4.45%  runtime.memclrNoHeapPointers
     6.76s  4.20% 42.24%     27.54s 17.10%  runtime.mallocgc
     5.62s  3.49% 45.73%      5.74s  3.56%  syscall.Syscall6
     5.22s  3.24% 48.97%      5.34s  3.31%  encoding/json.stateInString
     4.13s  2.56% 51.53%      4.13s  2.56%  runtime.memmove
     3.85s  2.39% 53.92%      9.28s  5.76%  encoding/json.(*Decoder).readValue
     3.72s  2.31% 56.23%      7.66s  4.76%  encoding/json.(*decodeState).scanWhile
     2.79s  1.73% 57.96%      3.66s  2.27%  runtime.mapiternext
     2.46s  1.53% 59.49%      2.61s  1.62%  encoding/json.unquoteBytes
     2.31s  1.43% 60.92%     10.60s  6.58%  runtime.mapassign
     2.24s  1.39% 62.31%      2.24s  1.39%  runtime.heapBitsSetType
     2.22s  1.38% 63.69%      2.22s  1.38%  runtime.(*mSpanList).remove
     1.98s  1.23% 64.92%      1.98s  1.23%  runtime.futex
     1.97s  1.22% 66.14%      1.97s  1.22%  runtime.aeshashbody
     1.77s  1.10% 67.24%     32.75s 20.33%  encoding/json.(*decodeState).object
     0.99s  0.61% 67.86%      2.65s  1.65%  runtime.evacuate
     0.97s   0.6% 68.46%      0.97s   0.6%  runtime.memeqbody
     0.80s   0.5% 68.96%     50.79s 31.53%  runtime.systemstack
     0.79s  0.49% 69.45%      3.89s  2.41%  runtime.gentraceback
     0.78s  0.48% 69.93%      2.45s  1.52%  runtime.sweepone
     0.75s  0.47% 70.40%      1.30s  0.81%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.75s  0.47% 70.86%      2.46s  1.53%  runtime.typedmemmove
     0.71s  0.44% 71.30%      0.84s  0.52%  encoding/json.stateEndValue
     0.71s  0.44% 71.74%      1.01s  0.63%  path.Clean
     0.68s  0.42% 72.16%      0.96s   0.6%  runtime.mapaccess2_faststr
     0.67s  0.42% 72.58%      1.94s  1.20%  runtime.mapiterinit
     0.67s  0.42% 73.00%      1.83s  1.14%  runtime.pcvalue
     0.65s   0.4% 73.40%      1.13s   0.7%  reflect.(*rtype).String
     0.64s   0.4% 73.80%      7.75s  4.81%  runtime.newobject
     0.58s  0.36% 74.16%      1.71s  1.06%  reflect.(*rtype).Name
     0.58s  0.36% 74.52%      6.51s  4.04%  runtime.slicebytetostring
     0.57s  0.35% 74.87%     27.34s 16.97%  runtime.gcDrain
     0.55s  0.34% 75.21%      2.05s  1.27%  runtime.writebarrierptr_prewrite1
     0.52s  0.32% 75.54%      5.47s  3.40%  runtime.rawstring
     0.48s   0.3% 75.83%      0.96s   0.6%  runtime.mapaccess1
     0.47s  0.29% 76.13%      1.04s  0.65%  runtime.bulkBarrierPreWrite
     0.47s  0.29% 76.42%      1.81s  1.12%  syscall.ByteSliceFromString
     0.42s  0.26% 76.68%      2.87s  1.78%  encoding/json.(*decodeState).indirect
     0.40s  0.25% 76.93%      1.35s  0.84%  runtime.gcmarkwb_m
     0.35s  0.22% 77.14%      6.85s  4.25%  encoding/json.(*decodeState).literalStore
     0.35s  0.22% 77.36%      0.84s  0.52%  runtime.scanblock
     0.34s  0.21% 77.57%      0.95s  0.59%  runtime.shade
     0.34s  0.21% 77.78%      1.02s  0.63%  runtime.step
     0.33s   0.2% 77.99%      1.67s  1.04%  runtime.convT2E
     0.32s   0.2% 78.19%      3.52s  2.19%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/cache.(*actualStateOfWorld).GetMountedVolumesForPod
     0.30s  0.19% 78.37%      5.77s  3.58%  runtime.rawstringtmp
     0.28s  0.17% 78.55%      4.59s  2.85%  runtime.(*mcentral).cacheSpan
     0.28s  0.17% 78.72%         2s  1.24%  runtime.concatstrings
     0.27s  0.17% 78.89%     10.21s  6.34%  runtime.makeslice
     0.24s  0.15% 79.04%      3.74s  2.32%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.23s  0.14% 79.18%      3.54s  2.20%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.extractLabels
     0.23s  0.14% 79.32%      0.83s  0.52%  runtime.selectgoImpl
     0.22s  0.14% 79.46%      1.48s  0.92%  runtime.(*mspan).sweep
     0.21s  0.13% 79.59%     11.30s  7.01%  encoding/json.(*decodeState).literal
     0.21s  0.13% 79.72%      0.83s  0.52%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/cache.(*actualStateOfWorld).GetMountedVolumes
