97.44MB of 97.44MB total (  100%)
Dropped 1576 nodes (cum <= 0.49MB)
      flat  flat%   sum%        cum   cum%
   19.50MB 20.01% 20.01%    19.50MB 20.01%  runtime.rawstringtmp
   10.07MB 10.34% 30.35%    10.07MB 10.34%  runtime.hashGrow
    9.51MB  9.76% 40.11%     9.51MB  9.76%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    8.50MB  8.73% 48.83%    18.57MB 19.06%  runtime.mapassign
    8.22MB  8.44% 57.27%     8.22MB  8.44%  bytes.makeSlice
    7.55MB  7.75% 65.02%     7.55MB  7.75%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
    5.56MB  5.71% 70.73%     5.56MB  5.71%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    2.01MB  2.06% 72.80%     2.01MB  2.06%  runtime.makemap
       2MB  2.05% 74.85%        2MB  2.05%  reflect.unsafe_New
    1.55MB  1.59% 76.44%     1.55MB  1.59%  regexp.(*bitState).reset
    1.50MB  1.54% 77.98%        3MB  3.08%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodSpec
    1.50MB  1.54% 79.52%     1.50MB  1.54%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodStatus
    1.50MB  1.54% 81.06%     1.50MB  1.54%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).getFsStats
    1.50MB  1.54% 82.60%        2MB  2.05%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
       1MB  1.03% 83.63%     6.57MB  6.74%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
       1MB  1.03% 84.66%        1MB  1.03%  regexp/syntax.(*compiler).rune
       1MB  1.03% 85.68%        1MB  1.03%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.newRawContainerHandler
       1MB  1.03% 86.71%        1MB  1.03%  reflect.unsafe_NewArray
    0.79MB  0.81% 87.52%     0.79MB  0.81%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.62MB  0.64% 88.16%     0.62MB  0.64%  runtime.makechan
