72.48s of 86.75s total (83.55%)
Dropped 1297 nodes (cum <= 0.43s)
      flat  flat%   sum%        cum   cum%
    11.38s 13.12% 13.12%     11.88s 13.69%  syscall.Syscall
    10.90s 12.56% 25.68%     18.64s 21.49%  runtime.scanobject
     4.48s  5.16% 30.85%      4.49s  5.18%  runtime.greyobject
     3.92s  4.52% 35.37%      3.92s  4.52%  runtime.memclrNoHeapPointers
     3.90s  4.50% 39.86%      3.90s  4.50%  runtime.heapBitsForObject
     3.80s  4.38% 44.24%     12.77s 14.72%  runtime.mallocgc
     3.17s  3.65% 47.90%      3.23s  3.72%  syscall.Syscall6
     3.16s  3.64% 51.54%      3.18s  3.67%  encoding/json.stateInString
     2.11s  2.43% 53.97%      4.98s  5.74%  encoding/json.(*Decoder).readValue
     2.04s  2.35% 56.32%      4.29s  4.95%  encoding/json.(*decodeState).scanWhile
     2.02s  2.33% 58.65%      2.02s  2.33%  runtime.memmove
     1.42s  1.64% 60.29%      5.77s  6.65%  runtime.mapassign
     1.31s  1.51% 61.80%      1.37s  1.58%  encoding/json.unquoteBytes
     1.30s  1.50% 63.30%      1.30s  1.50%  runtime.heapBitsSetType
     1.12s  1.29% 64.59%      1.33s  1.53%  runtime.mapiternext
     0.95s  1.10% 65.68%      0.95s  1.10%  runtime.aeshashbody
     0.91s  1.05% 66.73%      0.91s  1.05%  runtime.futex
     0.86s  0.99% 67.72%     17.61s 20.30%  encoding/json.(*decodeState).object
     0.65s  0.75% 68.47%      1.47s  1.69%  runtime.evacuate
     0.50s  0.58% 69.05%      0.50s  0.58%  runtime.(*mSpanList).remove
     0.49s  0.56% 69.61%      0.50s  0.58%  encoding/json.stateEndValue
     0.49s  0.56% 70.18%      0.62s  0.71%  path.Clean
     0.48s  0.55% 70.73%      1.37s  1.58%  runtime.typedmemmove
     0.44s  0.51% 71.24%      0.44s  0.51%  runtime.duffcopy
     0.44s  0.51% 71.75%      0.44s  0.51%  runtime.memeqbody
     0.42s  0.48% 72.23%      1.15s  1.33%  runtime.pcvalue
     0.41s  0.47% 72.70%      0.97s  1.12%  reflect.(*rtype).Name
     0.39s  0.45% 73.15%      2.25s  2.59%  runtime.gentraceback
     0.36s  0.41% 73.57%     17.63s 20.32%  runtime.gcDrain
     0.33s  0.38% 73.95%     27.80s 32.05%  runtime.systemstack
     0.33s  0.38% 74.33%      1.01s  1.16%  syscall.ByteSliceFromString
     0.30s  0.35% 74.67%      4.14s  4.77%  runtime.newobject
     0.29s  0.33% 75.01%      0.57s  0.66%  reflect.(*rtype).String
     0.29s  0.33% 75.34%      0.54s  0.62%  runtime.mapaccess2_faststr
     0.29s  0.33% 75.68%      0.94s  1.08%  runtime.sweepone
     0.27s  0.31% 75.99%      0.73s  0.84%  runtime.gcmarkwb_m
     0.26s   0.3% 76.29%      1.55s  1.79%  encoding/json.(*decodeState).indirect
     0.26s   0.3% 76.59%      3.59s  4.14%  encoding/json.(*decodeState).literalStore
     0.26s   0.3% 76.89%      0.53s  0.61%  runtime.bulkBarrierPreWrite
     0.26s   0.3% 77.19%      0.65s  0.75%  runtime.step
     0.24s  0.28% 77.46%      0.48s  0.55%  runtime.mapaccess1
     0.24s  0.28% 77.74%      2.71s  3.12%  runtime.rawstring
     0.23s  0.27% 78.01%      0.62s  0.71%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/cache.(*actualStateOfWorld).GetMountedVolumes
     0.23s  0.27% 78.27%      0.51s  0.59%  runtime.scanblock
     0.23s  0.27% 78.54%      0.97s  1.12%  runtime.writebarrierptr_prewrite1
     0.22s  0.25% 78.79%      3.35s  3.86%  runtime.slicebytetostring
     0.21s  0.24% 79.03%      0.66s  0.76%  runtime.mapiterinit
     0.20s  0.23% 79.26%      1.64s  1.89%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.extractLabels
     0.19s  0.22% 79.48%      2.18s  2.51%  runtime.(*mcentral).cacheSpan
     0.18s  0.21% 79.69%      2.89s  3.33%  runtime.rawstringtmp
     0.17s   0.2% 79.88%      0.48s  0.55%  runtime.makemap
     0.15s  0.17% 80.06%      0.85s  0.98%  runtime.concatstrings
     0.15s  0.17% 80.23%      0.84s  0.97%  runtime.convT2E
     0.13s  0.15% 80.38%      2.17s  2.50%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).Unmarshal
     0.12s  0.14% 80.52%      0.56s  0.65%  reflect.(*rtype).ptrTo
     0.11s  0.13% 80.65%      0.44s  0.51%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/cache.(*desiredStateOfWorld).GetVolumesToMount
     0.11s  0.13% 80.77%      0.46s  0.53%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.11s  0.13% 80.90%      0.58s  0.67%  runtime.(*mspan).sweep
     0.11s  0.13% 81.03%      0.98s  1.13%  runtime.scanframeworker
     0.10s  0.12% 81.14%      1.87s  2.16%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.09s   0.1% 81.24%      5.81s  6.70%  encoding/json.(*decodeState).literal
     0.09s   0.1% 81.35%      4.24s  4.89%  runtime.makeslice
     0.08s 0.092% 81.44%     17.93s 20.67%  encoding/json.(*decodeState).value
     0.08s 0.092% 81.53%      2.26s  2.61%  runtime.(*mcache).refill
     0.08s 0.092% 81.63%      2.23s  2.57%  runtime.newarray
     0.08s 0.092% 81.72%      0.46s  0.53%  runtime.shade
     0.07s 0.081% 81.80%     17.85s 20.58%  encoding/json.(*decodeState).array
     0.07s 0.081% 81.88%      0.96s  1.11%  runtime.findrunnable
     0.06s 0.069% 81.95%      0.67s  0.77%  reflect.deepValueEqual
     0.05s 0.058% 82.01%      0.48s  0.55%  encoding/json.cachedTypeFields
     0.05s 0.058% 82.06%      1.01s  1.16%  reflect.makeString
     0.05s 0.058% 82.12%      2.67s  3.08%  runtime.(*mcache).nextFree
     0.05s 0.058% 82.18%      1.94s  2.24%  runtime.gcDrainN
     0.05s 0.058% 82.24%      1.03s  1.19%  runtime.scanstack.func1
     0.05s 0.058% 82.29%      1.06s  1.22%  syscall.BytePtrFromString
     0.04s 0.046% 82.34%      0.97s  1.12%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*Container).Unmarshal
     0.04s 0.046% 82.39%      8.26s  9.52%  os.(*File).readdir
     0.04s 0.046% 82.43%         1s  1.15%  reflect.New
     0.04s 0.046% 82.48%      2.36s  2.72%  reflect.Value.SetMapIndex
     0.04s 0.046% 82.52%      0.44s  0.51%  reflect.typedmemmove
     0.04s 0.046% 82.57%      1.03s  1.19%  reflect.unsafe_New
     0.04s 0.046% 82.62%      1.51s  1.74%  runtime.growWork
     0.04s 0.046% 82.66%      1.12s  1.29%  runtime.schedule
     0.04s 0.046% 82.71%      0.77s  0.89%  runtime.writebarrierptr_prewrite1.func1
     0.03s 0.035% 82.74%      1.15s  1.33%  bufio.(*Scanner).Scan
     0.03s 0.035% 82.78%      4.47s  5.15%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/kuberuntime.(*kubeGenericRuntimeManager).GetPods
     0.03s 0.035% 82.81%      0.90s  1.04%  path.Join
     0.03s 0.035% 82.85%      1.83s  2.11%  reflect.Value.Convert
     0.03s 0.035% 82.88%      1.56s  1.80%  reflect.cvtBytesString
     0.03s 0.035% 82.92%      0.74s  0.85%  runtime.writebarrierptr
     0.02s 0.023% 82.94%      2.67s  3.08%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetSpec
     0.02s 0.023% 82.96%      3.18s  3.67%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*MemoryGroup).GetStats
     0.02s 0.023% 82.99%      0.62s  0.71%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.toRuntimeAPIContainer
     0.02s 0.023% 83.01%      3.57s  4.12%  os.OpenFile
     0.02s 0.023% 83.03%      0.44s  0.51%  reflect.MakeSlice
     0.02s 0.023% 83.05%      2.19s  2.52%  reflect.mapassign
     0.02s 0.023% 83.08%      1.06s  1.22%  runtime.bgsweep
     0.02s 0.023% 83.10%      0.52s   0.6%  runtime.funcspdelta
     0.02s 0.023% 83.12%      1.04s  1.20%  runtime.gosweepone
     0.02s 0.023% 83.15%      1.31s  1.51%  runtime.hashGrow
     0.02s 0.023% 83.17%      0.67s  0.77%  runtime.pcdatavalue
     0.02s 0.023% 83.19%      1.90s  2.19%  runtime.scang
     0.02s 0.023% 83.22%      1.88s  2.17%  runtime.scanstack
     0.02s 0.023% 83.24%      3.31s  3.82%  syscall.openat
     0.02s 0.023% 83.26%      1.82s  2.10%  syscall.read
     0.01s 0.012% 83.27%     22.59s 26.04%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListContainers
     0.01s 0.012% 83.29%      5.16s  5.95%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.GetSpec
     0.01s 0.012% 83.30%      2.69s  3.10%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.readUInt64
     0.01s 0.012% 83.31%      0.56s  0.65%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.udpStatsFromProc
     0.01s 0.012% 83.32%      0.46s  0.53%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*CpuacctGroup).GetStats
     0.01s 0.012% 83.33%      2.21s  2.55%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*ListPodSandboxResponse).Unmarshal
     0.01s 0.012% 83.34%      4.65s  5.36%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/cm.(*podContainerManagerImpl).GetAllPodsFromCgroups
     0.01s 0.012% 83.35%     10.47s 12.07%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.(*dockerService).ListContainers
     0.01s 0.012% 83.37%      5.44s  6.27%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/eviction.makeSignalObservations
     0.01s 0.012% 83.38%      1.30s  1.50%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/kuberuntime.(*kubeGenericRuntimeManager).getContainersHelper
     0.01s 0.012% 83.39%      0.49s  0.56%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/kuberuntime.getContainerInfoFromAnnotations
     0.01s 0.012% 83.40%      2.65s  3.05%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/pleg.(*GenericPLEG).relist
     0.01s 0.012% 83.41%      1.62s  1.87%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/reconciler.(*reconciler).reconcile
     0.01s 0.012% 83.42%      4.72s  5.44%  io/ioutil.ReadFile
