72.87MB of 72.87MB total (  100%)
Dropped 1453 nodes (cum <= 0.36MB)
      flat  flat%   sum%        cum   cum%
      12MB 16.47% 16.47%       12MB 16.47%  runtime.rawstringtmp
    8.50MB 11.67% 28.14%    15.94MB 21.88%  runtime.mapassign
    7.44MB 10.21% 38.34%     7.44MB 10.21%  runtime.hashGrow
    6.01MB  8.24% 46.59%     7.01MB  9.61%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    5.55MB  7.61% 54.20%     5.55MB  7.61%  bytes.makeSlice
    4.05MB  5.55% 59.75%     4.05MB  5.55%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    3.01MB  4.13% 63.88%     3.01MB  4.13%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
    2.22MB  3.04% 66.93%     2.22MB  3.04%  encoding/json.(*Decoder).refill
    2.04MB  2.80% 69.73%     2.04MB  2.80%  reflect.unsafe_NewArray
    1.55MB  2.12% 71.85%     1.55MB  2.12%  regexp.(*bitState).reset
    1.51MB  2.07% 73.92%     1.51MB  2.07%  runtime.makemap
    1.50MB  2.06% 75.98%     1.50MB  2.06%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodStatus
    1.50MB  2.06% 78.04%        2MB  2.75%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
       1MB  1.38% 79.42%        1MB  1.38%  regexp/syntax.(*compiler).rune
       1MB  1.37% 80.79%        1MB  1.37%  reflect.unsafe_New
       1MB  1.37% 82.16%        1MB  1.37%  runtime.acquireSudog
    0.79MB  1.09% 83.25%     0.79MB  1.09%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.62MB  0.85% 84.10%     0.62MB  0.85%  runtime.makechan
    0.56MB  0.77% 84.87%     0.56MB  0.77%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*parser).recvMsg
    0.52MB  0.71% 85.58%     0.52MB  0.71%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/cache.(*desiredStateOfWorld).GetVolumesToMount
    0.50MB  0.69% 86.27%     0.50MB  0.69%  io/ioutil.glob..func1
    0.50MB  0.69% 86.96%     4.55MB  6.24%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
    0.50MB  0.69% 87.64%     0.50MB  0.69%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/printers.(*HumanReadablePrinter).HandledResources
    0.50MB  0.69% 88.33%     0.50MB  0.69%  github.com/openshift/origin/vendor/k8s.io/apimachinery/third_party/forked/golang/json.typeFields
    0.50MB  0.69% 89.02%        1MB  1.37%  crypto/x509.parseCertificate
    0.50MB  0.69% 89.71%     0.50MB  0.69%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl.ResourceAliases
    0.50MB  0.69% 90.39%     0.50MB  0.69%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl/cmd/config.NewCmdConfigUseContext
    0.50MB  0.69% 91.08%        1MB  1.37%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodSpec
    0.50MB  0.69% 91.77%     0.50MB  0.69%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PodSpec).Unmarshal
    0.50MB  0.69% 92.45%     0.50MB  0.69%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*EndpointSubset).Unmarshal
    0.50MB  0.69% 93.14%     0.50MB  0.69%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.newRawContainerHandler
    0.50MB  0.69% 93.82%     8.56MB 11.75%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/kuberuntime.(*kubeGenericRuntimeManager).GetPods
