57.23MB of 57.23MB total (  100%)
Dropped 1397 nodes (cum <= 0.29MB)
      flat  flat%   sum%        cum   cum%
    9.50MB 16.60% 16.60%     9.50MB 16.60%  runtime.rawstringtmp
    6.01MB 10.49% 27.10%     7.01MB 12.24%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    4.97MB  8.68% 35.77%     4.97MB  8.68%  bytes.makeSlice
    4.72MB  8.25% 44.02%     4.72MB  8.25%  runtime.hashGrow
    4.05MB  7.07% 51.09%     4.05MB  7.07%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
       4MB  6.99% 58.08%     8.72MB 15.24%  runtime.mapassign
    2.01MB  3.51% 61.59%     2.01MB  3.51%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
    1.55MB  2.70% 64.30%     1.55MB  2.70%  regexp.(*bitState).reset
    1.50MB  2.62% 66.92%        2MB  3.50%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
    1.01MB  1.76% 68.68%     1.01MB  1.76%  runtime.makemap
       1MB  1.75% 70.43%        1MB  1.75%  regexp/syntax.(*compiler).rune
       1MB  1.75% 72.18%        1MB  1.75%  reflect.unsafe_New
       1MB  1.75% 73.93%        1MB  1.75%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodStatus
       1MB  1.75% 75.68%        1MB  1.75%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).getFsStats
       1MB  1.75% 77.42%        1MB  1.75%  runtime.acquireSudog
       1MB  1.75% 79.17%        1MB  1.75%  reflect.unsafe_NewArray
    0.79MB  1.38% 80.55%     0.79MB  1.38%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.62MB  1.09% 81.64%     0.62MB  1.09%  runtime.makechan
    0.50MB  0.88% 82.52%     4.55MB  7.95%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
    0.50MB  0.88% 83.39%     0.50MB  0.88%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/printers.(*HumanReadablePrinter).HandledResources
    0.50MB  0.88% 84.27%     0.50MB  0.88%  github.com/openshift/origin/vendor/k8s.io/apimachinery/third_party/forked/golang/json.typeFields
    0.50MB  0.87% 85.14%        1MB  1.75%  crypto/x509.parseCertificate
    0.50MB  0.87% 86.02%     0.50MB  0.87%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl.ResourceAliases
    0.50MB  0.87% 86.89%     0.50MB  0.87%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/client/clientset_generated/clientset/typed/core/v1.(*persistentVolumes).Get
    0.50MB  0.87% 87.77%     0.50MB  0.87%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl/cmd/config.NewCmdConfigUseContext
    0.50MB  0.87% 88.64%        1MB  1.75%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodSpec
    0.50MB  0.87% 89.51%     0.50MB  0.87%  os.Lstat
    0.50MB  0.87% 90.39%     0.50MB  0.87%  os.Stat
    0.50MB  0.87% 91.26%     0.50MB  0.87%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*EndpointSubset).Unmarshal
    0.50MB  0.87% 92.14%     0.50MB  0.87%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.newRawContainerHandler
    0.50MB  0.87% 93.01%     1.50MB  2.62%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*ListContainersResponse).Unmarshal
    0.50MB  0.87% 93.88%     0.50MB  0.87%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.toRuntimeAPIContainer
    0.50MB  0.87% 94.76%     0.50MB  0.87%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/volume/secret.(*secretPlugin).NewMounter
    0.50MB  0.87% 95.63%     0.50MB  0.87%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_SecurityContext
    0.50MB  0.87% 96.51%     0.50MB  0.87%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/volume.(*metricsDu).getFsInfo
    0.50MB  0.87% 97.38%     0.50MB  0.87%  time.Sleep
    0.50MB  0.87% 98.25%     0.50MB  0.87%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
    0.50MB  0.87% 99.13%     0.50MB  0.87%  errors.New
    0.50MB  0.87%   100%     0.50MB  0.87%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/server/stats.(*volumeStatCalculator).parsePodVolumeStats
         0     0%   100%     4.02MB  7.02%  bytes.(*Buffer).ReadFrom
         0     0%   100%     0.95MB  1.66%  bytes.(*Buffer).WriteString
         0     0%   100%     0.95MB  1.66%  bytes.(*Buffer).grow
         0     0%   100%     1.50MB  2.62%  crypto/tls.(*Conn).Handshake
         0     0%   100%     1.50MB  2.62%  crypto/tls.(*Conn).clientHandshake
         0     0%   100%     1.50MB  2.62%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0%   100%     1.50MB  2.62%  crypto/x509.(*CertPool).AppendCertsFromPEM
         0     0%   100%     1.50MB  2.62%  crypto/x509.(*Certificate).Verify
         0     0%   100%     1.50MB  2.62%  crypto/x509.ParseCertificate
         0     0%   100%     1.50MB  2.62%  crypto/x509.initSystemRoots
         0     0%   100%     1.50MB  2.62%  crypto/x509.loadSystemRoots
         0     0%   100%     1.50MB  2.62%  crypto/x509.systemRootsPool
         0     0%   100%        1MB  1.75%  encoding/asn1.Unmarshal
         0     0%   100%        1MB  1.75%  encoding/asn1.UnmarshalWithParams
         0     0%   100%        1MB  1.75%  encoding/asn1.parseField
         0     0%   100%        1MB  1.75%  encoding/asn1.parseSequenceOf
         0     0%   100%     2.50MB  4.37%  encoding/json.(*Decoder).Decode
         0     0%   100%        2MB  3.50%  encoding/json.(*decodeState).array
         0     0%   100%        2MB  3.50%  encoding/json.(*decodeState).literal
         0     0%   100%        2MB  3.50%  encoding/json.(*decodeState).literalStore
         0     0%   100%     2.50MB  4.37%  encoding/json.(*decodeState).object
         0     0%   100%     2.50MB  4.37%  encoding/json.(*decodeState).unmarshal
