110.61s of 132.51s total (83.47%)
Dropped 1365 nodes (cum <= 0.66s)
      flat  flat%   sum%        cum   cum%
    17.84s 13.46% 13.46%     18.53s 13.98%  syscall.Syscall
    14.62s 11.03% 24.50%     26.61s 20.08%  runtime.scanobject
     6.38s  4.81% 29.31%      6.40s  4.83%  runtime.greyobject
     6.38s  4.81% 34.13%      6.38s  4.81%  runtime.heapBitsForObject
     6.31s  4.76% 38.89%      6.31s  4.76%  runtime.memclrNoHeapPointers
     5.24s  3.95% 42.84%     21.35s 16.11%  runtime.mallocgc
     4.71s  3.55% 46.40%      4.80s  3.62%  syscall.Syscall6
     4.53s  3.42% 49.82%      4.61s  3.48%  encoding/json.stateInString
     3.58s  2.70% 52.52%      7.94s  5.99%  encoding/json.(*Decoder).readValue
     3.21s  2.42% 54.94%      6.67s  5.03%  encoding/json.(*decodeState).scanWhile
     2.79s  2.11% 57.04%      2.79s  2.11%  runtime.memmove
     2.20s  1.66% 58.71%      8.74s  6.60%  runtime.mapassign
     2.15s  1.62% 60.33%      2.26s  1.71%  encoding/json.unquoteBytes
     1.91s  1.44% 61.77%      2.18s  1.65%  runtime.mapiternext
     1.81s  1.37% 63.13%      1.81s  1.37%  runtime.heapBitsSetType
     1.80s  1.36% 64.49%     28.60s 21.58%  encoding/json.(*decodeState).object
     1.67s  1.26% 65.75%      1.67s  1.26%  runtime.futex
     1.66s  1.25% 67.01%      1.66s  1.25%  runtime.aeshashbody
     1.61s  1.22% 68.22%      1.61s  1.22%  runtime.(*mSpanList).remove
     0.93s   0.7% 68.92%      0.93s   0.7%  runtime.memeqbody
     0.70s  0.53% 69.45%      0.74s  0.56%  encoding/json.stateEndValue
     0.70s  0.53% 69.98%      1.96s  1.48%  runtime.typedmemmove
     0.65s  0.49% 70.47%      1.57s  1.18%  reflect.(*rtype).Name
     0.64s  0.48% 70.95%      0.69s  0.52%  runtime.lock
     0.63s  0.48% 71.43%      1.88s  1.42%  runtime.evacuate
     0.59s  0.45% 71.87%      0.82s  0.62%  path.Clean
     0.55s  0.42% 72.29%      3.21s  2.42%  runtime.gentraceback
     0.53s   0.4% 72.69%     23.45s 17.70%  runtime.gcDrain
     0.51s  0.38% 73.07%      1.88s  1.42%  runtime.sweepone
     0.51s  0.38% 73.46%      1.54s  1.16%  syscall.ByteSliceFromString
     0.49s  0.37% 73.83%      2.62s  1.98%  encoding/json.(*decodeState).indirect
     0.45s  0.34% 74.17%      1.45s  1.09%  runtime.pcvalue
     0.43s  0.32% 74.49%      0.82s  0.62%  runtime.scanblock
     0.42s  0.32% 74.81%      0.94s  0.71%  runtime.mapaccess2_faststr
     0.41s  0.31% 75.12%      0.93s   0.7%  reflect.(*rtype).String
     0.40s   0.3% 75.42%     41.47s 31.30%  runtime.systemstack
     0.39s  0.29% 75.72%      0.83s  0.63%  runtime.bulkBarrierPreWrite
     0.39s  0.29% 76.01%      0.74s  0.56%  runtime.mapaccess1
     0.37s  0.28% 76.29%      1.14s  0.86%  runtime.mapiterinit
     0.37s  0.28% 76.57%      5.22s  3.94%  runtime.slicebytetostring
     0.36s  0.27% 76.84%      4.25s  3.21%  runtime.rawstring
     0.36s  0.27% 77.11%      1.34s  1.01%  runtime.writebarrierptr_prewrite1
     0.32s  0.24% 77.35%      0.82s  0.62%  runtime.step
     0.31s  0.23% 77.59%      0.74s  0.56%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.31s  0.23% 77.82%      6.01s  4.54%  runtime.newobject
     0.31s  0.23% 78.05%      0.90s  0.68%  syscall.ParseDirent
     0.29s  0.22% 78.27%      1.36s  1.03%  runtime.convT2E
     0.28s  0.21% 78.48%      4.53s  3.42%  runtime.rawstringtmp
     0.27s   0.2% 78.69%      3.81s  2.88%  runtime.(*mcentral).cacheSpan
     0.27s   0.2% 78.89%      0.93s   0.7%  runtime.gcmarkwb_m
     0.23s  0.17% 79.07%      8.09s  6.11%  runtime.makeslice
     0.22s  0.17% 79.23%      6.02s  4.54%  encoding/json.(*decodeState).literalStore
     0.21s  0.16% 79.39%     10.12s  7.64%  encoding/json.(*decodeState).literal
     0.20s  0.15% 79.54%      1.28s  0.97%  runtime.(*mspan).sweep
     0.19s  0.14% 79.68%      3.30s  2.49%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).Unmarshal
     0.18s  0.14% 79.82%      0.77s  0.58%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/cache.(*actualStateOfWorld).GetMountedVolumes
     0.18s  0.14% 79.96%      1.24s  0.94%  runtime.concatstrings
     0.18s  0.14% 80.09%      0.72s  0.54%  runtime.selectgoImpl
     0.17s  0.13% 80.22%      2.82s  2.13%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.extractLabels
     0.15s  0.11% 80.33%      1.73s  1.31%  reflect.New
     0.15s  0.11% 80.45%      0.72s  0.54%  reflect.Zero
     0.14s  0.11% 80.55%      2.48s  1.87%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.13s 0.098% 80.65%      1.07s  0.81%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.GetChainLines
     0.12s 0.091% 80.74%     29.19s 22.03%  encoding/json.(*decodeState).value
     0.12s 0.091% 80.83%      1.11s  0.84%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/cache.(*actualStateOfWorld).GetMountedVolumesForPod
