36.76s of 41.96s total (87.61%)
Dropped 949 nodes (cum <= 0.21s)
      flat  flat%   sum%        cum   cum%
     9.47s 22.57% 22.57%      9.66s 23.02%  syscall.Syscall
     4.33s 10.32% 32.89%      4.34s 10.34%  syscall.Syscall6
     3.26s  7.77% 40.66%      6.26s 14.92%  runtime.scanobject
     2.15s  5.12% 45.78%      2.15s  5.12%  runtime.memclrNoHeapPointers
     1.85s  4.41% 50.19%      1.86s  4.43%  runtime.greyobject
     1.54s  3.67% 53.86%      3.54s  8.44%  strings.FieldsFunc
     1.27s  3.03% 56.89%      5.27s 12.56%  runtime.mallocgc
     1.19s  2.84% 59.72%      1.19s  2.84%  runtime.futex
     1.17s  2.79% 62.51%      1.17s  2.79%  runtime.heapBitsForObject
     1.09s  2.60% 65.11%      1.09s  2.60%  math/big.addMulVVW
     1.02s  2.43% 67.54%      1.02s  2.43%  runtime.memmove
     0.87s  2.07% 69.61%      0.88s  2.10%  runtime.heapBitsSetType
     0.63s  1.50% 71.12%      2.45s  5.84%  runtime.mapassign
     0.54s  1.29% 72.40%      0.54s  1.29%  runtime.aeshashbody
     0.53s  1.26% 73.67%      0.53s  1.26%  syscall.RawSyscall6
     0.43s  1.02% 74.69%      0.43s  1.02%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.splitBlkioStatLine
     0.43s  1.02% 75.71%      0.43s  1.02%  runtime.(*mSpanList).remove
     0.37s  0.88% 76.60%      0.63s  1.50%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.36s  0.86% 77.45%      0.57s  1.36%  runtime.mapaccess2
     0.36s  0.86% 78.31%      0.36s  0.86%  strconv.ParseUint
     0.26s  0.62% 78.93%     10.72s 25.55%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
     0.25s   0.6% 79.53%      0.29s  0.69%  runtime.mapiternext
     0.22s  0.52% 80.05%      1.44s  3.43%  math/big.nat.montgomery
     0.22s  0.52% 80.58%      0.22s  0.52%  runtime.duffcopy
     0.21s   0.5% 81.08%      0.22s  0.52%  runtime.lock
     0.20s  0.48% 81.55%      0.43s  1.02%  runtime.evacuate
     0.17s  0.41% 81.96%      0.64s  1.53%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.15s  0.36% 82.32%      0.36s  0.86%  runtime.typedmemmove
     0.14s  0.33% 82.65%      0.35s  0.83%  bytes.(*Buffer).WriteString
     0.14s  0.33% 82.98%      6.60s 15.73%  runtime.gcDrain
     0.11s  0.26% 83.25%      0.28s  0.67%  math/big.nat.divLarge
     0.11s  0.26% 83.51%      0.38s  0.91%  runtime.makemap
     0.10s  0.24% 83.75%         1s  2.38%  runtime.slicebytetostring
     0.09s  0.21% 83.96%      1.16s  2.76%  runtime.findrunnable
     0.09s  0.21% 84.18%      0.33s  0.79%  runtime.memhash
     0.08s  0.19% 84.37%      1.17s  2.79%  runtime.(*mcentral).cacheSpan
     0.08s  0.19% 84.56%      0.32s  0.76%  runtime.(*mheap).alloc_m
     0.08s  0.19% 84.75%      0.47s  1.12%  runtime.gentraceback
     0.08s  0.19% 84.94%      1.96s  4.67%  runtime.makeslice
     0.07s  0.17% 85.10%      3.18s  7.58%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
     0.07s  0.17% 85.27%      5.88s 14.01%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.07s  0.17% 85.44%      0.33s  0.79%  runtime.memhash128
     0.07s  0.17% 85.61%      0.23s  0.55%  runtime.pcvalue
     0.06s  0.14% 85.75%      8.38s 19.97%  bufio.(*Scanner).Scan
     0.06s  0.14% 85.89%      0.23s  0.55%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.(*MachineInfoNamer).DeviceName
     0.06s  0.14% 86.03%      0.21s   0.5%  runtime.(*mheap).allocSpanLocked
     0.06s  0.14% 86.18%      0.36s  0.86%  runtime.notetsleep_internal
     0.06s  0.14% 86.32%      0.78s  1.86%  runtime.rawstringtmp
     0.05s  0.12% 86.44%      0.85s  2.03%  runtime.newarray
     0.05s  0.12% 86.56%      0.72s  1.72%  runtime.rawstring
     0.04s 0.095% 86.65%      1.03s  2.45%  runtime.newobject
