47.93s of 56.85s total (84.31%)
Dropped 1130 nodes (cum <= 0.28s)
      flat  flat%   sum%        cum   cum%
     9.68s 17.03% 17.03%      9.80s 17.24%  syscall.Syscall
     6.24s 10.98% 28.00%     11.93s 20.99%  runtime.scanobject
     3.85s  6.77% 34.78%      3.85s  6.77%  math/big.addMulVVW
     3.47s  6.10% 40.88%      3.48s  6.12%  syscall.Syscall6
     3.45s  6.07% 46.95%      3.49s  6.14%  runtime.greyobject
     2.28s  4.01% 50.96%      2.28s  4.01%  runtime.memclrNoHeapPointers
     2.22s  3.91% 54.86%      2.22s  3.91%  runtime.heapBitsForObject
     1.75s  3.08% 57.94%      3.59s  6.31%  strings.FieldsFunc
     1.44s  2.53% 60.47%      5.63s  9.90%  runtime.mallocgc
     1.41s  2.48% 62.96%      1.41s  2.48%  runtime.futex
     1.34s  2.36% 65.31%      1.34s  2.36%  runtime.memmove
     1.24s  2.18% 67.49%      5.70s 10.03%  math/big.nat.montgomery
     0.99s  1.74% 69.23%         1s  1.76%  runtime.heapBitsSetType
     0.75s  1.32% 70.55%      2.49s  4.38%  runtime.mapassign
     0.58s  1.02% 71.57%      0.58s  1.02%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.splitBlkioStatLine
     0.48s  0.84% 72.42%      1.34s  2.36%  math/big.nat.divLarge
     0.48s  0.84% 73.26%      0.48s  0.84%  runtime.aeshashbody
     0.37s  0.65% 73.91%      0.37s  0.65%  syscall.RawSyscall6
     0.36s  0.63% 74.55%      0.53s  0.93%  runtime.mapaccess2
     0.33s  0.58% 75.13%      0.33s  0.58%  runtime.(*mSpanList).remove
     0.33s  0.58% 75.71%      0.33s  0.58%  strconv.ParseUint
     0.31s  0.55% 76.25%      0.33s  0.58%  runtime.lock
     0.29s  0.51% 76.76%      0.29s  0.51%  runtime._ExternalCode
     0.29s  0.51% 77.27%     12.40s 21.81%  runtime.gcDrain
     0.22s  0.39% 77.66%      0.42s  0.74%  runtime.evacuate
     0.20s  0.35% 78.01%      1.19s  2.09%  runtime.gentraceback
     0.20s  0.35% 78.36%      0.58s  1.02%  runtime.pcvalue
     0.19s  0.33% 78.70%      0.35s  0.62%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.17s   0.3% 79.00%      0.57s  1.00%  encoding/json.(*Decoder).readValue
     0.15s  0.26% 79.26%      0.81s  1.42%  runtime.selectgoImpl
     0.15s  0.26% 79.53%     16.54s 29.09%  runtime.systemstack
     0.14s  0.25% 79.77%     10.99s 19.33%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
     0.13s  0.23% 80.00%      0.34s   0.6%  runtime.adjustframe
     0.12s  0.21% 80.21%      0.48s  0.84%  runtime.makemap
     0.12s  0.21% 80.42%      1.85s  3.25%  runtime.makeslice
     0.11s  0.19% 80.62%      8.23s 14.48%  bufio.(*Scanner).Scan
     0.11s  0.19% 80.81%      1.45s  2.55%  encoding/json.(*decodeState).object
     0.11s  0.19% 81.00%      1.14s  2.01%  runtime.findrunnable
     0.11s  0.19% 81.20%      1.14s  2.01%  runtime.slicebytetostring
     0.11s  0.19% 81.39%      0.33s  0.58%  runtime.step
     0.10s  0.18% 81.57%      2.87s  5.05%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
     0.10s  0.18% 81.74%      0.29s  0.51%  runtime.memhash
     0.09s  0.16% 81.90%      3.87s  6.81%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.09s  0.16% 82.06%      0.45s  0.79%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.09s  0.16% 82.22%      0.36s  0.63%  runtime.sweepone
     0.08s  0.14% 82.36%      1.47s  2.59%  math/big.(*Int).GCD
     0.07s  0.12% 82.48%      0.29s  0.51%  runtime.memhash128
     0.07s  0.12% 82.60%      1.34s  2.36%  runtime.newobject
     0.07s  0.12% 82.73%      0.89s  1.57%  runtime.rawstring
     0.05s 0.088% 82.81%      0.37s  0.65%  math/big.nat.mul
     0.05s 0.088% 82.90%      0.89s  1.57%  runtime.(*mcentral).cacheSpan
     0.05s 0.088% 82.99%      0.94s  1.65%  runtime.rawstringtmp
     0.04s  0.07% 83.06%      0.32s  0.56%  encoding/json.(*decodeState).literalStore
     0.04s  0.07% 83.13%      0.96s  1.69%  math/big.(*Int).QuoRem
     0.03s 0.053% 83.18%      1.38s  2.43%  math/big.nat.div
     0.03s 0.053% 83.24%      5.76s 10.13%  math/big.nat.expNNMontgomery
     0.03s 0.053% 83.29%      0.39s  0.69%  net/http.(*persistConn).readLoop
     0.03s 0.053% 83.34%      0.86s  1.51%  runtime.newarray
     0.03s 0.053% 83.39%      0.62s  1.09%  runtime.sysmon
     0.02s 0.035% 83.43%      0.44s  0.77%  encoding/json.(*decodeState).literal
