38.80s of 47.91s total (80.99%)
Dropped 1056 nodes (cum <= 0.24s)
      flat  flat%   sum%        cum   cum%
     8.97s 18.72% 18.72%      9.23s 19.27%  syscall.Syscall
     4.43s  9.25% 27.97%      4.43s  9.25%  math/big.addMulVVW
     4.38s  9.14% 37.11%      8.14s 16.99%  runtime.scanobject
     2.49s  5.20% 42.31%      2.49s  5.20%  runtime.greyobject
     1.84s  3.84% 46.15%      1.87s  3.90%  syscall.Syscall6
     1.56s  3.26% 49.41%      1.56s  3.26%  runtime.memclrNoHeapPointers
     1.54s  3.21% 52.62%      1.54s  3.21%  runtime.futex
     1.45s  3.03% 55.65%      1.45s  3.03%  runtime.memmove
     1.35s  2.82% 58.46%      6.35s 13.25%  math/big.nat.montgomery
     1.33s  2.78% 61.24%      1.33s  2.78%  runtime.heapBitsForObject
     0.98s  2.05% 63.29%      4.10s  8.56%  runtime.mallocgc
     0.96s  2.00% 65.29%      2.02s  4.22%  strings.FieldsFunc
     0.83s  1.73% 67.02%      0.87s  1.82%  runtime.heapBitsSetType
     0.51s  1.06% 68.09%      0.51s  1.06%  runtime.aeshashbody
     0.44s  0.92% 69.00%      0.44s  0.92%  math/big.mulAddVWW
     0.44s  0.92% 69.92%      1.50s  3.13%  math/big.nat.divLarge
     0.41s  0.86% 70.78%      1.53s  3.19%  runtime.mapassign
     0.29s  0.61% 71.38%      0.29s  0.61%  vendor/golang_org/x/crypto/curve25519.ladderstep
     0.25s  0.52% 71.91%      0.25s  0.52%  runtime._ExternalCode
     0.25s  0.52% 72.43%      0.25s  0.52%  runtime.readvarint
     0.21s  0.44% 72.87%      8.65s 18.05%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
     0.20s  0.42% 73.28%         1s  2.09%  runtime.gentraceback
     0.19s   0.4% 73.68%      0.36s  0.75%  runtime.mapaccess2
     0.18s  0.38% 74.06%      0.36s  0.75%  encoding/json.(*decodeState).scanWhile
     0.17s  0.35% 74.41%      0.38s  0.79%  runtime.evacuate
     0.17s  0.35% 74.77%      8.41s 17.55%  runtime.gcDrain
     0.15s  0.31% 75.08%      0.24s   0.5%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.13s  0.27% 75.35%      0.44s  0.92%  encoding/json.(*Decoder).readValue
     0.13s  0.27% 75.62%      1.32s  2.76%  runtime.findrunnable
     0.12s  0.25% 75.87%      1.55s  3.24%  encoding/json.(*decodeState).object
     0.12s  0.25% 76.12%      0.62s  1.29%  runtime.selectgoImpl
     0.11s  0.23% 76.35%      0.29s  0.61%  bytes.(*Buffer).WriteString
     0.11s  0.23% 76.58%      1.58s  3.30%  runtime.schedule
     0.10s  0.21% 76.79%      1.51s  3.15%  math/big.(*Int).GCD
     0.10s  0.21% 77.00%      0.28s  0.58%  runtime.adjustframe
     0.10s  0.21% 77.21%      0.35s  0.73%  runtime.step
     0.09s  0.19% 77.40%      7.19s 15.01%  bufio.(*Scanner).Scan
     0.09s  0.19% 77.58%      0.25s  0.52%  runtime.makemap
     0.09s  0.19% 77.77%      1.50s  3.13%  runtime.makeslice
     0.08s  0.17% 77.94%      1.11s  2.32%  runtime.newobject
     0.08s  0.17% 78.10%     11.75s 24.53%  runtime.systemstack
     0.08s  0.17% 78.27%      0.28s  0.58%  runtime.typedmemmove
     0.07s  0.15% 78.42%      0.48s  1.00%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.07s  0.15% 78.56%      0.29s  0.61%  runtime.memhash
     0.06s  0.13% 78.69%      0.75s  1.57%  runtime.(*mcentral).cacheSpan
     0.06s  0.13% 78.81%      0.31s  0.65%  runtime.memhash128
     0.06s  0.13% 78.94%      0.61s  1.27%  runtime.rawstringtmp
     0.05s   0.1% 79.04%      1.77s  3.69%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
     0.05s   0.1% 79.15%      2.99s  6.24%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.05s   0.1% 79.25%      1.58s  3.30%  math/big.nat.div
     0.05s   0.1% 79.36%      0.43s   0.9%  runtime.pcvalue
     0.05s   0.1% 79.46%      0.55s  1.15%  runtime.rawstring
     0.05s   0.1% 79.57%      0.77s  1.61%  runtime.slicebytetostring
     0.04s 0.083% 79.65%      0.97s  2.02%  math/big.(*Int).QuoRem
     0.04s 0.083% 79.73%      6.41s 13.38%  math/big.nat.expNNMontgomery
     0.04s 0.083% 79.82%      1.01s  2.11%  runtime.(*mcache).nextFree
     0.04s 0.083% 79.90%      0.76s  1.59%  runtime.growslice
     0.03s 0.063% 79.96%      0.42s  0.88%  math/big.nat.mul
     0.03s 0.063% 80.03%      0.60s  1.25%  runtime.notesleep
     0.03s 0.063% 80.09%      0.28s  0.58%  runtime.notetsleep_internal
     0.02s 0.042% 80.13%      0.50s  1.04%  encoding/json.(*decodeState).literal
     0.02s 0.042% 80.17%      0.35s  0.73%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.assignDeviceNamesToPerDiskStats
     0.02s 0.042% 80.21%      7.29s 15.22%  os.(*File).Read
     0.02s 0.042% 80.25%      0.78s  1.63%  runtime.(*mcache).nextFree.func1
     0.02s 0.042% 80.30%      0.48s  1.00%  runtime.(*mcentral).grow
     0.02s 0.042% 80.34%      0.33s  0.69%  runtime.funcspdelta
     0.02s 0.042% 80.38%      1.68s  3.51%  runtime.mcall
     0.02s 0.042% 80.42%      0.61s  1.27%  runtime.newstack
     0.02s 0.042% 80.46%      7.70s 16.07%  syscall.read
     0.01s 0.021% 80.48%      0.36s  0.75%  bufio.(*Reader).Read
     0.01s 0.021% 80.51%      0.25s  0.52%  crypto/sha256.(*digest).Write
     0.01s 0.021% 80.53%      0.31s  0.65%  crypto/tls.(*Conn).readRecord
     0.01s 0.021% 80.55%      0.28s  0.58%  crypto/x509.(*CertPool).findVerifiedParents
     0.01s 0.021% 80.57%      0.29s  0.61%  crypto/x509.(*Certificate).Verify
     0.01s 0.021% 80.59%      0.61s  1.27%  encoding/binary.Write
     0.01s 0.021% 80.61%      0.62s  1.29%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Connection).frameHandler
     0.01s 0.021% 80.63%      0.57s  1.19%  github.com/openshift/origin/vendor/github.com/docker/spdystream/spdy.(*Framer).writeSynReplyFrame
     0.01s 0.021% 80.65%      0.44s  0.92%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getCgroupParamUint
     0.01s 0.021% 80.67%      0.61s  1.27%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim/remote.(*dockerService).Exec
     0.01s 0.021% 80.69%      1.27s  2.65%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/server/streaming.(*server).serveExec
     0.01s 0.021% 80.71%      0.29s  0.61%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.GetChainLines
     0.01s 0.021% 80.73%     11.89s 24.82%  net/http.(*conn).serve
     0.01s 0.021% 80.76%      0.76s  1.59%  runtime.(*mcache).refill
     0.01s 0.021% 80.78%      0.45s  0.94%  runtime.callers
     0.01s 0.021% 80.80%      0.39s  0.81%  runtime.growWork
     0.01s 0.021% 80.82%      0.51s  1.06%  runtime.newarray
     0.01s 0.021% 80.84%      1.28s  2.67%  runtime.park_m
     0.01s 0.021% 80.86%      0.29s  0.61%  runtime.ready
     0.01s 0.021% 80.88%      0.41s  0.86%  runtime.saveblockevent
     0.01s 0.021% 80.90%      0.63s  1.31%  runtime.selectgo
