4.83s of 5.87s total (82.28%)
Dropped 501 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
     1.24s 21.12% 21.12%      1.30s 22.15%  syscall.Syscall
     0.54s  9.20% 30.32%      0.72s 12.27%  runtime.scanobject
     0.40s  6.81% 37.14%      0.41s  6.98%  syscall.Syscall6
     0.23s  3.92% 41.06%      0.23s  3.92%  runtime.memclrNoHeapPointers
     0.16s  2.73% 43.78%      0.16s  2.73%  runtime.futex
     0.14s  2.39% 46.17%      0.69s 11.75%  runtime.mallocgc
     0.11s  1.87% 48.04%      0.11s  1.87%  runtime.greyobject
     0.11s  1.87% 49.91%      0.11s  1.87%  runtime.heapBitsSetType
     0.10s  1.70% 51.62%      0.10s  1.70%  runtime.memmove
     0.09s  1.53% 53.15%      0.09s  1.53%  runtime.heapBitsForObject
     0.08s  1.36% 54.51%      0.08s  1.36%  math/big.addMulVVW
     0.07s  1.19% 55.71%      0.25s  4.26%  runtime.gentraceback
     0.07s  1.19% 56.90%      0.27s  4.60%  runtime.mapassign
     0.07s  1.19% 58.09%      0.25s  4.26%  runtime.newobject
     0.06s  1.02% 59.11%      0.06s  1.02%  runtime.epollwait
     0.05s  0.85% 59.97%      0.05s  0.85%  encoding/json.stateInString
     0.05s  0.85% 60.82%      0.07s  1.19%  runtime.typedmemmove
     0.04s  0.68% 61.50%      0.15s  2.56%  encoding/json.(*Decoder).readValue
     0.04s  0.68% 62.18%      0.09s  1.53%  encoding/json.(*decodeState).scanWhile
     0.04s  0.68% 62.86%      0.04s  0.68%  encoding/json.stateEndValue
     0.04s  0.68% 63.54%      0.11s  1.87%  runtime.concatstrings
     0.04s  0.68% 64.22%      0.10s  1.70%  runtime.pcvalue
     0.04s  0.68% 64.91%      0.04s  0.68%  runtime.runqgrab
     0.04s  0.68% 65.59%      0.11s  1.87%  strings.FieldsFunc
     0.04s  0.68% 66.27%      0.04s  0.68%  syscall.RawSyscall
     0.03s  0.51% 66.78%      0.05s  0.85%  io/ioutil.ReadDir.func1
     0.03s  0.51% 67.29%      0.25s  4.26%  runtime.(*mcentral).cacheSpan
     0.03s  0.51% 67.80%      0.06s  1.02%  runtime.(*mheap).alloc_m
     0.03s  0.51% 68.31%      0.03s  0.51%  runtime.aeshashbody
     0.03s  0.51% 68.82%      0.03s  0.51%  runtime.casgstatus
     0.03s  0.51% 69.34%      0.78s 13.29%  runtime.gcDrain
     0.03s  0.51% 69.85%      0.03s  0.51%  runtime.readvarint
     0.03s  0.51% 70.36%      0.05s  0.85%  runtime.reentersyscall
     0.03s  0.51% 70.87%      0.12s  2.04%  runtime.selectgoImpl
     0.03s  0.51% 71.38%      0.05s  0.85%  runtime.sweepone
     0.03s  0.51% 71.89%      0.03s  0.51%  runtime.unlock
     0.03s  0.51% 72.40%      0.06s  1.02%  syscall.ParseDirent
     0.02s  0.34% 72.74%      0.03s  0.51%  bytes.(*Buffer).WriteString
     0.02s  0.34% 73.08%      0.06s  1.02%  encoding/json.(*decodeState).indirect
     0.02s  0.34% 73.42%      0.35s  5.96%  encoding/json.(*decodeState).object
     0.02s  0.34% 73.76%      0.08s  1.36%  runtime.adjustframe
     0.02s  0.34% 74.11%      0.09s  1.53%  runtime.evacuate
     0.02s  0.34% 74.45%      0.19s  3.24%  runtime.findrunnable
     0.02s  0.34% 74.79%      0.03s  0.51%  runtime.lock
     0.02s  0.34% 75.13%      0.09s  1.53%  runtime.rawstringtmp
     0.02s  0.34% 75.47%      0.03s  0.51%  runtime.scanblock
     0.02s  0.34% 75.81%      0.05s  0.85%  runtime.step
     0.02s  0.34% 76.15%      0.09s  1.53%  syscall.ByteSliceFromString
     0.01s  0.17% 76.32%      0.18s  3.07%  bufio.(*Scanner).Scan
     0.01s  0.17% 76.49%      0.06s  1.02%  encoding/json.(*decodeState).literalStore
     0.01s  0.17% 76.66%      0.13s  2.21%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
     0.01s  0.17% 76.83%      0.06s  1.02%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Framer).ReadFrame
     0.01s  0.17% 77.00%      0.04s  0.68%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Framer).readMetaFrame
     0.01s  0.17% 77.17%      0.87s 14.82%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*Server).processUnaryRPC
     0.01s  0.17% 77.34%      0.03s  0.51%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.(*framer).writeHeaders
     0.01s  0.17% 77.51%      0.05s  0.85%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).Unmarshal
     0.01s  0.17% 77.68%      0.59s 10.05%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim/libdocker.(*instrumentedInterface).ListContainers
     0.01s  0.17% 77.85%      0.72s 12.27%  io/ioutil.ReadFile
     0.01s  0.17% 78.02%      0.19s  3.24%  io/ioutil.readAll
     0.01s  0.17% 78.19%      0.05s  0.85%  math/big.nat.div
     0.01s  0.17% 78.36%      0.04s  0.68%  math/big.nat.divLarge
     0.01s  0.17% 78.53%      0.10s  1.70%  math/big.nat.montgomery
     0.01s  0.17% 78.71%      0.04s  0.68%  net.(*netFD).Read
     0.01s  0.17% 78.88%      0.04s  0.68%  net/http.(*Request).write
     0.01s  0.17% 79.05%      0.11s  1.87%  os.(*File).Close
     0.01s  0.17% 79.22%      0.22s  3.75%  os.(*File).readdirnames
     0.01s  0.17% 79.39%      0.04s  0.68%  path.Join
     0.01s  0.17% 79.56%      0.03s  0.51%  reflect.(*rtype).Name
     0.01s  0.17% 79.73%      0.04s  0.68%  reflect.DeepEqual
     0.01s  0.17% 79.90%      0.33s  5.62%  runtime.(*mcache).nextFree
     0.01s  0.17% 80.07%      0.03s  0.51%  runtime.(*mheap).allocSpanLocked
     0.01s  0.17% 80.24%      0.08s  1.36%  runtime.callers.func1
     0.01s  0.17% 80.41%      0.03s  0.51%  runtime.chanrecv
     0.01s  0.17% 80.58%      0.07s  1.19%  runtime.chansend
     0.01s  0.17% 80.75%      0.04s  0.68%  runtime.convT2E
     0.01s  0.17% 80.92%      0.04s  0.68%  runtime.deferproc
     0.01s  0.17% 81.09%      0.03s  0.51%  runtime.heapBits.initSpan
     0.01s  0.17% 81.26%      0.37s  6.30%  runtime.makeslice
     0.01s  0.17% 81.43%      0.07s  1.19%  runtime.netpoll
     0.01s  0.17% 81.60%      0.05s  0.85%  runtime.newproc1
     0.01s  0.17% 81.77%      0.12s  2.04%  runtime.newstack
     0.01s  0.17% 81.94%      0.07s  1.19%  runtime.rawstring
     0.01s  0.17% 82.11%      0.04s  0.68%  runtime.scanframeworker
     0.01s  0.17% 82.28%      0.06s  1.02%  syscall.Fstat
         0     0% 82.28%      0.03s  0.51%  bufio.(*Reader).Read
         0     0% 82.28%      0.04s  0.68%  bufio.(*Writer).Flush
