134.71MB of 137.73MB total (97.81%)
Dropped 1501 nodes (cum <= 0.69MB)
      flat  flat%   sum%        cum   cum%
   62.51MB 45.39% 45.39%    64.55MB 46.87%  runtime.mapassign
   35.50MB 25.78% 71.16%    35.50MB 25.78%  runtime.rawstringtmp
   11.66MB  8.46% 79.63%    11.66MB  8.46%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
   11.50MB  8.35% 87.98%    11.50MB  8.35%  runtime.makemap
    3.80MB  2.76% 90.74%     3.80MB  2.76%  bytes.makeSlice
    2.53MB  1.84% 92.57%     2.53MB  1.84%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    2.04MB  1.48% 94.05%     2.04MB  1.48%  runtime.hashGrow
       1MB  0.73% 94.78%        1MB  0.73%  runtime.makechan
       1MB  0.73% 95.51%        1MB  0.73%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/printers.(*HumanReadablePrinter).HandledResources
       1MB  0.73% 96.23%     1.50MB  1.09%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
    0.88MB  0.64% 96.87%     0.88MB  0.64%  compress/flate.NewWriter
    0.79MB  0.57% 97.45%     0.79MB  0.57%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.50MB  0.36% 97.81%    82.67MB 60.02%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
         0     0% 97.81%     2.31MB  1.68%  bytes.(*Buffer).ReadFrom
         0     0% 97.81%     0.95MB  0.69%  bytes.(*Buffer).WriteString
         0     0% 97.81%     1.49MB  1.08%  bytes.(*Buffer).grow
         0     0% 97.81%     0.88MB  0.64%  compress/flate.NewWriterDict
         0     0% 97.81%     0.88MB  0.64%  compress/zlib.(*Writer).Write
         0     0% 97.81%     0.88MB  0.64%  compress/zlib.(*Writer).writeHeader
         0     0% 97.81%     0.88MB  0.64%  encoding/binary.Write
         0     0% 97.81%        1MB  0.73%  encoding/json.(*decodeState).object
         0     0% 97.81%        1MB  0.73%  encoding/json.(*decodeState).unmarshal
         0     0% 97.81%        1MB  0.73%  encoding/json.(*decodeState).value
         0     0% 97.81%        1MB  0.73%  encoding/json.Unmarshal
         0     0% 97.81%        1MB  0.73%  github.com/openshift/origin/pkg/api/install.init
         0     0% 97.81%     1.51MB  1.10%  github.com/openshift/origin/pkg/client/testclient.init
         0     0% 97.81%     1.51MB  1.10%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0% 97.81%     4.53MB  3.29%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
         0     0% 97.81%     4.53MB  3.29%  github.com/openshift/origin/pkg/cmd/openshift.NewCommandOpenShift
         0     0% 97.81%     6.18MB  4.49%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0% 97.81%     2.66MB  1.93%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0% 97.81%     1.51MB  1.10%  github.com/openshift/origin/pkg/cmd/util/clientcmd.init
         0     0% 97.81%     1.52MB  1.10%  github.com/openshift/origin/pkg/network/common.RunEventQueue
         0     0% 97.81%     1.52MB  1.10%  github.com/openshift/origin/pkg/network/common.newEventQueue
         0     0% 97.81%     1.52MB  1.10%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).(github.com/openshift/origin/pkg/network/node.watchEgressNetworkPolicies)-fm
