97.09MB of 97.09MB total (  100%)
Dropped 1267 nodes (cum <= 0.49MB)
      flat  flat%   sum%        cum   cum%
   38.51MB 39.66% 39.66%    40.53MB 41.74%  runtime.mapassign
   22.50MB 23.18% 62.84%    22.50MB 23.18%  runtime.rawstringtmp
    8.84MB  9.10% 71.94%     8.84MB  9.10%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
    8.50MB  8.76% 80.70%     8.50MB  8.76%  runtime.makemap
       3MB  3.09% 83.79%    56.35MB 58.04%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    2.53MB  2.61% 86.39%     2.53MB  2.61%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    2.48MB  2.55% 88.95%     2.48MB  2.55%  bytes.makeSlice
    2.02MB  2.08% 91.03%     2.02MB  2.08%  runtime.hashGrow
       1MB  1.03% 92.06%        1MB  1.03%  runtime.makechan
       1MB  1.03% 93.09%        1MB  1.03%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/printers.(*HumanReadablePrinter).HandledResources
       1MB  1.03% 94.12%     1.50MB  1.55%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
    0.88MB  0.91% 95.03%     0.88MB  0.91%  compress/flate.NewWriter
    0.79MB  0.81% 95.85%     0.79MB  0.81%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.52MB  0.53% 96.38%     0.52MB  0.53%  compress/flate.NewReaderDict
    0.52MB  0.53% 96.91%     0.52MB  0.53%  regexp.(*bitState).reset
    0.50MB  0.52% 97.42%     0.50MB  0.52%  reflect.unsafe_New
    0.50MB  0.52% 97.94%     0.50MB  0.52%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl/cmd/config.NewCmdConfigView
    0.50MB  0.52% 98.45%     0.50MB  0.52%  regexp/syntax.(*Regexp).CapNames
    0.50MB  0.52% 98.97%     0.50MB  0.52%  github.com/openshift/origin/pkg/cmd/server/start.NewDefaultMasterArgs
    0.50MB  0.52% 99.48%    53.35MB 54.94%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
    0.50MB  0.52%   100%     0.50MB  0.52%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
         0     0%   100%     0.53MB  0.55%  archive/zip.(*countWriter).Write
         0     0%   100%     0.53MB  0.55%  archive/zip.(*fileWriter).Write
