33.03s of 40.94s total (80.68%)
Dropped 1077 nodes (cum <= 0.20s)
      flat  flat%   sum%        cum   cum%
     8.14s 19.88% 19.88%      8.33s 20.35%  syscall.Syscall
     4.29s 10.48% 30.36%      4.29s 10.48%  math/big.addMulVVW
     4.18s 10.21% 40.57%      7.24s 17.68%  runtime.scanobject
     1.98s  4.84% 45.41%      1.99s  4.86%  runtime.greyobject
     1.42s  3.47% 48.88%      1.42s  3.47%  runtime.memclrNoHeapPointers
     1.40s  3.42% 52.30%      6.28s 15.34%  math/big.nat.montgomery
     1.09s  2.66% 54.96%      1.09s  2.66%  runtime.heapBitsForObject
     1.08s  2.64% 57.60%      1.08s  2.64%  runtime.memmove
     1.04s  2.54% 60.14%      1.04s  2.54%  runtime.futex
     0.93s  2.27% 62.41%      0.97s  2.37%  syscall.Syscall6
     0.83s  2.03% 64.44%      3.20s  7.82%  runtime.mallocgc
     0.59s  1.44% 65.88%      1.21s  2.96%  strings.FieldsFunc
     0.53s  1.29% 67.17%      0.57s  1.39%  runtime.heapBitsSetType
     0.48s  1.17% 68.34%      1.61s  3.93%  math/big.nat.divLarge
     0.38s  0.93% 69.27%      1.18s  2.88%  runtime.mapassign
     0.35s  0.85% 70.13%      0.35s  0.85%  math/big.mulAddVWW
     0.28s  0.68% 70.81%      0.28s  0.68%  math/big.subVV
     0.27s  0.66% 71.47%      0.99s  2.42%  runtime.gentraceback
     0.25s  0.61% 72.08%      0.25s  0.61%  runtime._ExternalCode
     0.23s  0.56% 72.64%      0.23s  0.56%  crypto/sha256.block
     0.22s  0.54% 73.18%      0.22s  0.54%  encoding/json.stateInString
     0.17s  0.42% 73.60%      0.57s  1.39%  encoding/json.(*Decoder).readValue
     0.15s  0.37% 73.96%      0.33s  0.81%  encoding/json.(*decodeState).scanWhile
     0.15s  0.37% 74.33%      0.28s  0.68%  runtime.step
     0.14s  0.34% 74.67%      0.85s  2.08%  runtime.findrunnable
     0.14s  0.34% 75.01%      0.45s  1.10%  runtime.pcvalue
     0.12s  0.29% 75.31%      1.48s  3.62%  encoding/json.(*decodeState).object
     0.12s  0.29% 75.60%      1.19s  2.91%  runtime.newobject
     0.10s  0.24% 75.84%      7.37s 18.00%  runtime.gcDrain
     0.10s  0.24% 76.09%      0.22s  0.54%  sync.(*Pool).Get
     0.08s   0.2% 76.28%      6.40s 15.63%  math/big.nat.expNNMontgomery
     0.08s   0.2% 76.48%      0.49s  1.20%  math/big.nat.mul
     0.08s   0.2% 76.67%      0.33s  0.81%  runtime.adjustframe
     0.08s   0.2% 76.87%      0.26s  0.64%  runtime.sweepone
     0.07s  0.17% 77.04%      0.22s  0.54%  math/big.nat.add
     0.07s  0.17% 77.21%      0.49s  1.20%  runtime.selectgoImpl
