253.25MB of 259.94MB total (97.42%)
Dropped 1668 nodes (cum <= 1.30MB)
      flat  flat%   sum%        cum   cum%
  113.02MB 43.48% 43.48%   114.54MB 44.06%  runtime.mapassign
      74MB 28.47% 71.95%       74MB 28.47%  runtime.rawstringtmp
   28.50MB 10.96% 82.91%    28.50MB 10.96%  runtime.makemap
   25.40MB  9.77% 92.69%    25.40MB  9.77%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
    5.27MB  2.03% 94.71%     5.27MB  2.03%  bytes.makeSlice
    2.53MB  0.97% 95.69%     2.53MB  0.97%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
       2MB  0.77% 96.46%   163.93MB 63.06%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    1.52MB  0.58% 97.04%     1.52MB  0.58%  runtime.hashGrow
       1MB  0.38% 97.42%     1.50MB  0.58%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
         0     0% 97.42%     3.19MB  1.23%  bytes.(*Buffer).ReadFrom
         0     0% 97.42%     1.54MB  0.59%  bytes.(*Buffer).WriteString
         0     0% 97.42%     2.08MB   0.8%  bytes.(*Buffer).grow
         0     0% 97.42%     1.51MB  0.58%  github.com/openshift/origin/pkg/client/testclient.init
         0     0% 97.42%     1.51MB  0.58%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0% 97.42%     4.53MB  1.74%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
         0     0% 97.42%     4.53MB  1.74%  github.com/openshift/origin/pkg/cmd/openshift.NewCommandOpenShift
         0     0% 97.42%     6.18MB  2.38%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0% 97.42%     2.66MB  1.02%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0% 97.42%     1.51MB  0.58%  github.com/openshift/origin/pkg/cmd/util/clientcmd.init
         0     0% 97.42%     1.52MB  0.58%  github.com/openshift/origin/pkg/network/common.RunEventQueue
         0     0% 97.42%     1.52MB  0.58%  github.com/openshift/origin/pkg/network/common.newEventQueue
         0     0% 97.42%     1.52MB  0.58%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).(github.com/openshift/origin/pkg/network/node.watchEgressNetworkPolicies)-fm
         0     0% 97.42%     1.52MB  0.58%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).watchEgressNetworkPolicies
         0     0% 97.42%     2.03MB  0.78%  github.com/openshift/origin/pkg/oc/cli.NewCmdKubectl
         0     0% 97.42%     1.50MB  0.58%  github.com/openshift/origin/pkg/oc/cli.NewCommandCLI
         0     0% 97.42%     1.51MB  0.58%  github.com/openshift/origin/pkg/oc/cli/cmd.init
         0     0% 97.42%     1.51MB  0.58%  github.com/openshift/origin/pkg/oc/cli/describe.init
         0     0% 97.42%     1.51MB  0.58%  github.com/openshift/origin/pkg/security/legacyclient.init
         0     0% 97.42%     3.50MB  1.35%  github.com/openshift/origin/vendor/github.com/gogo/protobuf/proto.Unmarshal
         0     0% 97.42%     3.50MB  1.35%  github.com/openshift/origin/vendor/github.com/gogo/protobuf/proto.UnmarshalMerge
         0     0% 97.42%    47.27MB 18.18%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).GetStats
         0     0% 97.42%   161.93MB 62.29%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
         0     0% 97.42%   234.43MB 90.19%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
         0     0% 97.42%   161.93MB 62.29%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.setDiskIoStats
         0     0% 97.42%   187.16MB 72.00%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetStats
         0     0% 97.42%     1.66MB  0.64%  github.com/openshift/origin/vendor/github.com/google/cadvisor/http.init
         0     0% 97.42%   234.43MB 90.19%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeeping
         0     0% 97.42%   234.43MB 90.19%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeepingTick
         0     0% 97.42%   234.43MB 90.19%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateStats
         0     0% 97.42%    70.50MB 27.12%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*BlkioGroup).GetStats
         0     0% 97.42%    70.50MB 27.12%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*Manager).GetStats
         0     0% 97.42%    70.50MB 27.12%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
         0     0% 97.42%    70.50MB 27.12%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getStats
         0     0% 97.42%     2.53MB  0.97%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*MetricVec).GetMetricWithLabelValues
         0     0% 97.42%     2.53MB  0.97%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*MetricVec).WithLabelValues
         0     0% 97.42%     2.53MB  0.97%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*MetricVec).getOrCreateMetricWithLabelValues
         0     0% 97.42%     2.53MB  0.97%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*SummaryVec).WithLabelValues
         0     0% 97.42%     2.53MB  0.97%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*summary).newStream
         0     0% 97.42%     2.53MB  0.97%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.NewSummaryVec.func1
         0     0% 97.42%     2.53MB  0.97%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
         0     0% 97.42%     1.51MB  0.58%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/apimachinery/announced.(*GroupMetaFactory).Enable
         0     0% 97.42%     1.51MB  0.58%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/apimachinery/announced.(*GroupMetaFactory).RegisterAndEnable
         0     0% 97.42%        3MB  1.15%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/apis/meta/v1.(*ObjectMeta).Unmarshal
         0     0% 97.42%     1.51MB  0.58%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime.(*SchemeBuilder).AddToScheme
         0     0% 97.42%     1.51MB  0.58%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime.(*SchemeBuilder).AddToScheme-fm
         0     0% 97.42%        4MB  1.54%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime.Decode
         0     0% 97.42%     3.50MB  1.35%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer/protobuf.(*Serializer).Decode
         0     0% 97.42%     3.50MB  1.35%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer/protobuf.unmarshalToObject
         0     0% 97.42%        3MB  1.15%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer/versioning.(*codec).Decode
         0     0% 97.42%     1.52MB  0.58%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.Forever
         0     0% 97.42%     4.02MB  1.55%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.JitterUntil
         0     0% 97.42%     4.02MB  1.55%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.JitterUntil.func1
         0     0% 97.42%     4.02MB  1.55%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.Until
         0     0% 97.42%        4MB  1.54%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/watch.(*StreamWatcher).receive
         0     0% 97.42%        4MB  1.54%  github.com/openshift/origin/vendor/k8s.io/client-go/rest/watch.(*Decoder).Decode
         0     0% 97.42%     2.02MB  0.78%  github.com/openshift/origin/vendor/k8s.io/client-go/tools/cache.(*controller).Run
         0     0% 97.42%     2.02MB  0.78%  github.com/openshift/origin/vendor/k8s.io/client-go/tools/cache.(*sharedIndexInformer).Run
         0     0% 97.42%     2.02MB  0.78%  github.com/openshift/origin/vendor/k8s.io/client-go/tools/cache.NewNamedReflector
         0     0% 97.42%     2.54MB  0.98%  github.com/openshift/origin/vendor/k8s.io/client-go/tools/cache.NewReflector
         0     0% 97.42%     2.02MB  0.78%  github.com/openshift/origin/vendor/k8s.io/client-go/tools/cache.newReflectorMetrics
         0     0% 97.42%     1.51MB  0.58%  github.com/openshift/origin/vendor/k8s.io/kubernetes/cmd/kube-proxy/app.init
         0     0% 97.42%     1.66MB  0.64%  github.com/openshift/origin/vendor/k8s.io/kubernetes/cmd/kubelet/app.init
         0     0% 97.42%     1.50MB  0.58%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*Endpoints).Unmarshal
         0     0% 97.42%        2MB  0.77%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*Service).Unmarshal
         0     0% 97.42%     2.03MB  0.78%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl/cmd.NewKubectlCommand
         0     0% 97.42%     1.66MB  0.64%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/cadvisor.init
         0     0% 97.42%     1.66MB  0.64%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/cm.init
         0     0% 97.42%     1.66MB  0.64%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/server.init
         0     0% 97.42%     1.54MB  0.59%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).(github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.syncProxyRules)-fm
         0     0% 97.42%     1.54MB  0.59%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).SyncLoop
         0     0% 97.42%     1.54MB  0.59%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
         0     0% 97.42%     1.54MB  0.59%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
         0     0% 97.42%     1.54MB  0.59%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/async.(*BoundedFrequencyRunner).Loop
         0     0% 97.42%     1.54MB  0.59%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/async.(*BoundedFrequencyRunner).tryRun
         0     0% 97.42%     3.19MB  1.23%  io.Copy
         0     0% 97.42%     3.19MB  1.23%  io.copyBuffer
         0     0% 97.42%     6.18MB  2.38%  main.init
         0     0% 97.42%     5.03MB  1.94%  main.main
         0     0% 97.42%     2.04MB  0.78%  os/exec.(*Cmd).Start.func1
         0     0% 97.42%     2.04MB  0.78%  os/exec.(*Cmd).writerDescriptor.func1
         0     0% 97.42%   259.44MB 99.81%  runtime.goexit
         0     0% 97.42%    11.21MB  4.31%  runtime.main
         0     0% 97.42%    73.50MB 28.28%  runtime.slicebytetostring
