34245.45kB of 34245.45kB total (  100%)
Dropped 1184 nodes (cum <= 171.23kB)
      flat  flat%   sum%        cum   cum%
11778.38kB 34.39% 34.39% 13330.76kB 38.93%  runtime.mapassign
 3584.62kB 10.47% 44.86%  3584.62kB 10.47%  runtime.rawstringtmp
 3072.14kB  8.97% 53.83%  3072.14kB  8.97%  runtime.makemap
 2590.11kB  7.56% 61.40%  2590.11kB  7.56%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
 1728.94kB  5.05% 66.44%  1728.94kB  5.05%  bytes.makeSlice
 1552.38kB  4.53% 70.98%  1552.38kB  4.53%  runtime.hashGrow
 1546.34kB  4.52% 75.49%  1546.34kB  4.52%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
 1028.06kB  3.00% 78.50%  1028.06kB  3.00%  runtime.makechan
    1026kB  3.00% 81.49%     1026kB  3.00%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/printers.(*HumanReadablePrinter).HandledResources
 1024.88kB  2.99% 84.48% 14349.16kB 41.90%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
 1024.16kB  2.99% 87.47%  1536.26kB  4.49%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
  902.59kB  2.64% 90.11%   902.59kB  2.64%  compress/flate.NewWriter
  809.97kB  2.37% 92.48%   809.97kB  2.37%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
  528.17kB  1.54% 94.02%   528.17kB  1.54%  regexp.(*bitState).reset
  512.38kB  1.50% 95.51%   512.38kB  1.50%  reflect.unsafe_New
  512.28kB  1.50% 97.01%   512.28kB  1.50%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl/cmd/config.NewCmdConfigView
  512.04kB  1.50% 98.50%   512.04kB  1.50%  regexp/syntax.(*Regexp).CapNames
  512.03kB  1.50%   100%   512.03kB  1.50%  github.com/openshift/origin/pkg/cmd/server/start.NewDefaultMasterArgs
         0     0%   100%   544.67kB  1.59%  archive/zip.(*countWriter).Write
         0     0%   100%   544.67kB  1.59%  archive/zip.(*fileWriter).Write
         0     0%   100%   544.67kB  1.59%  archive/zip.(*pooledFlateWriter).Write
         0     0%   100%   544.67kB  1.59%  bufio.(*Writer).Flush
         0     0%   100%   544.67kB  1.59%  bufio.(*Writer).Write
         0     0%   100%  1184.27kB  3.46%  bytes.(*Buffer).ReadFrom
         0     0%   100%   544.67kB  1.59%  bytes.(*Buffer).Write
         0     0%   100%   544.67kB  1.59%  bytes.(*Buffer).grow
         0     0%   100%   544.67kB  1.59%  compress/flate.(*Writer).Write
         0     0%   100%   544.67kB  1.59%  compress/flate.(*compressor).deflate
         0     0%   100%   544.67kB  1.59%  compress/flate.(*compressor).write
         0     0%   100%   544.67kB  1.59%  compress/flate.(*compressor).writeBlock
         0     0%   100%   544.67kB  1.59%  compress/flate.(*huffmanBitWriter).write
         0     0%   100%   544.67kB  1.59%  compress/flate.(*huffmanBitWriter).writeBlock
         0     0%   100%   544.67kB  1.59%  compress/flate.(*huffmanBitWriter).writeCode
         0     0%   100%   544.67kB  1.59%  compress/flate.(*huffmanBitWriter).writeTokens
         0     0%   100%   902.59kB  2.64%  compress/flate.NewWriterDict
         0     0%   100%   902.59kB  2.64%  compress/zlib.(*Writer).Write
         0     0%   100%   902.59kB  2.64%  compress/zlib.(*Writer).writeHeader
         0     0%   100%   902.59kB  2.64%  encoding/binary.Write
         0     0%   100%  1025.79kB  3.00%  encoding/json.(*decodeState).object
         0     0%   100%  1025.79kB  3.00%  encoding/json.(*decodeState).unmarshal
         0     0%   100%  1025.79kB  3.00%  encoding/json.(*decodeState).value
         0     0%   100%  1025.79kB  3.00%  encoding/json.Unmarshal
         0     0%   100%  1028.02kB  3.00%  github.com/openshift/origin/pkg/api/install.init
         0     0%   100%   512.14kB  1.50%  github.com/openshift/origin/pkg/auth/oauth/registry.init
         0     0%   100%  1546.67kB  4.52%  github.com/openshift/origin/pkg/client/testclient.init
         0     0%   100%  1546.67kB  4.52%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0%   100%  4643.26kB 13.56%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
         0     0%   100%  4643.26kB 13.56%  github.com/openshift/origin/pkg/cmd/openshift.NewCommandOpenShift
         0     0%   100%  6325.68kB 18.47%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0%   100%   516.01kB  1.51%  github.com/openshift/origin/pkg/cmd/server/api/install.init
         0     0%   100%   516.01kB  1.51%  github.com/openshift/origin/pkg/cmd/server/api/v1.init
         0     0%   100%   516.01kB  1.51%  github.com/openshift/origin/pkg/cmd/server/bootstrappolicy.init
         0     0%   100%   512.05kB  1.50%  github.com/openshift/origin/pkg/cmd/server/kubernetes/node.(*NodeConfig).RunProxy
         0     0%   100%   512.14kB  1.50%  github.com/openshift/origin/pkg/cmd/server/origin.init
         0     0%   100%   512.05kB  1.50%  github.com/openshift/origin/pkg/cmd/server/start.(*NodeOptions).Run
         0     0%   100%   512.03kB  1.50%  github.com/openshift/origin/pkg/cmd/server/start.NewCommandStartAllInOne
         0     0%   100%   512.03kB  1.50%  github.com/openshift/origin/pkg/cmd/server/start.NewCommandStartMaster
         0     0%   100%   512.05kB  1.50%  github.com/openshift/origin/pkg/cmd/server/start.NewCommandStartNode.func1
         0     0%   100%   512.05kB  1.50%  github.com/openshift/origin/pkg/cmd/server/start.NodeOptions.RunNode
         0     0%   100%   512.05kB  1.50%  github.com/openshift/origin/pkg/cmd/server/start.NodeOptions.StartNode
         0     0%   100%   512.05kB  1.50%  github.com/openshift/origin/pkg/cmd/server/start.StartNode
         0     0%   100%  2720.62kB  7.94%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0%   100%   512.10kB  1.50%  github.com/openshift/origin/pkg/cmd/server/start/kubernetes.init
         0     0%   100%  1546.67kB  4.52%  github.com/openshift/origin/pkg/cmd/util/clientcmd.init
         0     0%   100%  1554.07kB  4.54%  github.com/openshift/origin/pkg/network/common.RunEventQueue
         0     0%   100%  1554.07kB  4.54%  github.com/openshift/origin/pkg/network/common.newEventQueue
         0     0%   100%  1554.07kB  4.54%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).(github.com/openshift/origin/pkg/network/node.watchEgressNetworkPolicies)-fm
         0     0%   100%  1554.07kB  4.54%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).watchEgressNetworkPolicies
         0     0%   100%   512.14kB  1.50%  github.com/openshift/origin/pkg/oauth/apis/oauth/install.Install
         0     0%   100%   512.14kB  1.50%  github.com/openshift/origin/pkg/oauth/apis/oauth/v1.addConversionFuncs
