164.94MB of 168.27MB total (98.03%)
Dropped 1542 nodes (cum <= 0.84MB)
      flat  flat%   sum%        cum   cum%
   69.51MB 41.31% 41.31%    71.03MB 42.21%  runtime.mapassign
   39.50MB 23.48% 64.79%    39.50MB 23.48%  runtime.rawstringtmp
      23MB 13.67% 78.46%       23MB 13.67%  runtime.makemap
   15.68MB  9.32% 87.78%    15.68MB  9.32%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
    3.80MB  2.26% 90.03%     3.80MB  2.26%  bytes.makeSlice
    2.53MB  1.50% 91.54%     2.53MB  1.50%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    2.01MB  1.20% 92.73%    39.51MB 23.48%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
    1.52MB   0.9% 93.63%     1.52MB   0.9%  runtime.hashGrow
       1MB   0.6% 94.23%        1MB   0.6%  runtime.makechan
       1MB   0.6% 94.83%        1MB   0.6%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/printers.(*HumanReadablePrinter).HandledResources
       1MB  0.59% 95.42%   106.20MB 63.11%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
       1MB  0.59% 96.02%        1MB  0.59%  reflect.unsafe_New
       1MB  0.59% 96.61%     1.50MB  0.89%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
       1MB  0.59% 97.20%        1MB  0.59%  strings.FieldsFunc
    0.88MB  0.52% 97.73%     0.88MB  0.52%  compress/flate.NewWriter
    0.50MB   0.3% 98.03%   105.20MB 62.52%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
         0     0% 98.03%     2.31MB  1.37%  bytes.(*Buffer).ReadFrom
         0     0% 98.03%     0.95MB  0.57%  bytes.(*Buffer).WriteString
         0     0% 98.03%     1.49MB  0.88%  bytes.(*Buffer).grow
         0     0% 98.03%     0.88MB  0.52%  compress/flate.NewWriterDict
         0     0% 98.03%     0.88MB  0.52%  compress/zlib.(*Writer).Write
         0     0% 98.03%     0.88MB  0.52%  compress/zlib.(*Writer).writeHeader
         0     0% 98.03%     0.88MB  0.52%  encoding/binary.Write
         0     0% 98.03%        1MB   0.6%  encoding/json.(*decodeState).object
         0     0% 98.03%        1MB   0.6%  encoding/json.(*decodeState).unmarshal
         0     0% 98.03%        1MB   0.6%  encoding/json.(*decodeState).value
         0     0% 98.03%        1MB   0.6%  encoding/json.Unmarshal
         0     0% 98.03%        1MB   0.6%  github.com/openshift/origin/pkg/api/install.init
         0     0% 98.03%     1.51MB   0.9%  github.com/openshift/origin/pkg/client/testclient.init
         0     0% 98.03%     1.51MB   0.9%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0% 98.03%     4.53MB  2.69%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
         0     0% 98.03%     4.53MB  2.69%  github.com/openshift/origin/pkg/cmd/openshift.NewCommandOpenShift
         0     0% 98.03%     6.18MB  3.67%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0% 98.03%     2.66MB  1.58%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0% 98.03%     1.51MB   0.9%  github.com/openshift/origin/pkg/cmd/util/clientcmd.init
         0     0% 98.03%     1.52MB   0.9%  github.com/openshift/origin/pkg/network/common.RunEventQueue
         0     0% 98.03%     1.52MB   0.9%  github.com/openshift/origin/pkg/network/common.newEventQueue
         0     0% 98.03%     1.52MB   0.9%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).(github.com/openshift/origin/pkg/network/node.watchEgressNetworkPolicies)-fm
         0     0% 98.03%     1.52MB   0.9%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).watchEgressNetworkPolicies
         0     0% 98.03%        1MB  0.59%  github.com/openshift/origin/pkg/oc/admin.NewCommandAdmin
         0     0% 98.03%     2.03MB  1.21%  github.com/openshift/origin/pkg/oc/cli.NewCmdKubectl
         0     0% 98.03%     1.50MB  0.89%  github.com/openshift/origin/pkg/oc/cli.NewCommandCLI
         0     0% 98.03%        1MB  0.59%  github.com/openshift/origin/pkg/oc/cli/cmd.NewCmdCreate
         0     0% 98.03%     1.51MB   0.9%  github.com/openshift/origin/pkg/oc/cli/cmd.init
         0     0% 98.03%     1.51MB   0.9%  github.com/openshift/origin/pkg/oc/cli/describe.init
         0     0% 98.03%     1.51MB   0.9%  github.com/openshift/origin/pkg/security/legacyclient.init
         0     0% 98.03%     0.88MB  0.52%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Connection).Serve.func2
         0     0% 98.03%     0.88MB  0.52%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Connection).frameHandler
         0     0% 98.03%     0.88MB  0.52%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Connection).handleStreamFrame
         0     0% 98.03%     0.88MB  0.52%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Connection).sendReply
         0     0% 98.03%     0.88MB  0.52%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Stream).SendReply
         0     0% 98.03%     0.88MB  0.52%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*idleAwareFramer).WriteFrame
         0     0% 98.03%     0.88MB  0.52%  github.com/openshift/origin/vendor/github.com/docker/spdystream/spdy.(*Framer).WriteFrame
         0     0% 98.03%     0.88MB  0.52%  github.com/openshift/origin/vendor/github.com/docker/spdystream/spdy.(*Framer).writeSynReplyFrame
         0     0% 98.03%     0.88MB  0.52%  github.com/openshift/origin/vendor/github.com/docker/spdystream/spdy.(*SynReplyFrame).write
         0     0% 98.03%     0.88MB  0.52%  github.com/openshift/origin/vendor/github.com/docker/spdystream/spdy.writeHeaderValueBlock
         0     0% 98.03%        1MB   0.6%  github.com/openshift/origin/vendor/github.com/go-openapi/loads.init
         0     0% 98.03%        1MB   0.6%  github.com/openshift/origin/vendor/github.com/go-openapi/spec.(*Schema).UnmarshalJSON
         0     0% 98.03%        1MB   0.6%  github.com/openshift/origin/vendor/github.com/go-openapi/spec.MustLoadSwagger20Schema
         0     0% 98.03%        1MB   0.6%  github.com/openshift/origin/vendor/github.com/go-openapi/spec.Swagger20Schema
         0     0% 98.03%        2MB  1.19%  github.com/openshift/origin/vendor/github.com/gogo/protobuf/proto.Unmarshal
         0     0% 98.03%        2MB  1.19%  github.com/openshift/origin/vendor/github.com/gogo/protobuf/proto.UnmarshalMerge
         0     0% 98.03%    19.58MB 11.64%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).GetStats
         0     0% 98.03%   145.71MB 86.59%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
         0     0% 98.03%   105.20MB 62.52%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.setDiskIoStats
         0     0% 98.03%   126.13MB 74.96%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetStats
         0     0% 98.03%     1.66MB  0.98%  github.com/openshift/origin/vendor/github.com/google/cadvisor/http.init
         0     0% 98.03%   145.71MB 86.59%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeeping
         0     0% 98.03%   145.71MB 86.59%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeepingTick
         0     0% 98.03%   145.71MB 86.59%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateStats
         0     0% 98.03%     1.16MB  0.69%  github.com/openshift/origin/vendor/github.com/google/cadvisor/pages/static.Asset
