30.52s of 38.90s total (78.46%)
Dropped 1091 nodes (cum <= 0.19s)
      flat  flat%   sum%        cum   cum%
     7.39s 19.00% 19.00%      7.55s 19.41%  syscall.Syscall
     5.37s 13.80% 32.80%      5.37s 13.80%  math/big.addMulVVW
     3.11s  7.99% 40.80%      5.46s 14.04%  runtime.scanobject
     1.70s  4.37% 45.17%      7.66s 19.69%  math/big.nat.montgomery
     1.58s  4.06% 49.23%      1.59s  4.09%  runtime.greyobject
     1.18s  3.03% 52.26%      1.18s  3.03%  runtime.memmove
     1.12s  2.88% 55.14%      1.12s  2.88%  runtime.memclrNoHeapPointers
     0.99s  2.54% 57.69%      0.99s  2.54%  runtime.futex
     0.80s  2.06% 59.74%      0.80s  2.06%  runtime.heapBitsForObject
     0.74s  1.90% 61.65%      2.67s  6.86%  runtime.mallocgc
     0.60s  1.54% 63.19%      0.60s  1.54%  syscall.Syscall6
     0.52s  1.34% 64.52%      1.71s  4.40%  math/big.nat.divLarge
     0.47s  1.21% 65.73%      0.47s  1.21%  math/big.mulAddVWW
     0.46s  1.18% 66.92%      0.46s  1.18%  vendor/golang_org/x/crypto/curve25519.ladderstep
     0.44s  1.13% 68.05%      0.48s  1.23%  runtime.heapBitsSetType
     0.33s  0.85% 68.89%      0.74s  1.90%  strings.FieldsFunc
     0.31s   0.8% 69.69%      0.31s   0.8%  encoding/json.stateInString
     0.28s  0.72% 70.41%      0.28s  0.72%  math/big.subVV
     0.22s  0.57% 70.98%      1.84s  4.73%  encoding/json.(*decodeState).object
     0.21s  0.54% 71.52%      1.05s  2.70%  runtime.gentraceback
     0.20s  0.51% 72.03%      0.42s  1.08%  encoding/json.(*decodeState).scanWhile
     0.19s  0.49% 72.52%      0.66s  1.70%  runtime.mapassign
     0.18s  0.46% 72.98%      5.73s 14.73%  runtime.gcDrain
     0.17s  0.44% 73.42%      0.52s  1.34%  runtime.pcvalue
     0.11s  0.28% 73.70%      0.62s  1.59%  encoding/json.(*Decoder).readValue
     0.11s  0.28% 73.98%      0.29s  0.75%  runtime.step
     0.09s  0.23% 74.22%      0.88s  2.26%  runtime.findrunnable
     0.08s  0.21% 74.42%      0.56s  1.44%  runtime.selectgoImpl
     0.07s  0.18% 74.60%      0.20s  0.51%  encoding/json.(*decodeState).indirect
     0.07s  0.18% 74.78%      1.71s  4.40%  math/big.(*Int).GCD
     0.06s  0.15% 74.94%      1.77s  4.55%  math/big.nat.div
     0.06s  0.15% 75.09%      0.22s  0.57%  runtime.adjustframe
     0.06s  0.15% 75.24%      1.02s  2.62%  runtime.newobject
     0.05s  0.13% 75.37%      0.33s  0.85%  math/big.(*Int).Mul
     0.04s   0.1% 75.48%      5.81s 14.94%  bufio.(*Scanner).Scan
     0.04s   0.1% 75.58%      1.05s  2.70%  math/big.(*Int).QuoRem
     0.04s   0.1% 75.68%      0.38s  0.98%  math/big.basicMul
     0.04s   0.1% 75.78%      0.21s  0.54%  math/big.getNat
     0.04s   0.1% 75.89%      7.74s 19.90%  math/big.nat.expNNMontgomery
     0.04s   0.1% 75.99%      0.24s  0.62%  math/big.nat.mulAddWW
     0.04s   0.1% 76.09%      0.48s  1.23%  runtime.(*mcentral).cacheSpan
     0.04s   0.1% 76.20%      0.35s   0.9%  runtime.growslice
     0.04s   0.1% 76.30%      0.30s  0.77%  runtime.slicebytetostring
     0.03s 0.077% 76.38%      0.44s  1.13%  encoding/json.(*decodeState).literalStore
     0.03s 0.077% 76.45%      0.62s  1.59%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
     0.03s 0.077% 76.53%      0.20s  0.51%  math/big.(*Int).Add
     0.03s 0.077% 76.61%      0.67s  1.72%  math/big.nat.mul
     0.03s 0.077% 76.68%      0.47s  1.21%  runtime.callers.func1
     0.03s 0.077% 76.76%      1.05s  2.70%  runtime.makeslice
     0.03s 0.077% 76.84%      0.24s  0.62%  runtime.rawstringtmp
     0.03s 0.077% 76.92%      0.53s  1.36%  runtime.saveblockevent
     0.03s 0.077% 76.99%      0.99s  2.54%  runtime.schedule
     0.03s 0.077% 77.07%      8.26s 21.23%  runtime.systemstack
     0.02s 0.051% 77.12%      0.38s  0.98%  crypto/tls.(*Conn).Write
     0.02s 0.051% 77.17%      0.36s  0.93%  crypto/tls.(*Conn).readRecord
     0.02s 0.051% 77.22%      1.85s  4.76%  encoding/json.(*decodeState).value
     0.02s 0.051% 77.28%      6.25s 16.07%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
     0.02s 0.051% 77.33%      0.41s  1.05%  github.com/openshift/origin/vendor/google.golang.org/grpc.invoke
     0.02s 0.051% 77.38%      8.91s 22.90%  math/big.nat.expNN
     0.02s 0.051% 77.43%      0.32s  0.82%  net/http.(*Client).Do
