13.08s of 16.85s total (77.63%)
Dropped 838 nodes (cum <= 0.08s)
      flat  flat%   sum%        cum   cum%
     2.43s 14.42% 14.42%      2.43s 14.42%  math/big.addMulVVW
     2.27s 13.47% 27.89%      2.34s 13.89%  syscall.Syscall
     1.11s  6.59% 34.48%      1.73s 10.27%  runtime.scanobject
     0.78s  4.63% 39.11%      3.49s 20.71%  math/big.nat.montgomery
     0.59s  3.50% 42.61%      0.59s  3.50%  runtime.memclrNoHeapPointers
     0.58s  3.44% 46.05%      0.58s  3.44%  runtime.memmove
     0.54s  3.20% 49.26%      0.54s  3.20%  runtime.futex
     0.44s  2.61% 51.87%      0.44s  2.61%  syscall.Syscall6
     0.39s  2.31% 54.18%      1.32s  7.83%  runtime.mallocgc
     0.38s  2.26% 56.44%      0.38s  2.26%  runtime.greyobject
     0.32s  1.90% 58.34%      0.90s  5.34%  math/big.nat.divLarge
     0.27s  1.60% 59.94%      0.27s  1.60%  runtime.heapBitsForObject
     0.20s  1.19% 61.13%      0.20s  1.19%  vendor/golang_org/x/crypto/curve25519.ladderstep
     0.18s  1.07% 62.20%      0.18s  1.07%  math/big.mulAddVWW
     0.18s  1.07% 63.26%      0.18s  1.07%  runtime.heapBitsSetType
     0.15s  0.89% 64.15%      0.38s  2.26%  encoding/json.(*Decoder).readValue
     0.15s  0.89% 65.04%      0.75s  4.45%  runtime.gentraceback
     0.15s  0.89% 65.93%      0.15s  0.89%  runtime.readvarint
     0.12s  0.71% 66.65%      0.12s  0.71%  math/big.subVV
     0.12s  0.71% 67.36%      0.28s  1.66%  runtime.mapassign
     0.10s  0.59% 67.95%      0.59s  3.50%  runtime.newobject
     0.10s  0.59% 68.55%      0.10s  0.59%  sync.(*Mutex).Lock
     0.09s  0.53% 69.08%      0.09s  0.53%  runtime.findfunc
     0.09s  0.53% 69.61%      0.09s  0.53%  runtime.unlock
     0.08s  0.47% 70.09%      0.46s  2.73%  runtime.findrunnable
     0.08s  0.47% 70.56%      0.33s  1.96%  runtime.pcvalue
     0.07s  0.42% 70.98%      0.33s  1.96%  runtime.adjustframe
     0.07s  0.42% 71.39%      1.85s 10.98%  runtime.gcDrain
     0.06s  0.36% 71.75%      0.26s  1.54%  runtime.(*mcentral).cacheSpan
     0.06s  0.36% 72.11%      0.16s  0.95%  runtime.growslice
     0.06s  0.36% 72.46%      0.11s  0.65%  strings.FieldsFunc
     0.05s   0.3% 72.76%      0.77s  4.57%  encoding/json.(*decodeState).object
     0.05s   0.3% 73.06%      0.14s  0.83%  encoding/json.(*decodeState).scanWhile
     0.05s   0.3% 73.35%      0.78s  4.63%  math/big.(*Int).GCD
     0.04s  0.24% 73.59%      0.29s  1.72%  runtime.selectgoImpl
     0.04s  0.24% 73.83%      0.19s  1.13%  runtime.step
     0.03s  0.18% 74.01%      0.09s  0.53%  runtime.goschedImpl
     0.02s  0.12% 74.12%      0.85s  5.04%  bufio.(*Scanner).Scan
     0.02s  0.12% 74.24%      0.42s  2.49%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getMemoryData
     0.02s  0.12% 74.36%      0.09s  0.53%  math/big.getNat
     0.02s  0.12% 74.48%      3.52s 20.89%  math/big.nat.expNNMontgomery
     0.02s  0.12% 74.60%      0.10s  0.59%  math/big.putNat
     0.02s  0.12% 74.72%      0.22s  1.31%  runtime.chansend
     0.02s  0.12% 74.84%      0.13s  0.77%  runtime.goexit0
     0.02s  0.12% 74.96%      0.16s  0.95%  runtime.pcdatavalue
     0.02s  0.12% 75.07%      0.50s  2.97%  runtime.schedule
     0.02s  0.12% 75.19%      0.15s  0.89%  runtime.slicebytetostring
     0.02s  0.12% 75.31%      0.09s  0.53%  runtime.sweepone
     0.02s  0.12% 75.43%      0.10s  0.59%  sync.(*Pool).Get
     0.01s 0.059% 75.49%      0.17s  1.01%  bufio.(*Reader).Read
     0.01s 0.059% 75.55%      0.09s  0.53%  crypto/tls.(*block).readFromUntil
     0.01s 0.059% 75.61%      0.12s  0.71%  encoding/asn1.parseField
     0.01s 0.059% 75.67%      0.19s  1.13%  encoding/json.(*Decoder).refill
     0.01s 0.059% 75.73%      0.13s  0.77%  encoding/json.(*decodeState).indirect
     0.01s 0.059% 75.79%      0.25s  1.48%  encoding/json.(*decodeState).literal
     0.01s 0.059% 75.85%      0.79s  4.69%  encoding/json.(*decodeState).value
     0.01s 0.059% 75.91%      0.75s  4.45%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ContainerList
     0.01s 0.059% 75.96%      0.72s  4.27%  github.com/openshift/origin/vendor/github.com/emicklei/go-restful.(*Container).HandleWithFilter.func1
     0.01s 0.059% 76.02%      0.97s  5.76%  github.com/openshift/origin/vendor/github.com/emicklei/go-restful.(*FilterChain).ProcessFilter
     0.01s 0.059% 76.08%      0.35s  2.08%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.GetSpec
     0.01s 0.059% 76.14%      0.73s  4.33%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
     0.01s 0.059% 76.20%      0.37s  2.20%  github.com/openshift/origin/vendor/google.golang.org/grpc.invoke
     0.01s 0.059% 76.26%      0.17s  1.01%  github.com/openshift/origin/vendor/google.golang.org/grpc.recvResponse
     0.01s 0.059% 76.32%      0.10s  0.59%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.(*http2Client).NewStream
     0.01s 0.059% 76.38%      0.32s  1.90%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim/remote.(*dockerService).Exec
     0.01s 0.059% 76.44%      0.16s  0.95%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/kuberuntime.(*kubeGenericRuntimeManager).getKubeletSandboxes
