323.11MB of 332.82MB total (97.08%)
Dropped 1739 nodes (cum <= 1.66MB)
      flat  flat%   sum%        cum   cum%
  150.53MB 45.23% 45.23%   153.69MB 46.18%  runtime.mapassign
   89.50MB 26.89% 72.12%    89.50MB 26.89%  runtime.rawstringtmp
   37.50MB 11.27% 83.39%    37.50MB 11.27%  runtime.makemap
   29.11MB  8.75% 92.14%    29.11MB  8.75%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
    5.27MB  1.58% 93.72%     5.27MB  1.58%  bytes.makeSlice
    3.16MB  0.95% 94.67%     3.16MB  0.95%  runtime.hashGrow
       3MB   0.9% 95.57%       88MB 26.44%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
    2.53MB  0.76% 96.33%     2.53MB  0.76%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
       2MB   0.6% 96.93%   216.26MB 64.98%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    0.50MB  0.15% 97.08%   213.75MB 64.23%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
         0     0% 97.08%     3.19MB  0.96%  bytes.(*Buffer).ReadFrom
         0     0% 97.08%     2.08MB  0.62%  bytes.(*Buffer).grow
         0     0% 97.08%     4.53MB  1.36%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
         0     0% 97.08%     4.53MB  1.36%  github.com/openshift/origin/pkg/cmd/openshift.NewCommandOpenShift
         0     0% 97.08%     6.18MB  1.86%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0% 97.08%     2.66MB   0.8%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0% 97.08%     2.03MB  0.61%  github.com/openshift/origin/pkg/oc/cli.NewCmdKubectl
         0     0% 97.08%     4.50MB  1.35%  github.com/openshift/origin/vendor/github.com/gogo/protobuf/proto.Unmarshal
         0     0% 97.08%     4.50MB  1.35%  github.com/openshift/origin/vendor/github.com/gogo/protobuf/proto.UnmarshalMerge
         0     0% 97.08%    38.50MB 11.57%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).GetStats
         0     0% 97.08%   304.26MB 91.42%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
         0     0% 97.08%   213.75MB 64.23%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.setDiskIoStats
         0     0% 97.08%   265.76MB 79.85%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetStats
         0     0% 97.08%   304.26MB 91.42%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeeping
         0     0% 97.08%   304.26MB 91.42%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeepingTick
         0     0% 97.08%   304.26MB 91.42%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateStats
         0     0% 97.08%       88MB 26.44%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*BlkioGroup).GetStats
         0     0% 97.08%       88MB 26.44%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*Manager).GetStats
         0     0% 97.08%       88MB 26.44%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getStats
         0     0% 97.08%     2.53MB  0.76%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*MetricVec).GetMetricWithLabelValues
         0     0% 97.08%     2.53MB  0.76%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*MetricVec).WithLabelValues
         0     0% 97.08%     2.53MB  0.76%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*MetricVec).getOrCreateMetricWithLabelValues
         0     0% 97.08%     2.53MB  0.76%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*SummaryVec).WithLabelValues
         0     0% 97.08%     2.53MB  0.76%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*summary).newStream
         0     0% 97.08%     2.53MB  0.76%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.NewSummaryVec.func1
         0     0% 97.08%     2.53MB  0.76%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
         0     0% 97.08%     3.50MB  1.05%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/apis/meta/v1.(*ObjectMeta).Unmarshal
         0     0% 97.08%     5.50MB  1.65%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime.Decode
         0     0% 97.08%        5MB  1.50%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer/protobuf.(*Serializer).Decode
         0     0% 97.08%        5MB  1.50%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer/protobuf.unmarshalToObject
         0     0% 97.08%        4MB  1.20%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer/versioning.(*codec).Decode
         0     0% 97.08%     4.52MB  1.36%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.JitterUntil
         0     0% 97.08%     4.52MB  1.36%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.JitterUntil.func1
         0     0% 97.08%     4.52MB  1.36%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.Until
         0     0% 97.08%     5.50MB  1.65%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/watch.(*StreamWatcher).receive
         0     0% 97.08%     5.50MB  1.65%  github.com/openshift/origin/vendor/k8s.io/client-go/rest/watch.(*Decoder).Decode
         0     0% 97.08%     2.02MB  0.61%  github.com/openshift/origin/vendor/k8s.io/client-go/tools/cache.NewNamedReflector
         0     0% 97.08%     2.54MB  0.76%  github.com/openshift/origin/vendor/k8s.io/client-go/tools/cache.NewReflector
         0     0% 97.08%     2.02MB  0.61%  github.com/openshift/origin/vendor/k8s.io/client-go/tools/cache.newReflectorMetrics
         0     0% 97.08%        2MB   0.6%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*Endpoints).Unmarshal
