260.44MB of 267.13MB total (97.49%)
Dropped 1691 nodes (cum <= 1.34MB)
      flat  flat%   sum%        cum   cum%
  126.53MB 47.36% 47.36%   128.58MB 48.13%  runtime.mapassign
   72.50MB 27.14% 74.50%    72.50MB 27.14%  runtime.rawstringtmp
   25.50MB  9.55% 84.05%    25.50MB  9.55%  runtime.makemap
   21.91MB  8.20% 92.25%    21.91MB  8.20%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
    5.27MB  1.97% 94.23%     5.27MB  1.97%  bytes.makeSlice
    2.65MB  0.99% 95.22%    70.65MB 26.45%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
    2.53MB  0.95% 96.16%     2.53MB  0.95%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    2.05MB  0.77% 96.93%     2.05MB  0.77%  runtime.hashGrow
       1MB  0.37% 97.31%     1.50MB  0.56%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
    0.50MB  0.19% 97.49%   169.44MB 63.43%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
         0     0% 97.49%     3.19MB  1.20%  bytes.(*Buffer).ReadFrom
         0     0% 97.49%     1.54MB  0.58%  bytes.(*Buffer).WriteString
         0     0% 97.49%     2.08MB  0.78%  bytes.(*Buffer).grow
         0     0% 97.49%     1.50MB  0.56%  encoding/json.(*decodeState).object
         0     0% 97.49%     1.50MB  0.56%  encoding/json.(*decodeState).unmarshal
         0     0% 97.49%     1.50MB  0.56%  encoding/json.(*decodeState).value
         0     0% 97.49%     1.51MB  0.57%  github.com/openshift/origin/pkg/client/testclient.init
         0     0% 97.49%     1.51MB  0.57%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0% 97.49%     4.53MB  1.70%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
         0     0% 97.49%     4.53MB  1.70%  github.com/openshift/origin/pkg/cmd/openshift.NewCommandOpenShift
         0     0% 97.49%     6.18MB  2.31%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0% 97.49%     2.66MB  0.99%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0% 97.49%     1.51MB  0.57%  github.com/openshift/origin/pkg/cmd/util/clientcmd.init
         0     0% 97.49%     1.52MB  0.57%  github.com/openshift/origin/pkg/network/common.RunEventQueue
         0     0% 97.49%     1.52MB  0.57%  github.com/openshift/origin/pkg/network/common.newEventQueue
         0     0% 97.49%     1.52MB  0.57%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).(github.com/openshift/origin/pkg/network/node.watchEgressNetworkPolicies)-fm
         0     0% 97.49%     1.52MB  0.57%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).watchEgressNetworkPolicies
         0     0% 97.49%     2.03MB  0.76%  github.com/openshift/origin/pkg/oc/cli.NewCmdKubectl
         0     0% 97.49%     1.50MB  0.56%  github.com/openshift/origin/pkg/oc/cli.NewCommandCLI
         0     0% 97.49%     1.51MB  0.57%  github.com/openshift/origin/pkg/oc/cli/cmd.init
         0     0% 97.49%     1.51MB  0.57%  github.com/openshift/origin/pkg/oc/cli/describe.init
         0     0% 97.49%     1.51MB  0.57%  github.com/openshift/origin/pkg/security/legacyclient.init
