199.26MB of 206.96MB total (96.28%)
Dropped 1624 nodes (cum <= 1.03MB)
      flat  flat%   sum%        cum   cum%
  100.52MB 48.57% 48.57%   102.04MB 49.30%  runtime.mapassign
   46.50MB 22.47% 71.04%    46.50MB 22.47%  runtime.rawstringtmp
   21.30MB 10.29% 81.33%    21.30MB 10.29%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
   20.50MB  9.91% 91.24%    20.50MB  9.91%  runtime.makemap
    4.39MB  2.12% 93.36%     4.39MB  2.12%  bytes.makeSlice
    2.53MB  1.22% 94.58%     2.53MB  1.22%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    1.52MB  0.73% 95.31%     1.52MB  0.73%  runtime.hashGrow
       1MB  0.48% 95.80%   138.82MB 67.08%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
       1MB  0.48% 96.28%     1.50MB  0.72%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
         0     0% 96.28%     2.31MB  1.12%  bytes.(*Buffer).ReadFrom
         0     0% 96.28%     1.54MB  0.75%  bytes.(*Buffer).WriteString
         0     0% 96.28%     2.08MB  1.00%  bytes.(*Buffer).grow
         0     0% 96.28%     1.51MB  0.73%  github.com/openshift/origin/pkg/client/testclient.init
         0     0% 96.28%     1.51MB  0.73%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0% 96.28%     4.53MB  2.19%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
         0     0% 96.28%     4.53MB  2.19%  github.com/openshift/origin/pkg/cmd/openshift.NewCommandOpenShift
         0     0% 96.28%     6.18MB  2.98%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0% 96.28%     2.66MB  1.28%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0% 96.28%     1.51MB  0.73%  github.com/openshift/origin/pkg/cmd/util/clientcmd.init
         0     0% 96.28%     1.52MB  0.73%  github.com/openshift/origin/pkg/network/common.RunEventQueue
         0     0% 96.28%     1.52MB  0.73%  github.com/openshift/origin/pkg/network/common.newEventQueue
         0     0% 96.28%     1.52MB  0.73%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).(github.com/openshift/origin/pkg/network/node.watchEgressNetworkPolicies)-fm
         0     0% 96.28%     1.52MB  0.73%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).watchEgressNetworkPolicies
         0     0% 96.28%     2.03MB  0.98%  github.com/openshift/origin/pkg/oc/cli.NewCmdKubectl
         0     0% 96.28%     1.50MB  0.72%  github.com/openshift/origin/pkg/oc/cli.NewCommandCLI
