timestamp_ms,datagram_fragments_gen_sec,datagrams_delivered_sec,datagrams_fragmented_ok_sec,datagrams_output_requests_sec,datagrams_reassmbled_sec,fragments_rx_need_reassemble_sec,rx_datagrams_forwarded_sec,rx_datagrams_header_err_sec,rx_datagrams_invalid_addr_sec,rx_datagrams_nobuff_sec,rx_datagrams_reassmbly_fail_sec,rx_datagrams_sec,rx_datagrams_unknown_proto_sec,tx_datagrams_fragment_fail_sec,tx_datagrams_nobuff_sec,tx_datagrams_noroute_sec
1505941345000,0.00,154.41,0.00,141.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154.41,0.00,0.00,0.00,0.00
1505941445000,0.00,149.66,0.00,139.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149.66,0.00,0.00,0.00,0.00
1505941545000,0.00,10.61,0.00,10.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.61,0.00,0.00,0.00,0.00
1505941645000,0.00,19.20,0.00,19.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.20,0.00,0.00,0.00,0.00
1505941745000,0.00,76.19,0.00,77.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.19,0.00,0.00,0.00,0.00
1505941845000,0.00,67.67,0.00,69.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.67,0.00,0.00,0.00,0.00
1505941945000,0.00,13.30,0.00,13.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,0.00,0.00,0.00,0.00
1505942045000,0.00,3.45,0.00,3.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00
1505942145000,0.00,3.97,0.00,4.81,0.00,0.00,0.90,0.00,0.00,0.00,0.00,4.87,0.00,0.00,0.00,0.00
1505942245000,0.00,3.72,0.00,3.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.72,0.00,0.00,0.00,0.00
1505942345000,0.00,4.00,0.00,4.67,0.00,0.00,0.68,0.00,0.00,0.00,0.00,4.68,0.00,0.00,0.00,0.00
1505942445000,0.00,3.82,0.00,3.98,0.00,0.00,0.23,0.00,0.00,0.00,0.00,4.05,0.00,0.00,0.00,0.00
