timestamp_ms,cpu_00,cpu_01,cpu_02,cpu_03,cpu_04,cpu_05,cpu_06,cpu_07,cpu_08,cpu_09,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15
1505941345000,0.31,0.44,0.55,0.34,0.23,0.28,16.77,0.29,0.57,0.24,0.77,1.37,1.67,1.11,0.58,1.13
1505941445000,2.88,0.5,1.15,0.28,17.03,0.29,0.3,0.53,1.5,0.47,1.47,2.62,6.59,0.74,2.01,0.83
1505941545000,0.09,0.1,0.15,0.13,0.1,0.08,0.09,0.12,0.02,0.04,0.05,0.02,0.11,0.11,0.02,0.02
1505941645000,0.13,0.19,0.27,0.14,0.13,0.06,0.13,0.11,0.32,0.09,0.52,0.28,3.82,0.19,0.16,0.14
1505941745000,0.52,0.5,1.42,0.31,0.43,0.27,0.18,0.29,2.21,0.48,3.13,2.69,4.56,2.8,3.25,0.71
1505941845000,0.4,0.91,1.98,0.38,0.29,0.26,0.37,0.39,2.82,1.23,3.6,1.2,1.7,1.96,1.1,1.25
1505941945000,0.13,0.14,0.1,0.09,0.15,0.15,0.13,0.09,0.13,0.31,0.2,0.67,0.24,0.24,0.16,0.16
1505942045000,0.12,0.04,0.08,0.09,0.11,0.08,0.06,0.11,0.01,0.06,0.05,0.21,0.06,0.11,0.09,0.02
1505942145000,0.39,0.14,0.19,0.27,0.18,0.18,0.25,0.16,0.12,0.1,0.13,0.26,0.21,0.21,0.16,0.15
1505942245000,0.13,0.15,0.04,0.08,0.16,0.16,0.13,0.1,0.09,0.03,0.06,0.22,0.07,0.15,0.11,0.03
1505942345000,0.16,0.14,0.16,0.08,0.16,0.15,0.16,0.16,0.16,0.07,0.1,0.38,0.19,0.24,0.14,0.07
1505942445000,0.23,0.08,0.23,0.17,0.13,0.24,0.23,0.15,0.1,0.14,0.05,0.26,0.18,0.21,0.05,0.09
1505942545000,0.17,0.11,0.12,0.13,0.16,0.14,0.11,0.2,0.08,0.23,0.12,0.22,0.15,0.13,0.08,0.13
1505942645000,1.57,0.95,0.47,0.97,1.35,1.06,1.02,1.41,0.86,0.7,0.37,0.84,1.26,0.66,0.85,0.71
1505942745000,0.18,0.15,0.12,0.1,0.15,0.17,0.11,0.13,0.02,0.08,0.07,0.22,0.11,0.05,0.07,0.11
1505942845000,0.3,0.42,0.32,0.28,0.46,0.43,0.36,0.44,0.15,0.13,0.09,1.28,0.97,0.32,0.12,0.21
1505942945000,0.71,0.85,0.76,0.87,0.82,0.84,0.88,0.73,0.42,0.34,0.42,2.94,2.02,0.52,0.28,0.73
1505943045000,0.86,0.9,0.96,1.38,0.96,1.09,0.95,1.05,0.54,0.48,0.49,3.85,2.15,0.85,0.61,0.46
1505943145000,1.1,1.05,1.02,1.19,1.24,1.31,1.25,0.95,0.34,0.55,0.83,5.16,2.57,0.85,0.46,0.85
1505943245000,1.09,1.25,1.12,1.43,1.43,1.66,1.08,1.06,0.81,0.67,0.66,5.64,2.29,1.16,0.43,0.92
1505943345000,1.16,1.04,1.18,1.33,1.25,1.35,0.99,0.97,0.73,0.69,1.13,5.32,2,1.54,1.08,0.93
1505943445000,1.06,1.16,1.27,1.2,1.47,1.36,1.12,1.09,1.13,0.9,1.1,4.97,2.17,1.27,1.25,0.79
1505943545000,1.11,1.14,1.13,1.21,1.09,1.82,1.24,0.97,1.3,0.68,1.07,4.5,1.69,2.42,1.07,0.72
1505943645000,1.07,1.21,1.18,1.23,1.22,1.78,0.96,1.13,1.07,1.45,0.88,3.68,0.88,2,1.07,0.66
1505943745000,1.1,0.92,0.9,0.85,1.21,2.56,1.11,0.92,1.27,1.48,2.62,3.65,1.18,4.82,2.28,2.24
1505943845000,1.08,1.65,1,0.74,0.73,1.48,0.89,0.77,1.44,2.34,1.11,2.13,1.5,2.83,1.03,0.33
1505943945000,1.06,1.27,1.4,1.29,1.02,2.33,1.7,1.1,1.35,1.21,1.03,3.64,2.69,2.07,1.04,0.65
1505944045000,1.84,2.54,2.17,1.55,1.98,2.92,2.36,1.51,1.56,1.56,1.6,5.41,3.48,3.7,2.23,1.65
1505944145000,1.82,2.65,1.57,1.84,1.86,2.99,2.92,2.31,1.76,2.8,1.83,5.69,3.37,3.15,2.69,1.94
1505944245000,2.31,2.1,1.75,1.58,1.61,3.04,2.91,2.19,3.37,3.23,2.31,6.64,2.97,4.55,2.29,1.27
1505944345000,1.68,2.88,2,1.67,2.09,2.05,1.74,1.64,2.8,3.39,1.34,6.8,3.34,3.72,1.32,0.73
1505944445000,1.32,1.81,2.54,1.8,1.62,2.83,1.44,1.4,1.58,1.98,2.24,6.35,3.24,3.5,0.96,1.26
1505944545000,2.56,2.15,1.29,2.11,1.67,2.75,1.95,2,3.62,1.8,1.87,6.1,2.35,5.58,1.9,1.62
1505944645000,1.28,2.52,1.19,1.68,1.32,3.09,1.27,1.41,3.73,2.05,2.27,5.36,1.48,7.18,1.44,1.4
1505944745000,2.17,2.98,1.83,0.96,1.47,2.34,1.84,1.1,3.39,2.93,2.19,4.28,2.81,4.66,1.75,1.61
1505944845000,1.69,2.43,1.12,1.2,0.86,3.18,1.74,1.19,3.11,2.23,1.55,4.11,1.36,10.53,3.45,1.29
1505944945000,0.5,0.86,1.24,0.79,0.48,1.9,0.74,0.79,1.26,1.54,0.83,2.74,1.62,4.53,0.79,0.67
1505945045000,1.61,1.9,1.84,2.13,1.35,3.18,2.56,2.04,1.26,1.89,1.37,5.5,3.18,6.05,1.77,1.87
1505945145000,2.45,3,1.62,1.56,1.59,3.11,3.32,2.73,1.95,2.4,2.97,6.14,3.31,3.67,3.04,1.39
1505945245000,2.27,3.72,2.17,2.07,2.78,3.99,3.23,2.44,1.72,2.01,2.68,7.02,4.4,5.19,2.92,1.16
