timestamp_ms,raw_sockets,tcp_sockets,tcp_timewait_sockets,total_sockets,udp_sockets
1505941345000,0,8,139934329470979,632,2
1505941445000,0,8,139934329470980,1036,2
1505941545000,0,7,139934329470976,630,2
1505941645000,0,8,139934329470976,634,2
1505941745000,0,8,139934329470976,628,2
1505941845000,0,12,139934329470977,696,5
1505941945000,0,11,139934329470976,690,5
1505942045000,0,10,139934329470976,688,5
1505942145000,0,10,139934329470976,1098,5
1505942245000,0,9,139934329470976,692,5
1505942345000,0,9,139934329470976,1508,5
1505942445000,0,9,139934329470978,692,5
1505942545000,0,9,139934329470976,1504,5
1505942645000,0,13,139934329470989,1509,5
1505942745000,0,13,139934329470988,1507,5
1505942845000,0,13,139934329470999,1517,5
1505942945000,0,13,139934329470998,1517,5
1505943045000,0,13,139934329471004,1514,5
1505943145000,0,13,139934329470995,1519,5
1505943245000,0,13,139934329471000,1531,5
1505943345000,0,13,139934329471006,1524,5
1505943445000,0,13,139934329471004,1536,5
1505943545000,0,13,139934329471004,1528,5
1505943645000,0,13,139934329471003,1523,5
1505943745000,0,13,139934329471001,1520,5
1505943845000,0,13,139934329471003,1515,5
1505943945000,0,13,139934329470995,1564,5
1505944045000,0,13,139934329471001,1555,5
1505944145000,0,13,139934329470997,1541,5
1505944245000,0,13,139934329471008,1518,5
1505944345000,0,13,139934329470997,1535,5
1505944445000,0,13,139934329470999,1591,5
1505944545000,0,13,139934329471001,1526,5
1505944645000,0,13,139934329470998,1526,5
1505944745000,0,13,139934329471002,1530,5
1505944845000,0,13,139934329471003,1526,5
1505944945000,0,13,139934329470992,1553,5
1505945045000,0,13,139934329470995,1546,5
1505945145000,0,13,139934329470998,1535,5
1505945245000,0,13,139934329471001,1549,5
1505945345000,0,13,139934329470994,1555,5
1505945445000,0,13,139934329471004,1631,5
1505945545000,0,13,139934329470992,1589,5
1505945645000,0,13,139934329470997,1623,5
1505945745000,0,13,139934329470995,1520,5
1505945845000,0,13,139934329470998,1520,5
1505945945000,0,13,139934329470999,1537,5
1505946045000,0,13,139934329471003,1530,5
1505946145000,0,13,139934329471001,1528,5
1505946245000,0,13,139934329471000,1513,5
1505946345000,0,13,139934329470990,1510,5
1505946445000,0,13,139934329470991,1553,5
1505946545000,0,13,139934329470993,1555,5
1505946645000,0,13,139934329470995,1578,5
1505946745000,0,13,139934329470996,1577,5
1505946845000,0,13,139934329470996,1618,5
1505946945000,0,13,139934329470995,1665,5
1505947045000,0,13,139934329470993,1665,5
1505947145000,0,13,139934329470992,1638,5
1505947245000,0,13,139934329470995,1596,5
1505947345000,0,13,139934329470993,1546,5
1505947445000,0,13,139934329470996,1515,5
1505947545000,0,13,139934329470995,1534,5
1505947645000,0,13,139934329470996,1529,5
1505947745000,0,13,139934329471003,1524,5
1505947845000,0,13,139934329471000,1526,5
1505947945000,0,13,139934329470998,1512,5
1505948045000,0,13,139934329470990,1515,5
1505948145000,0,13,139934329470988,1511,5
1505948245000,0,13,139934329470988,1510,5
1505948345000,0,13,139934329470988,1510,5
