timestamp_ms,commit_pct,hugeused_pct,kbactive,kbanonpg,kbbuffers,kbcached,kbcommit,kbdirty,kbhugefree,kbhugeused,kbinactive,kbkstack,kbmemfree,kbmemused,kbpgtbl,kbslab,kbswpcad,kbswpfree,kbswpused,kbvmused,memused_pct,swpcad_pct,swpused_pct
1505941345000,1.84,0.00,325668,176676,2124,502328,1209972,784,0,0,338924,7120,64516056,1277824,6668,150040,0,0,0,150964,1.94,0.00,0.00
1505941445000,1.90,0.00,1085312,183112,2124,1227460,1252652,12444,0,0,312276,7216,63733268,2060612,6488,191620,0,0,0,150964,3.13,0.00,0.00
1505941545000,1.94,0.00,1086308,184732,2124,1227656,1275736,68,0,0,311668,7216,63732192,2061688,6436,192352,0,0,0,150964,3.13,0.00,0.00
1505941645000,2.05,0.00,1128320,224824,2124,1228192,1351732,1668,0,0,309676,7296,63686744,2107136,7344,198784,0,0,0,150964,3.20,0.00,0.00
1505941745000,1.89,0.00,1085444,178884,2124,1231416,1243040,2636,0,0,309740,7216,63722788,2071092,7440,205112,0,0,0,150964,3.15,0.00,0.00
1505941845000,2.04,0.00,1115276,302016,2124,1266796,1339128,18700,0,0,299108,7504,63550884,2242996,8208,216524,0,0,0,150964,3.41,0.00,0.00
1505941945000,2.14,0.00,1127136,313620,2124,1266980,1405056,552,0,0,299084,7568,63539256,2254624,7120,217500,0,0,0,150964,3.43,0.00,0.00
1505942045000,2.24,0.00,1128840,315308,2124,1267052,1470884,28,0,0,299092,7680,63537624,2256256,6856,216960,0,0,0,150964,3.43,0.00,0.00
1505942145000,2.36,0.00,1149596,326188,2124,1438668,1554848,32,0,0,460800,7824,63348448,2445432,6804,219432,0,0,0,150976,3.72,0.00,0.00
1505942245000,2.35,0.00,1135476,311912,2124,1438784,1543452,36,0,0,460820,7808,63365200,2428680,6556,218900,0,0,0,150976,3.69,0.00,0.00
1505942345000,3.03,0.00,1174056,349184,2124,1444652,1990676,176,0,0,465128,8704,63311744,2482136,7268,221844,0,0,0,151024,3.77,0.00,0.00
1505942445000,2.38,0.00,1216332,317512,2124,1444756,1564040,164,0,0,391440,7792,63351272,2442608,6592,220864,0,0,0,151028,3.71,0.00,0.00
1505942545000,3.03,0.00,1247828,348712,2124,1447300,1994932,176,0,0,393636,8608,63308060,2485820,7408,223260,0,0,0,151024,3.78,0.00,0.00
1505942645000,3.20,0.00,1320100,393048,2124,1696160,2108208,8,0,0,614600,8864,62971688,2822192,7576,261392,0,0,0,151024,4.29,0.00,0.00
1505942745000,3.30,0.00,1324168,396716,2124,1696272,2168764,16,0,0,614144,8960,62966916,2826964,7656,261980,0,0,0,151028,4.30,0.00,0.00
1505942845000,3.54,0.00,1347572,419580,2124,1696792,2331896,204,0,0,614108,9248,62941988,2851892,7768,261784,0,0,0,151080,4.33,0.00,0.00
1505942945000,3.63,0.00,1379720,450328,2124,1706276,2386652,220,0,0,622332,9232,62897176,2896704,7924,263772,0,0,0,151204,4.40,0.00,0.00
1505943045000,3.77,0.00,1450620,520092,2124,1715736,2479144,420,0,0,630556,9248,62815704,2978176,8124,265248,0,0,0,151360,4.53,0.00,0.00
1505943145000,3.92,0.00,1533456,602788,2124,1732436,2581608,16,0,0,646952,9248,62712140,3081740,8420,266104,0,0,0,152992,4.68,0.00,0.00
