timestamp_ms,rx_datagrams_discard_no_dest_port_sec,rx_datagrams_discard_other_error,rx_datagrams_sec,tx_datagrams_sec
1505941345000,0.00,0.00,7.19,7.19
1505941445000,0.00,0.00,12.69,12.69
1505941545000,0.00,0.00,0.08,0.08
1505941645000,0.00,0.00,3.37,3.37
1505941745000,0.00,0.00,28.14,28.14
1505941845000,0.00,0.00,31.20,31.19
1505941945000,0.00,0.00,7.56,7.56
1505942045000,0.00,0.00,0.16,0.16
1505942145000,0.00,0.00,0.00,0.00
1505942245000,0.00,0.00,0.07,0.07
1505942345000,0.00,0.00,0.03,0.03
1505942445000,0.00,0.00,0.00,0.00
1505942545000,0.00,0.00,0.01,0.01
1505942645000,0.00,0.00,1.16,0.71
1505942745000,0.00,0.00,0.63,0.00
1505942845000,0.00,0.00,11.86,0.04
1505942945000,0.00,0.00,77.44,0.00
1505943045000,0.00,0.00,141.99,0.01
1505943145000,0.00,0.00,192.03,0.02
1505943245000,0.00,0.00,244.49,0.01
1505943345000,0.00,0.00,261.53,0.04
1505943445000,0.00,0.00,237.51,0.00
1505943545000,0.00,0.00,214.38,0.00
1505943645000,0.00,0.00,176.55,0.01
1505943745000,0.00,0.00,110.67,0.00
1505943845000,0.00,0.00,36.29,0.01
1505943945000,0.00,0.00,46.08,0.03
1505944045000,0.00,0.00,112.62,0.00
1505944145000,0.00,0.00,172.07,0.01
1505944245000,0.00,0.00,232.92,0.00
1505944345000,0.00,0.00,253.78,0.01
1505944445000,0.00,0.00,223.51,0.02
1505944545000,0.00,0.00,200.96,0.00
1505944645000,0.00,0.00,160.35,0.15
1505944745000,0.00,0.00,113.00,0.00
1505944845000,0.00,0.00,53.16,0.01
1505944945000,0.00,0.00,8.10,0.02
1505945045000,0.00,0.00,63.15,0.00
1505945145000,0.00,0.00,129.41,0.01
1505945245000,0.00,0.00,201.02,0.00
1505945345000,0.00,0.00,254.77,0.01
1505945445000,0.00,0.00,297.13,0.01
1505945545000,0.00,0.00,294.34,0.00
1505945645000,0.00,0.00,278.80,0.00
1505945745000,0.00,0.00,255.81,0.01
1505945845000,0.00,0.00,221.74,0.00
1505945945000,0.00,0.00,174.44,0.02
1505946045000,0.00,0.00,126.91,0.00
1505946145000,0.00,0.00,75.74,0.00
1505946245000,0.00,0.00,25.02,0.01
1505946345000,0.00,0.00,0.65,0.00
1505946445000,0.00,0.00,34.37,0.02
1505946545000,0.00,0.00,111.71,0.01
1505946645000,0.00,0.00,179.97,0.00
1505946745000,0.00,0.00,245.16,0.01
1505946845000,0.00,0.00,314.91,0.00
1505946945000,0.00,0.00,314.45,0.01
1505947045000,0.00,0.00,290.97,0.01
1505947145000,0.00,0.00,272.00,0.00
1505947245000,0.00,0.00,279.13,0.01
1505947345000,0.00,0.00,276.86,0.00
1505947445000,0.00,0.00,228.02,0.00
1505947545000,0.00,0.00,181.10,0.01
1505947645000,0.00,0.00,156.84,0.00
1505947745000,0.00,0.00,122.71,0.01
1505947845000,0.00,0.00,89.57,0.01
1505947945000,0.00,0.00,39.65,0.01
1505948045000,0.00,0.00,18.96,0.01
1505948145000,0.00,0.00,3.27,0.00
1505948245000,0.00,0.00,0.64,0.00
1505948345000,0.00,0.00,0.65,0.01
