timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1505941345000,0.00,0.00,81.08,0.30,0.00,0.00,0.01,0.05,5.96,12.60
1505941445000,0.00,0.00,67.68,0.01,0.00,0.00,0.01,0.09,12.84,19.37
1505941545000,0.00,0.00,64.54,0.07,0.00,0.00,0.05,0.13,12.88,22.33
1505941645000,0.00,0.00,58.95,0.41,0.00,0.00,0.12,0.14,14.42,25.96
1505941745000,0.00,0.00,38.66,0.10,0.00,0.00,0.28,0.12,25.90,34.95
1505941845000,0.00,0.00,49.53,0.20,0.00,0.00,0.32,0.12,22.69,27.14
1505941945000,0.00,0.00,39.17,0.13,0.00,0.00,0.12,0.14,26.66,33.77
1505942045000,0.00,0.00,85.40,0.13,0.00,0.00,0.05,0.13,4.26,10.02
1505942145000,0.00,0.00,88.39,0.22,0.00,0.00,0.07,0.14,3.70,7.48
1505942245000,0.00,0.00,75.60,0.22,0.00,0.00,0.09,0.14,8.14,15.81
1505942345000,0.00,0.00,82.66,0.51,0.00,0.00,0.08,0.13,5.40,11.21
1505942445000,0.00,0.00,93.76,0.27,0.00,0.00,0.03,0.09,2.35,3.50
1505942545000,0.00,0.00,96.85,0.53,0.00,0.00,0.03,0.11,0.56,1.91
1505942645000,0.00,0.00,96.90,0.36,0.00,0.00,0.02,0.10,0.55,2.07
1505942745000,0.00,0.00,96.70,0.34,0.00,0.00,0.02,0.09,0.64,2.22
1505942845000,0.00,0.00,89.89,0.29,0.00,0.00,0.31,0.14,1.71,7.66
1505942945000,0.00,0.00,81.93,0.17,0.00,0.00,0.67,0.23,2.79,14.22
1505943045000,0.00,0.00,83.74,0.17,0.00,0.00,0.58,0.23,3.35,11.93
1505943145000,0.00,0.00,78.21,0.12,0.00,0.00,0.85,0.24,3.53,17.04
1505943245000,0.00,0.00,77.73,0.27,0.00,0.00,0.94,0.26,4.13,16.66
1505943345000,0.00,0.00,80.73,0.29,0.00,0.00,0.77,0.24,3.97,14.00
1505943445000,0.00,0.00,80.92,0.16,0.00,0.00,0.71,0.24,3.88,14.10
1505943545000,0.00,0.00,82.68,0.16,0.00,0.00,0.64,0.22,3.83,12.47
1505943645000,0.00,0.00,89.08,0.24,0.00,0.00,0.30,0.18,3.24,6.96
1505943745000,0.00,0.00,89.48,0.22,0.00,0.00,0.26,0.18,3.31,6.56
1505943845000,0.00,0.00,85.30,1.17,0.00,0.77,0.21,0.17,5.52,6.85
1505943945000,0.00,0.00,80.74,0.08,0.00,0.00,0.56,0.23,3.01,15.37
1505944045000,0.00,0.00,78.08,0.18,0.00,0.00,0.65,0.24,4.25,16.61
1505944145000,0.00,0.00,75.49,0.20,0.00,0.00,0.84,0.27,5.40,17.81
1505944245000,0.00,0.00,73.24,0.15,0.00,0.00,0.93,0.26,5.92,19.50
1505944345000,0.00,0.00,75.21,0.15,0.00,0.00,0.86,0.27,5.58,17.93
1505944445000,0.00,0.00,76.72,0.17,0.00,0.00,0.81,0.27,4.38,17.66
1505944545000,0.00,0.00,75.10,0.16,0.00,0.00,0.79,0.23,7.61,16.11
1505944645000,0.00,0.00,85.24,0.19,0.00,0.00,0.39,0.22,3.66,10.30
1505944745000,0.00,0.00,83.49,0.16,0.00,0.00,0.24,0.18,6.40,9.54
1505944845000,0.00,0.00,85.42,0.17,0.00,0.00,0.22,0.18,5.30,8.72
1505944945000,0.00,0.00,87.10,0.24,0.00,0.00,0.18,0.16,4.23,8.09
1505945045000,0.00,0.00,77.30,0.16,0.00,0.00,0.61,0.24,5.00,16.69
1505945145000,0.00,0.00,76.85,0.27,0.00,0.00,0.64,0.25,4.23,17.77
1505945245000,0.00,0.00,72.99,0.20,0.00,0.00,0.72,0.25,6.15,19.69
1505945345000,0.00,0.00,72.33,0.39,0.00,0.00,0.92,0.28,5.37,20.70
1505945445000,0.00,0.00,74.22,0.58,0.00,0.00,0.86,0.27,6.09,17.99
1505945545000,0.00,0.00,72.28,0.87,0.00,0.00,0.85,0.26,6.01,19.74
1505945645000,0.00,0.00,76.87,0.39,0.00,0.00,0.79,0.25,5.33,16.37
1505945745000,0.00,0.00,77.45,0.06,0.00,0.00,0.67,0.23,6.11,15.48
1505945845000,0.00,0.00,81.30,0.20,0.00,0.00,0.38,0.20,5.83,12.09
1505945945000,0.00,0.00,85.07,0.13,0.00,0.00,0.32,0.18,4.69,9.61
1505946045000,0.00,0.00,85.68,0.25,0.00,0.00,0.27,0.20,3.33,10.27
1505946145000,0.00,0.00,84.27,0.41,0.00,0.00,0.19,0.18,5.08,9.88
1505946245000,0.00,0.00,85.11,0.09,0.00,0.00,0.17,0.17,4.83,9.63
1505946345000,0.00,0.00,90.04,0.53,0.00,0.00,0.10,0.15,1.92,7.26
1505946445000,0.00,0.00,80.91,0.36,0.00,0.00,0.43,0.19,3.26,14.85
