timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1505941345000,0.00,0.00,81.24,0.67,0.00,0.00,0.19,0.05,5.68,12.17
1505941445000,0.00,0.00,81.97,0.05,0.00,0.00,0.16,0.15,7.61,10.05
1505941545000,0.00,0.00,84.64,0.13,0.00,0.00,0.11,0.09,4.49,10.53
1505941645000,0.00,0.00,80.05,0.62,0.00,0.00,0.21,0.13,5.95,13.05
1505941745000,0.00,0.00,49.98,0.20,0.00,0.00,0.26,0.13,21.08,28.35
1505941845000,0.00,0.00,54.35,0.18,0.00,0.00,0.26,0.11,20.81,24.28
1505941945000,0.00,0.00,54.96,0.04,0.00,0.00,0.28,0.19,19.46,25.06
1505942045000,0.00,0.00,91.96,0.15,0.00,0.00,0.09,0.13,2.01,5.65
1505942145000,0.00,0.00,92.88,0.13,0.00,0.00,0.11,0.13,1.87,4.87
1505942245000,0.00,0.00,90.97,0.26,0.00,0.00,0.13,0.14,2.71,5.79
1505942345000,0.00,0.00,92.06,0.29,0.00,0.00,0.10,0.14,2.03,5.38
1505942445000,0.00,0.00,96.85,0.27,0.00,0.00,0.04,0.09,0.73,2.01
1505942545000,0.00,0.00,96.59,0.84,0.00,0.00,0.04,0.10,0.61,1.82
1505942645000,0.00,0.00,96.63,0.32,0.00,0.00,0.03,0.10,0.69,2.23
1505942745000,0.00,0.00,96.87,0.32,0.00,0.00,0.03,0.09,0.65,2.04
1505942845000,0.00,0.00,89.31,0.35,0.00,0.00,0.31,0.14,1.83,8.06
1505942945000,0.00,0.00,81.44,0.13,0.00,0.00,0.72,0.21,3.04,14.46
1505943045000,0.00,0.00,83.22,0.20,0.00,0.00,0.62,0.21,3.27,12.48
1505943145000,0.00,0.00,78.10,0.16,0.00,0.00,0.87,0.24,3.80,16.84
1505943245000,0.00,0.00,77.34,0.21,0.00,0.00,0.93,0.24,4.39,16.90
1505943345000,0.00,0.00,80.16,0.27,0.00,0.00,0.78,0.23,4.37,14.19
1505943445000,0.00,0.00,79.95,0.24,0.00,0.00,0.82,0.23,4.36,14.41
1505943545000,0.00,0.00,82.14,0.15,0.00,0.00,0.68,0.20,3.85,12.98
1505943645000,0.00,0.00,88.87,0.20,0.00,0.00,0.29,0.18,3.58,6.89
1505943745000,0.00,0.00,88.60,0.24,0.00,0.00,0.28,0.17,3.66,7.06
1505943845000,0.00,0.00,87.44,0.38,0.00,0.46,0.18,0.18,4.36,7.00
1505943945000,0.00,0.00,79.92,0.15,0.00,0.00,0.62,0.22,3.52,15.57
1505944045000,0.00,0.00,76.29,0.17,0.00,0.00,0.77,0.23,5.44,17.10
1505944145000,0.00,0.00,76.12,0.20,0.00,0.00,0.86,0.25,4.78,17.80
1505944245000,0.00,0.00,73.45,0.15,0.00,0.00,0.97,0.25,5.14,20.04
1505944345000,0.00,0.00,73.90,0.20,0.00,0.00,0.98,0.27,6.21,18.44
1505944445000,0.00,0.00,76.06,0.14,0.00,0.00,0.84,0.25,6.22,16.50
1505944545000,0.00,0.00,76.92,0.18,0.00,0.00,0.79,0.23,5.19,16.69
1505944645000,0.00,0.00,82.14,0.23,0.00,0.00,0.40,0.19,5.90,11.14
1505944745000,0.00,0.00,86.32,0.29,0.00,0.00,0.28,0.18,4.33,8.61
1505944845000,0.00,0.00,85.08,0.20,0.00,0.00,0.22,0.18,5.10,9.23
1505944945000,0.00,0.00,89.01,0.19,0.00,0.00,0.20,0.17,2.36,8.08
1505945045000,0.00,0.00,76.84,0.21,0.00,0.00,0.61,0.23,4.07,18.04
1505945145000,0.00,0.00,73.59,0.43,0.00,0.00,0.75,0.22,6.63,18.39
1505945245000,0.00,0.00,71.79,0.35,0.00,0.00,0.87,0.24,6.26,20.48
1505945345000,0.00,0.00,71.94,0.31,0.00,0.00,0.95,0.26,6.47,20.06
1505945445000,0.00,0.00,73.74,0.24,0.00,0.00,0.90,0.25,6.42,18.45
1505945545000,0.00,0.00,72.63,0.31,0.00,0.00,0.96,0.26,6.28,19.57
1505945645000,0.00,0.00,74.75,0.45,0.00,0.00,0.85,0.24,6.21,17.50
1505945745000,0.00,0.00,79.41,0.18,0.00,0.00,0.76,0.22,4.49,14.94
1505945845000,0.00,0.00,82.23,0.24,0.00,0.00,0.41,0.21,5.02,11.90
1505945945000,0.00,0.00,82.43,0.08,0.00,0.00,0.31,0.17,6.17,10.84
1505946045000,0.00,0.00,83.00,0.12,0.00,0.00,0.30,0.18,5.68,10.71
1505946145000,0.00,0.00,81.74,0.37,0.00,0.00,0.21,0.17,7.68,9.84
1505946245000,0.00,0.00,83.53,0.16,0.00,0.00,0.16,0.17,5.73,10.27
1505946345000,0.00,0.00,89.50,0.55,0.00,0.00,0.10,0.14,2.37,7.33
1505946445000,0.00,0.00,79.13,0.37,0.00,0.00,0.46,0.19,5.05,14.81
1505946545000,0.00,0.00,73.20,0.52,0.00,0.00,0.60,0.21,6.81,18.66
1505946645000,0.00,0.00,72.96,0.28,0.00,0.00,0.77,0.25,7.08,18.66
1505946745000,0.00,0.00,72.48,0.37,0.00,0.00,0.89,0.26,5.37,20.63
1505946845000,0.00,0.00,70.83,0.37,0.00,0.00,0.89,0.24,7.37,20.31
1505946945000,0.00,0.00,73.79,0.24,0.00,0.00,0.86,0.25,5.94,18.92
1505947045000,0.00,0.00,73.71,0.47,0.00,0.00,0.80,0.25,6.13,18.64
1505947145000,0.00,0.00,74.38,0.16,0.00,0.00,0.79,0.23,6.19,18.25
1505947245000,0.00,0.00,73.32,0.36,0.00,0.00,0.75,0.22,7.90,17.45
1505947345000,0.00,0.00,73.66,0.17,0.00,0.00,0.67,0.21,8.31,16.98
1505947445000,0.00,0.00,76.52,0.10,0.00,0.00,0.40,0.19,8.85,13.94
1505947545000,0.00,0.00,80.89,0.08,0.00,0.00,0.31,0.18,6.22,12.33
1505947645000,0.00,0.00,79.17,0.26,0.00,0.00,0.34,0.19,7.40,12.65
1505947745000,0.00,0.00,80.74,0.17,0.00,0.00,0.26,0.17,6.71,11.96
1505947845000,0.00,0.00,80.08,0.27,0.00,0.00,0.26,0.16,7.13,12.09
1505947945000,0.00,0.00,79.48,0.20,0.00,0.00,0.19,0.15,9.04,10.95
1505948045000,0.00,0.00,83.72,0.55,0.00,0.00,0.24,0.15,4.22,11.13
1505948145000,0.00,0.00,85.25,0.60,0.00,0.00,0.10,0.14,3.83,10.08
1505948245000,0.00,0.00,86.95,0.48,0.00,0.00,0.09,0.14,2.75,9.59
1505948345000,0.00,0.00,87.91,0.29,0.00,0.00,0.08,0.13,2.12,9.47
