timestamp_ms,docker_vg-docker--root--lv-read,docker_vg-docker--root--lv-write,xvda-read,xvda-write,xvdb-read,xvdb-write
1505941845000,0.00,0.00,0.01,0.46,0.00,0.00
1505942445000,0.00,0.00,0.01,2.15,0.00,0.00
1505943045000,0.00,0.00,0.00,0.09,0.00,0.22
1505943645000,0.00,0.00,0.00,0.40,0.00,0.75
1505944245000,0.00,0.00,0.00,1.03,0.00,0.67
1505944845000,0.00,0.00,0.00,1.67,0.00,0.52
1505945445000,0.00,0.00,0.00,1.64,0.00,0.57
1505946045000,0.00,0.00,0.00,1.54,0.00,0.48
1505946645000,0.00,0.00,0.00,1.92,0.00,0.57
1505947245000,0.00,0.00,0.00,1.63,0.00,0.39
1505947845000,0.00,0.00,0.00,1.69,0.00,0.63
