timestamp_ms,docker_vg-docker--root--lv-read,docker_vg-docker--root--lv-write,xvda-read,xvda-write,xvdb-read,xvdb-write
1505941845000,10.50,3.97,6.05,127.96,8.70,3.97
1505942445000,0.00,0.00,0.66,12.23,0.00,0.00
1505943045000,32.20,6.45,10.72,2.47,32.20,5.20
1505943645000,0.00,6.35,0.00,3.07,0.00,5.06
1505944245000,0.00,5.49,0.00,4.15,0.00,4.38
1505944845000,0.00,5.82,0.00,5.72,0.00,5.03
1505945445000,2.00,5.97,0.00,4.08,2.00,4.77
1505946045000,0.00,5.41,0.00,7.49,0.00,4.64
1505946645000,0.00,5.68,0.00,7.10,0.00,4.55
1505947245000,0.00,9.08,0.00,9.10,0.00,7.42
1505947845000,0.00,23.96,0.00,9.21,0.00,16.64
