timestamp_ms,active_opens_sec,passive_opens_sec,rx_segments_sec,tcp_attempt_fails_sec,tcp_establish_resets_sec,tcp_rx_segments_error_sec,tcp_segments_retransmitted_sec,tcp_tx_segments_RSTflag_sec,tx_segments_sec
1505941345000,12.06,0.02,207.58,10.53,0.36,0.00,0.00,0.00,183.36
1505941445000,13.54,0.00,363.41,10.52,0.48,0.00,0.00,0.00,169.07
1505941545000,10.50,0.00,21.03,10.50,0.00,0.00,0.00,0.00,21.02
1505941645000,11.08,0.01,26.33,10.52,0.02,0.00,0.00,0.00,26.60
1505941745000,13.88,0.00,59.62,10.52,0.02,0.00,0.00,0.00,61.65
1505941845000,10.79,0.01,46.21,10.19,0.00,0.00,0.00,0.00,48.89
1505941945000,0.46,0.01,5.60,0.00,0.00,0.00,0.00,0.00,5.95
1505942045000,0.40,0.00,3.32,0.00,0.00,0.00,0.00,0.00,3.21
1505942145000,0.40,0.00,3.27,0.00,0.00,0.00,0.00,0.00,3.29
1505942245000,0.40,0.00,3.47,0.00,0.00,0.00,0.00,0.00,3.53
1505942345000,1.16,0.31,10.41,0.20,0.22,0.00,0.00,0.00,10.75
1505942445000,1.81,0.43,10.68,0.23,0.66,0.00,0.00,0.00,11.73
1505942545000,2.10,0.42,248.43,0.22,0.77,0.00,0.00,0.00,100.57
1505942645000,2.01,0.42,11.51,0.22,0.69,0.00,0.00,0.00,12.93
1505942745000,2.00,0.40,11.46,0.20,0.68,0.00,0.00,0.00,12.95
1505942845000,2.40,0.66,30.91,0.29,0.78,0.00,0.00,0.00,33.06
1505942945000,4.52,5.72,150.85,0.39,2.63,0.00,0.00,0.00,149.98
1505943045000,9.91,15.22,291.33,0.43,7.93,0.00,0.00,0.00,284.59
1505943145000,13.14,20.64,397.29,0.37,11.35,0.00,0.00,0.00,382.42
1505943245000,16.63,27.57,516.59,0.39,14.77,0.00,0.00,0.00,498.48
1505943345000,21.43,32.08,540.61,0.40,19.49,0.00,0.00,0.00,522.95
1505943445000,22.39,32.47,493.69,0.40,20.45,0.00,0.00,0.00,475.68
1505943545000,23.49,32.48,447.83,0.40,21.56,0.00,0.00,0.00,434.31
