timestamp_ms,context_switches_sec,processes_created_sec
1505941345000,1481.35,10.48
1505941445000,1715.32,17.74
1505941545000,1122.31,0.48
1505941645000,1189.41,5.54
1505941745000,2151.58,41.17
1505941845000,2344.15,49.82
1505941945000,1547.44,5.63
1505942045000,1481.42,1.42
1505942145000,1473.70,2.16
1505942245000,1478.62,2.26
1505942345000,2929.93,13.56
1505942445000,1878.85,2.88
1505942545000,4734.08,7.52
1505942645000,1774.79,2.35
1505942745000,1756.39,2.08
1505942845000,1914.59,5.94
1505942945000,2375.89,10.54
1505943045000,2806.30,13.66
1505943145000,2859.70,9.06
1505943245000,3172.35,10.66
1505943345000,3183.19,11.69
1505943445000,4039.79,165.97
1505943545000,2961.88,12.40
1505943645000,2919.83,13.01
1505943745000,2764.63,12.63
1505943845000,2552.69,12.61
1505943945000,2371.04,8.23
1505944045000,2915.42,12.28
1505944145000,3169.65,11.96
1505944245000,3356.90,12.18
1505944345000,13689.03,11.12
1505944445000,13615.79,10.51
1505944545000,13727.23,12.05
1505944645000,14195.19,12.33
1505944745000,12470.38,12.17
1505944845000,12414.75,13.75
1505944945000,4982.62,6.44
1505945045000,2569.75,8.81
1505945145000,2916.65,9.14
1505945245000,3265.59,9.61
1505945345000,3418.91,8.63
1505945445000,3480.36,8.93
1505945545000,3287.48,7.72
1505945645000,3296.17,9.01
1505945745000,3218.98,8.61
1505945845000,3303.84,10.94
1505945945000,3102.74,9.97
1505946045000,3090.89,10.82
1505946145000,2998.20,11.07
1505946245000,2848.38,10.28
1505946345000,1895.91,1.96
1505946445000,2298.96,5.23
1505946545000,2983.17,7.63
1505946645000,3139.59,7.23
1505946745000,3401.13,6.71
1505946845000,3687.10,8.08
1505946945000,3523.49,6.86
1505947045000,3368.80,5.79
1505947145000,3376.95,6.09
1505947245000,3480.08,8.11
1505947345000,3384.51,8.36
1505947445000,3414.23,9.98
1505947545000,3373.51,10.12
1505947645000,3119.69,9.20
1505947745000,3178.68,9.86
1505947845000,3018.77,9.75
1505947945000,2921.75,9.22
1505948045000,2228.62,4.25
1505948145000,2176.88,3.81
1505948245000,1882.93,2.27
1505948345000,1935.21,1.77
