timestamp_ms,all_interrupts
1505941345000,2070.14
1505941445000,2737.08
1505941545000,1199.13
1505941645000,1366.71
1505941745000,2881.74
1505941845000,3025.92
1505941945000,1635.55
1505942045000,1530.98
1505942145000,1512.02
1505942245000,1508.76
1505942345000,3063.49
1505942445000,1887.11
1505942545000,4918.62
1505942645000,1754.25
1505942745000,1742.06
1505942845000,1971.37
1505942945000,2672.90
1505943045000,3415.17
1505943145000,3478.03
1505943245000,3947.69
1505943345000,4069.98
1505943445000,5139.26
1505943545000,3802.22
1505943645000,3675.85
1505943745000,3397.70
1505943845000,2959.03
1505943945000,2629.55
1505944045000,3455.46
1505944145000,3927.83
1505944245000,4272.68
1505944345000,11829.49
1505944445000,11611.55
1505944545000,11575.47
1505944645000,11835.16
1505944745000,10686.94
1505944845000,10328.13
1505944945000,4345.36
1505945045000,2981.01
1505945145000,3586.51
1505945245000,4213.94
1505945345000,4459.22
1505945445000,4629.40
1505945545000,4359.87
1505945645000,4431.50
1505945745000,4275.37
1505945845000,4479.63
1505945945000,4031.77
1505946045000,4013.08
1505946145000,3863.55
1505946245000,3498.30
1505946345000,1977.55
1505946445000,2667.09
1505946545000,3683.91
1505946645000,4027.23
1505946745000,4362.48
1505946845000,4872.77
1505946945000,4730.02
1505947045000,4474.20
1505947145000,4447.56
1505947245000,4743.77
1505947345000,4632.32
1505947445000,4615.08
1505947545000,4501.24
1505947645000,4061.86
1505947745000,4165.86
1505947845000,3968.56
1505947945000,3728.90
1505948045000,2627.59
1505948145000,2496.31
1505948245000,1972.63
1505948345000,2054.89
