timestamp_ms,cpu_00,cpu_01,cpu_02,cpu_03
1505941345000,18.25,3.15,2.27,4.68
1505941445000,5.07,8.06,21.75,7.3
1505941545000,0.39,0.47,0.3,0.46
1505941645000,5.06,0.59,1.06,0.99
1505941745000,4.94,4.85,7.1,8.68
1505941845000,3.15,2.65,9.55,6.57
1505941945000,0.46,0.66,1.21,0.9
1505942045000,0.46,0.45,0.4,0.41
1505942145000,0.57,0.51,0.43,0.44
1505942245000,0.47,0.53,0.47,0.44
1505942345000,2.36,1.95,1.69,1.86
1505942445000,0.85,0.92,0.92,0.72
1505942545000,5.02,4.29,4.05,4.77
1505942645000,0.85,0.78,0.7,0.67
1505942745000,0.82,0.87,0.67,0.65
1505942845000,1.06,1.11,0.93,1.04
1505942945000,1.81,1.45,1.35,1.49
1505943045000,2.9,2.1,1.88,1.98
1505943145000,2.49,1.81,1.37,1.61
1505943245000,3.14,1.79,1.76,2.14
1505943345000,3.44,2.63,1.91,2.36
1505943445000,5.48,4.12,4.15,5.29
1505943545000,4,3.2,2.35,2.63
1505943645000,4.53,3.84,2.44,2.99
1505943745000,5.06,3.98,2.79,2.79
1505943845000,4.97,5.22,2.85,2.41
1505943945000,3.04,3.2,1.97,2.23
1505944045000,5.94,6.1,2.05,2.66
1505944145000,6.19,5.43,3.1,3.6
1505944245000,7.9,5.25,2.68,3.35
1505944345000,11.55,8.42,7.74,8.55
1505944445000,11.69,9.51,6.91,7.6
1505944545000,12.66,10.06,7.5,9.32
1505944645000,12.76,11.81,9.83,9.5
1505944745000,10.98,12.63,10.59,9.65
1505944845000,14.16,13.91,10.78,10.09
1505944945000,6.13,7,3.54,3.58
1505945045000,5.15,6.41,4.33,2.95
1505945145000,6.56,6.33,3.76,4.71
1505945245000,10.32,6.98,3.63,4
1505945345000,7.57,6.69,4.58,4.89
1505945445000,8.43,8.5,3.63,3.57
1505945545000,7.56,5.2,4.29,6.22
1505945645000,7.2,6.99,5.94,6.27
1505945745000,6.43,8.09,4.34,6.06
1505945845000,10.47,8.32,6.06,5.48
1505945945000,8.37,7.66,5.11,5.55
1505946045000,8.11,8.28,7.79,6.83
1505946145000,10.46,9.12,5.76,9.31
1505946245000,9.54,7.7,7.86,8.26
1505946345000,3.1,1.05,2.19,1.53
1505946445000,6.29,2.82,2.41,6.33
1505946545000,8.34,9.13,7.15,2.12
1505946645000,8.09,8.6,4.63,4.72
1505946745000,5.28,7.95,5.08,6.81
1505946845000,10.18,6.23,5.48,6.71
1505946945000,9.12,3.58,5.07,9.88
1505947045000,10.63,5.79,3.61,4
1505947145000,8.13,6.61,4.8,7.46
1505947245000,8.23,13.97,6.83,6.96
1505947345000,8.63,9.7,6.25,9.12
1505947445000,9.22,10.93,8.98,8.34
1505947545000,9.98,12.78,6.52,9.73
1505947645000,7.14,14.21,6.13,5.62
1505947745000,12.27,9.31,8.22,8.49
1505947845000,9.79,14.36,4.78,8.55
1505947945000,8.92,13.68,5.63,10.21
1505948045000,6.28,8.57,2.36,2.64
1505948145000,6.83,5.54,2.08,4.59
1505948245000,4.77,3.68,0.89,0.88
1505948345000,4.47,3.19,2.1,0.99
