timestamp_ms,raw_sockets,tcp_sockets,tcp_timewait_sockets,total_sockets,udp_sockets
1505941345000,0,7,140625819205640,291,2
1505941445000,0,7,140625819205634,356,2
1505941545000,0,6,140625819205632,289,2
1505941645000,0,7,140625819205632,293,2
1505941745000,0,7,140625819205633,289,2
1505941845000,0,11,140625819205633,317,5
1505941945000,0,10,140625819205632,313,5
1505942045000,0,9,140625819205632,311,5
1505942145000,0,9,140625819205632,312,5
1505942245000,0,9,140625819205632,311,5
1505942345000,0,14,140625819205656,451,5
1505942445000,0,14,140625819205654,451,5
1505942545000,0,14,140625819205663,510,5
1505942645000,0,14,140625819205662,510,5
1505942745000,0,14,140625819205662,510,5
1505942845000,0,18,140625819205687,514,5
1505942945000,0,19,140625819205686,515,5
1505943045000,0,19,140625819205697,513,5
1505943145000,0,18,140625819205688,514,5
1505943245000,0,18,140625819205700,514,5
1505943345000,0,17,140625819205696,511,5
1505943445000,0,18,140625819205695,514,5
1505943545000,0,18,140625819205703,512,5
1505943645000,0,17,140625819205699,513,5
1505943745000,0,18,140625819205695,515,5
1505943845000,0,16,140625819205699,512,5
1505943945000,0,18,140625819205693,514,5
1505944045000,0,18,140625819205697,514,5
1505944145000,0,18,140625819205697,514,5
1505944245000,0,18,140625819205702,514,5
1505944345000,0,18,140625819205698,517,5
1505944445000,0,18,140625819205695,515,5
1505944545000,0,18,140625819205704,515,5
1505944645000,0,18,140625819205694,518,6
1505944745000,0,18,140625819205698,515,5
1505944845000,0,18,140625819205700,515,5
1505944945000,0,16,140625819205675,512,5
1505945045000,0,18,140625819205684,519,5
1505945145000,0,18,140625819205693,514,5
1505945245000,0,18,140625819205701,514,5
1505945345000,0,17,140625819205681,513,5
1505945445000,0,19,140625819205692,515,5
1505945545000,0,18,140625819205679,514,5
1505945645000,0,18,140625819205690,514,5
1505945745000,0,16,140625819205686,512,5
1505945845000,0,18,140625819205697,513,5
1505945945000,0,18,140625819205705,514,5
1505946045000,0,14,140625819205697,513,5
1505946145000,0,18,140625819205695,512,5
1505946245000,0,16,140625819205694,511,5
1505946345000,0,14,140625819205662,509,5
1505946445000,0,18,140625819205683,513,5
1505946545000,0,20,140625819205688,515,5
1505946645000,0,18,140625819205681,513,5
1505946745000,0,18,140625819205680,513,5
1505946845000,0,16,140625819205688,512,5
1505946945000,0,18,140625819205692,513,5
1505947045000,0,17,140625819205681,512,5
1505947145000,0,19,140625819205674,514,5
1505947245000,0,17,140625819205688,513,5
1505947345000,0,17,140625819205689,512,5
1505947445000,0,17,140625819205696,513,5
1505947545000,0,18,140625819205697,514,5
1505947645000,0,17,140625819205697,512,5
1505947745000,0,18,140625819205693,514,5
1505947845000,0,18,140625819205697,513,5
1505947945000,0,14,140625819205690,509,5
1505948045000,0,16,140625819205678,512,5
1505948145000,0,14,140625819205664,509,5
1505948245000,0,14,140625819205665,509,5
1505948345000,0,14,140625819205662,509,5
