timestamp_ms,rx_datagrams_discard_no_dest_port_sec,rx_datagrams_discard_other_error,rx_datagrams_sec,tx_datagrams_sec
1505941345000,0.00,0.00,7.20,7.20
1505941445000,0.00,0.00,12.70,12.70
1505941545000,0.00,0.00,0.05,0.05
1505941645000,0.00,0.00,3.41,3.41
1505941745000,0.00,0.00,28.70,28.70
1505941845000,0.00,0.00,30.86,30.85
1505941945000,0.00,0.00,7.28,7.28
1505942045000,0.00,0.00,0.14,0.14
1505942145000,0.00,0.00,0.04,0.04
1505942245000,0.00,0.00,0.02,0.02
1505942345000,0.00,0.00,0.44,0.04
1505942445000,0.00,0.00,0.76,0.01
1505942545000,0.00,0.00,1.37,0.57
1505942645000,0.00,0.00,0.38,0.02
1505942745000,0.00,0.00,0.45,0.02
1505942845000,0.00,0.00,6.93,0.00
1505942945000,0.00,0.00,46.83,0.08
1505943045000,0.00,0.00,99.02,0.01
1505943145000,0.00,0.00,145.18,0.01
1505943245000,0.00,0.00,193.72,0.01
1505943345000,0.00,0.00,196.76,0.01
1505943445000,0.00,0.00,174.69,0.03
1505943545000,0.00,0.00,155.28,0.02
1505943645000,0.00,0.00,126.21,0.01
1505943745000,0.00,0.00,79.63,0.00
1505943845000,0.00,0.00,29.79,0.00
1505943945000,0.00,0.00,32.71,0.01
1505944045000,0.00,0.00,84.26,0.02
1505944145000,0.00,0.00,131.61,0.00
1505944245000,0.00,0.00,182.77,0.01
1505944345000,0.00,0.00,217.28,16.64
1505944445000,0.00,0.00,189.89,16.13
1505944545000,0.00,0.00,170.10,15.88
1505944645000,0.02,0.00,143.00,17.24
1505944745000,0.02,0.00,104.11,16.39
1505944845000,0.00,0.00,60.48,14.30
1505944945000,0.00,0.00,13.86,3.64
1505945045000,0.00,0.00,45.38,0.02
1505945145000,0.00,0.00,99.81,0.01
1505945245000,0.00,0.00,157.58,0.01
1505945345000,0.00,0.00,209.39,0.00
1505945445000,0.00,0.00,234.47,0.01
1505945545000,0.00,0.00,222.31,0.00
1505945645000,0.00,0.00,212.22,0.01
1505945745000,0.00,0.00,192.35,0.01
1505945845000,0.00,0.00,175.78,0.00
1505945945000,0.00,0.00,136.92,0.00
1505946045000,0.00,0.00,101.24,0.01
1505946145000,0.00,0.00,64.99,0.00
1505946245000,0.00,0.00,28.37,0.00
1505946345000,0.00,0.00,0.44,0.00
1505946445000,0.00,0.00,25.31,0.00
1505946545000,0.00,0.00,84.50,0.01
1505946645000,0.00,0.00,141.27,0.01
1505946745000,0.00,0.00,202.11,0.01
1505946845000,0.00,0.00,253.02,0.01
1505946945000,0.00,0.00,246.61,0.00
1505947045000,0.00,0.00,231.22,0.00
1505947145000,0.00,0.00,216.46,0.01
1505947245000,0.00,0.00,215.72,0.00
1505947345000,0.00,0.00,212.19,0.00
1505947445000,0.00,0.00,186.08,0.00
1505947545000,0.00,0.00,153.60,0.01
1505947645000,0.00,0.00,127.79,0.00
1505947745000,0.00,0.00,101.52,0.01
1505947845000,0.00,0.00,76.54,0.15
1505947945000,0.00,0.00,37.89,0.00
1505948045000,0.00,0.00,18.09,0.00
1505948145000,0.00,0.00,5.84,0.01
1505948245000,0.00,0.00,0.45,0.01
1505948345000,0.00,0.00,0.44,0.00
