timestamp_ms,context_switches_sec,processes_created_sec
1505941345000,1642.71,10.54
1505941445000,1729.57,17.48
1505941545000,1107.79,0.58
1505941645000,1174.49,5.65
1505941745000,2113.01,40.33
1505941845000,2322.24,50.17
1505941945000,1719.66,5.99
1505942045000,1532.74,1.41
1505942145000,5665.09,160.14
1505942245000,1797.66,3.79
1505942345000,1568.22,2.11
1505942445000,4204.57,4.40
1505942545000,1689.60,2.70
1505942645000,1579.68,1.69
1505942745000,1487.23,1.66
1505942845000,1892.57,8.50
1505942945000,2613.96,15.03
1505943045000,3876.70,31.61
1505943145000,2713.54,11.87
1505943245000,3631.03,24.31
1505943345000,3763.57,23.83
1505943445000,4192.00,28.04
1505943545000,4182.81,24.86
1505943645000,4772.40,31.78
1505943745000,5170.92,35.11
1505943845000,5539.85,37.40
1505943945000,4317.02,19.47
1505944045000,5316.93,32.92
1505944145000,4898.87,25.50
1505944245000,5630.05,34.35
1505944345000,5111.48,25.47
1505944445000,5595.90,31.48
1505944545000,5389.88,27.46
1505944645000,6554.44,42.11
1505944745000,6261.72,37.55
1505944845000,6741.64,43.54
1505944945000,5531.00,26.65
1505945045000,5346.49,23.08
1505945145000,6002.07,32.09
1505945245000,5712.24,26.56
1505945345000,6279.93,35.26
1505945445000,5653.53,27.59
1505945545000,5756.48,27.05
1505945645000,5841.43,28.23
1505945745000,5756.57,26.74
1505945845000,7025.39,41.91
1505945945000,6169.05,29.51
1505946045000,6779.83,37.02
1505946145000,6806.43,35.74
1505946245000,7259.83,45.09
1505946345000,6871.56,40.26
1505946445000,5524.07,21.30
1505946545000,5968.21,26.20
1505946645000,6453.73,35.04
1505946745000,6246.94,31.19
1505946845000,6310.86,29.75
1505946945000,6204.39,29.55
1505947045000,6436.00,31.36
1505947145000,6370.18,32.44
1505947245000,6396.03,32.77
1505947345000,6782.95,34.48
1505947445000,6633.09,31.73
1505947545000,7298.76,42.44
1505947645000,7401.23,40.80
1505947745000,6770.26,33.14
1505947845000,7435.78,44.50
1505947945000,7868.00,50.32
1505948045000,6341.16,29.93
1505948145000,7063.62,44.33
1505948245000,6276.03,31.25
1505948345000,5721.14,26.92
