timestamp_ms,raw_sockets,tcp_sockets,tcp_timewait_sockets,total_sockets,udp_sockets
1505941345000,0,7,139710991171587,291,2
1505941445000,0,7,139710991171589,356,2
1505941545000,0,6,139710991171584,289,2
1505941645000,0,7,139710991171584,293,2
1505941745000,0,7,139710991171584,289,2
1505941845000,0,11,139710991171585,317,5
1505941945000,0,10,139710991171584,313,5
1505942045000,0,9,139710991171584,311,5
1505942145000,0,9,139710991171593,444,5
1505942245000,0,9,139710991171584,315,5
1505942345000,0,9,139710991171584,315,5
1505942445000,0,9,139710991171598,440,5
1505942545000,0,9,139710991171592,383,5
1505942645000,0,9,139710991171584,315,5
1505942745000,0,9,139710991171584,315,5
1505942845000,0,18,139710991171590,514,5
1505942945000,0,29,139710991171587,704,5
1505943045000,0,61,139710991171598,1222,5
1505943145000,0,69,139710991171584,1354,5
1505943245000,0,93,139710991171590,1742,5
1505943345000,0,113,139710991171593,2069,5
1505943445000,0,142,139710991171593,2532,5
1505943545000,0,161,139710991171596,2847,5
1505943645000,0,189,139710991171601,3302,5
1505943745000,0,225,139710991171596,3827,5
1505943845000,0,257,139710991171602,4413,5
1505943945000,0,269,139710991171587,4604,5
1505944045000,0,297,139710991171602,5061,5
1505944145000,0,313,139710991171593,5317,5
1505944245000,0,339,139710991171601,5772,5
1505944345000,0,357,139710991171593,6032,5
1505944445000,0,381,139710991171596,6422,5
1505944545000,0,397,139710991171593,6684,5
1505944645000,0,433,139710991171602,7268,5
1505944745000,0,461,139710991171596,7725,5
1505944845000,0,494,139710991171598,8244,5
1505944945000,0,509,139710991171584,8501,5
1505945045000,0,517,139710991171587,8631,5
1505945145000,0,537,139710991171590,8956,5
1505945245000,0,549,139710991171590,9152,5
1505945345000,0,573,139710991171590,9541,5
1505945445000,0,585,139710991171593,9736,5
1505945545000,0,597,139710991171590,9931,5
1505945645000,0,609,139710991171590,10126,5
1505945745000,0,621,139710991171590,10262,5
1505945845000,0,649,139710991171598,10776,5
1505945945000,0,661,139710991171593,10974,5
1505946045000,0,685,139710991171593,11307,5
1505946145000,0,701,139710991171584,11621,5
1505946245000,0,735,139710991171596,12149,5
1505946345000,0,761,139710991171593,12598,5
1505946445000,0,761,139710991171584,12598,5
1505946545000,0,765,139710991171584,12663,5
1505946645000,0,781,139710991171584,12923,5
1505946745000,0,793,139710991171591,13118,5
1505946845000,0,801,139710991171587,13248,5
1505946945000,0,809,139710991171584,13376,5
1505947045000,0,821,139710991171587,13571,5
1505947145000,0,833,139710991171590,13766,5
1505947245000,0,845,139710991171593,13964,5
1505947345000,0,857,139710991171590,14156,5
1505947445000,0,865,139710991171584,14286,5
1505947545000,0,889,139710991171602,14681,5
1505947645000,0,909,139710991171597,15001,5
1505947745000,0,917,139710991171584,15133,5
1505947845000,0,941,139710991171590,15523,5
1505947945000,0,973,139710991171590,16041,5
1505948045000,0,977,139710991171584,16107,5
1505948145000,0,1001,139710991171593,16501,5
1505948245000,0,1009,139710991171587,16628,5
1505948345000,0,1009,139710991171584,16626,5
