timestamp_ms,active_opens_sec,passive_opens_sec,rx_segments_sec,tcp_attempt_fails_sec,tcp_establish_resets_sec,tcp_rx_segments_error_sec,tcp_segments_retransmitted_sec,tcp_tx_segments_RSTflag_sec,tx_segments_sec
1505941345000,12.06,0.02,281.91,10.53,0.42,0.00,0.01,0.00,244.13
1505941445000,13.44,0.00,179.79,10.42,0.49,0.00,0.01,0.00,168.79
1505941545000,10.50,0.00,21.03,10.50,0.00,0.00,0.00,0.00,21.02
1505941645000,11.10,0.01,26.39,10.54,0.02,0.00,0.00,0.00,26.57
1505941745000,13.88,0.00,58.55,10.52,0.03,0.00,0.00,0.00,60.50
1505941845000,10.85,0.01,46.74,10.25,0.00,0.00,0.00,0.00,48.87
1505941945000,0.46,0.01,5.72,0.00,0.00,0.00,0.00,0.00,5.92
1505942045000,0.40,0.00,3.28,0.00,0.00,0.00,0.00,0.00,3.19
1505942145000,0.60,0.08,141.54,0.00,0.00,0.00,0.00,0.00,119.07
1505942245000,0.50,0.00,4.40,0.00,0.00,0.00,0.00,0.00,4.45
1505942345000,0.40,0.00,3.59,0.00,0.00,0.00,0.00,0.00,3.51
1505942445000,0.69,0.02,157.14,0.02,0.01,0.00,0.00,0.00,129.64
1505942545000,0.56,0.00,4.44,0.00,0.00,0.00,0.00,0.00,4.68
1505942645000,0.40,0.00,3.26,0.00,0.00,0.00,0.00,0.00,3.21
1505942745000,0.40,0.00,3.34,0.00,0.00,0.00,0.00,0.00,3.27
1505942845000,0.64,0.00,8.25,0.00,0.00,0.00,0.00,0.00,8.41
1505942945000,0.84,0.00,14.11,0.00,0.03,0.00,0.00,0.00,15.39
1505943045000,1.48,0.02,32.99,0.02,0.04,0.00,0.04,0.00,35.99
1505943145000,0.66,0.00,19.64,0.00,0.00,0.00,0.00,0.00,21.14
1505943245000,1.18,0.00,34.47,0.00,0.01,0.00,0.01,0.00,36.78
1505943345000,1.05,0.00,40.11,0.00,0.02,0.00,0.01,0.00,41.46
1505943445000,1.25,0.00,48.79,0.00,0.05,0.00,0.00,0.00,50.75
1505943545000,1.07,0.00,53.96,0.00,0.01,0.00,0.01,0.00,55.75
1505943645000,1.35,0.02,72.79,0.02,0.03,0.00,0.02,0.00,73.27
1505943745000,1.48,0.00,87.90,0.00,0.04,0.00,0.03,0.00,88.23
1505943845000,1.53,0.00,91.77,0.00,0.03,0.00,0.01,0.00,91.92
1505943945000,0.80,0.00,61.44,0.00,0.02,0.00,0.05,0.00,63.35
1505944045000,1.31,0.00,95.07,0.00,0.03,0.00,0.00,0.00,97.97
1505944145000,0.92,0.00,89.07,0.00,0.01,0.00,0.00,0.00,90.92
1505944245000,1.33,0.01,98.78,0.01,0.02,0.00,0.00,0.00,101.18
1505944345000,0.90,0.01,95.23,0.01,0.02,0.00,0.00,0.00,97.11
1505944445000,1.18,0.00,108.93,0.00,0.03,0.00,0.00,0.00,110.68
1505944545000,0.92,0.00,109.86,0.00,0.00,0.00,0.01,0.00,112.48
