timestamp_ms,br0-rx,br0-tx,docker0-rx,docker0-tx,eth0-rx,eth0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth1065b8a5-rx,veth1065b8a5-tx,veth246f1e5e-rx,veth246f1e5e-tx,veth40b7ae93-rx,veth40b7ae93-tx,veth4fe4904e-rx,veth4fe4904e-tx,veth5eb2005f-rx,veth5eb2005f-tx,veth81a3112a-rx,veth81a3112a-tx,vetha3138b99-rx,vetha3138b99-tx,vetha425c24b-rx,vetha425c24b-tx,vethadc3146e-rx,vethadc3146e-tx,vethea0c5cfb-rx,vethea0c5cfb-tx,vethf1aa9f01-rx,vethf1aa9f01-tx,vethf7e4d090-rx,vethf7e4d090-tx,vxlan_sys_4789-rx,vxlan_sys_4789-tx
1505941345000,,,0,0,9.58742528,0.13991936,0.01015808,0.01015808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941445000,,,0,0,9.98637568,0.11296768,0.00999424,0.00999424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941545000,,,0,0,0.00016384,8.192e-05,0.01007616,0.01007616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941645000,,,0,0,0.04005888,0.00786432,0.01015808,0.01015808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941745000,,,0,0,0.33923072,0.05865472,0.01007616,0.01007616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941845000,0,0,,,20.26708992,0.37822464,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1505941945000,0,0,,,0.04087808,0.00712704,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1505942045000,0,0,,,0.01417216,0.00278528,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1505942145000,0,0,,,12.84800512,0.106496,,,0,0,0.022528,0.07151616,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1505942245000,0,0,,,0.01835008,0.00417792,,,0,0,0.0004096,0.0004096,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1505942345000,0,0,,,0.01581056,0.00311296,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1505942445000,0,0,,,,,,,0,0,0.00049152,0.00073728,,,0.0008192,0.00098304,,,,,,,,,,,,,,,,,,,,,0.00016384,0.00016384
1505942545000,0,0,,,44.90043392,0.56664064,,,0,0,0.00049152,0.00073728,,,,,,,,,,,,,,,,,,,,,,,,,0.00024576,0.00016384
1505942645000,0,0,,,0.01499136,0.00278528,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1505942745000,0,0,,,0.01507328,0.00278528,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1505942845000,0,0,,,0.05832704,0.01048576,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1505942945000,0,0,,,,,,,,,0,0,8.192e-05,8.192e-05,,,,,,,,,,,,,,,8.192e-05,8.192e-05,,,,,,,0,0
1505943045000,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,,8.192e-05,8.192e-05,,,8.192e-05,8.192e-05,,,,,0,0
1505943145000,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,,0,0,,,,,0,0
1505943245000,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,,0,0,,,,,0,0
1505943345000,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,,0,0,,,,,0,0
1505943445000,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,,0,0,,,,,0,0
1505943545000,,,,,,,,,,,0.02392064,0.07340032,,,,,,,,,,,,,8.192e-05,8.192e-05,8.192e-05,8.192e-05,,,8.192e-05,8.192e-05,,,,,0.0004096,0.00032768
