timestamp_ms,rx_datagrams_discard_no_dest_port_sec,rx_datagrams_discard_other_error,rx_datagrams_sec,tx_datagrams_sec
1505941345000,0.00,0.00,7.19,7.19
1505941445000,0.00,0.00,12.66,12.66
1505941545000,0.00,0.00,0.10,0.10
1505941645000,0.00,0.00,3.38,3.38
1505941745000,0.00,0.00,28.19,28.19
1505941845000,0.00,0.00,31.27,31.26
1505941945000,0.00,0.00,7.42,7.42
1505942045000,0.00,0.00,0.13,0.13
1505942145000,0.00,0.00,0.71,0.71
1505942245000,0.00,0.00,0.03,0.03
1505942345000,0.00,0.00,0.04,0.04
1505942445000,0.00,0.00,1.05,0.60
1505942545000,0.00,0.00,0.55,0.01
1505942645000,0.00,0.00,0.03,0.03
1505942745000,0.00,0.00,0.01,0.01
1505942845000,0.00,0.00,0.89,0.91
1505942945000,0.00,0.00,1.77,1.80
1505943045000,0.00,0.00,4.14,4.22
1505943145000,0.00,0.00,1.06,1.08
1505943245000,0.00,0.00,3.05,3.11
1505943345000,0.00,0.00,2.58,2.63
1505943445000,0.00,0.00,3.55,3.62
1505943545000,0.00,0.00,2.69,2.74
1505943645000,0.00,0.00,3.61,3.68
1505943745000,0.00,0.00,4.11,4.19
1505943845000,0.00,0.00,4.64,4.73
1505943945000,0.00,0.00,2.02,2.05
1505944045000,0.00,0.00,3.55,3.62
1505944145000,0.00,0.00,2.05,2.09
1505944245000,0.00,0.00,3.61,3.68
1505944345000,0.00,0.00,2.05,2.09
1505944445000,0.00,0.00,3.07,3.13
1505944545000,0.00,0.00,2.05,2.09
1505944645000,0.00,0.00,4.62,4.71
1505944745000,0.00,0.00,3.57,3.64
1505944845000,0.00,0.00,4.08,4.16
1505944945000,0.00,0.00,2.09,2.13
1505945045000,0.00,0.00,1.03,1.05
1505945145000,0.00,0.00,2.56,2.61
1505945245000,0.00,0.00,1.53,1.56
1505945345000,0.00,0.00,3.04,3.10
1505945445000,0.00,0.00,1.50,1.53
1505945545000,0.00,0.00,1.55,1.58
1505945645000,0.00,0.00,1.56,1.59
1505945745000,0.00,0.00,1.04,1.07
1505945845000,0.00,0.00,4.10,4.17
1505945945000,0.00,0.00,1.51,1.54
1505946045000,0.00,0.00,2.54,2.60
1505946145000,0.00,0.00,2.54,2.58
1505946245000,0.00,0.00,4.09,4.17
1505946345000,0.00,0.00,3.61,3.68
1505946445000,0.00,0.00,0.00,0.00
1505946545000,0.00,0.00,0.50,0.51
1505946645000,0.00,0.00,2.08,2.12
1505946745000,0.00,0.00,1.60,1.63
1505946845000,0.00,0.00,1.02,1.04
1505946945000,0.00,0.00,1.04,1.06
1505947045000,0.00,0.00,1.55,1.58
1505947145000,0.00,0.00,1.52,1.55
1505947245000,0.00,0.00,1.02,1.05
1505947345000,0.00,0.00,2.05,2.08
1505947445000,0.00,0.00,1.02,1.04
1505947545000,0.00,0.00,2.53,2.59
1505947645000,0.00,0.00,3.17,3.22
1505947745000,0.00,0.00,1.02,1.04
1505947845000,0.00,0.00,3.05,3.11
1505947945000,0.00,0.00,4.10,4.18
1505948045000,0.00,0.00,0.53,0.54
1505948145000,0.00,0.00,3.11,3.17
1505948245000,0.00,0.00,1.04,1.06
1505948345000,0.00,0.00,0.01,0.01
