timestamp_ms,context_switches_sec,processes_created_sec
1505941345000,1590.60,10.43
1505941445000,1716.61,17.54
1505941545000,1131.05,0.97
1505941645000,1190.27,5.57
1505941745000,2146.06,40.25
1505941845000,2349.77,50.35
1505941945000,1651.23,5.99
1505942045000,1535.58,1.41
1505942145000,1508.91,2.16
1505942245000,1517.13,2.26
1505942345000,1945.73,64.84
1505942445000,2170.93,93.92
1505942545000,1482.79,1.43
1505942645000,1482.46,1.45
1505942745000,1505.61,1.65
1505942845000,1988.02,8.67
1505942945000,2554.77,15.08
1505943045000,3876.02,31.61
1505943145000,2894.10,14.60
1505943245000,3454.76,21.08
1505943345000,3764.14,23.74
1505943445000,4076.27,27.51
1505943545000,4273.17,25.97
1505943645000,4756.95,31.82
1505943745000,5049.74,34.06
1505943845000,5578.47,38.47
1505943945000,4303.48,19.47
1505944045000,5312.13,32.61
1505944145000,4919.31,25.70
1505944245000,5513.07,31.49
1505944345000,5301.57,27.97
1505944445000,5653.99,31.62
1505944545000,5176.23,24.38
1505944645000,6557.07,43.08
1505944745000,6288.85,38.85
1505944845000,6826.11,43.59
1505944945000,5578.19,27.15
1505945045000,5630.53,26.27
1505945145000,5637.22,26.35
1505945245000,5654.79,26.39
1505945345000,6406.28,38.39
1505945445000,5305.80,21.78
1505945545000,6085.04,32.62
1505945645000,5583.09,25.76
1505945745000,6022.25,30.96
1505945845000,6524.71,34.57
1505945945000,6107.05,30.56
1505946045000,7215.33,43.28
1505946145000,6658.71,32.87
1505946245000,7470.81,48.59
1505946345000,6493.56,37.06
1505946445000,5642.43,23.94
1505946545000,6008.55,26.00
1505946645000,6206.19,31.64
1505946745000,6457.57,34.70
1505946845000,6204.21,29.53
1505946945000,5870.69,24.72
1505947045000,6907.33,40.07
1505947145000,6076.86,28.43
1505947245000,6283.35,30.70
1505947345000,6807.46,38.17
1505947445000,6391.54,29.86
1505947545000,6899.39,36.78
1505947645000,7616.72,48.27
1505947745000,6600.03,33.06
1505947845000,7375.81,45.26
1505947945000,7771.59,51.00
1505948045000,6314.98,28.79
1505948145000,7019.86,46.15
1505948245000,6207.55,32.30
1505948345000,5582.28,26.63
