timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1505941345000,0.00,0.00,96.84,0.04,0.00,0.00,0.00,0.04,1.10,1.98
1505941445000,0.00,0.00,96.08,0.03,0.00,0.00,0.01,0.05,1.33,2.50
1505941545000,0.00,0.00,99.66,0.00,0.00,0.00,0.00,0.01,0.16,0.17
1505941645000,0.00,0.00,98.95,0.00,0.00,0.00,0.01,0.02,0.43,0.59
1505941745000,0.00,0.00,92.06,0.02,0.00,0.00,0.00,0.06,2.55,5.31
1505941845000,0.00,0.00,92.88,0.03,0.00,0.00,0.00,0.04,2.85,4.20
1505941945000,0.00,0.00,98.85,0.00,0.00,0.00,0.00,0.03,0.41,0.71
1505942045000,0.00,0.00,99.59,0.00,0.00,0.00,0.00,0.02,0.21,0.18
1505942145000,0.00,0.00,99.54,0.00,0.00,0.00,0.00,0.02,0.25,0.19
1505942245000,0.00,0.00,99.56,0.00,0.00,0.00,0.00,0.02,0.24,0.18
1505942345000,0.00,0.00,97.92,0.54,0.00,0.30,0.00,0.04,0.98,0.21
1505942445000,0.00,0.00,97.51,0.60,0.00,0.41,0.00,0.03,1.24,0.21
1505942545000,0.00,0.00,99.57,0.00,0.00,0.00,0.00,0.02,0.23,0.18
1505942645000,0.00,0.00,99.58,0.00,0.00,0.00,0.00,0.03,0.19,0.20
1505942745000,0.00,0.00,99.57,0.00,0.00,0.00,0.00,0.02,0.23,0.18
1505942845000,0.00,0.00,98.90,0.08,0.00,0.00,0.00,0.03,0.57,0.42
1505942945000,0.00,0.00,98.38,0.01,0.00,0.00,0.00,0.05,0.92,0.63
1505943045000,0.00,0.00,96.29,0.02,0.00,0.02,0.00,0.08,1.97,1.61
1505943145000,0.00,0.00,97.46,0.02,0.00,0.02,0.00,0.05,1.34,1.11
1505943245000,0.00,0.00,96.64,0.01,0.00,0.02,0.01,0.06,1.76,1.50
1505943345000,0.00,0.00,95.71,0.02,0.00,0.03,0.00,0.06,2.30,1.89
1505943445000,0.00,0.00,94.91,0.02,0.00,0.04,0.00,0.07,2.67,2.29
1505943545000,0.00,0.00,94.30,0.05,0.00,0.06,0.01,0.07,2.98,2.53
1505943645000,0.00,0.00,92.44,0.05,0.00,0.09,0.00,0.09,3.98,3.35
1505943745000,0.00,0.00,91.53,0.06,0.00,0.08,0.02,0.09,4.62,3.60
1505943845000,0.00,0.00,90.25,0.05,0.00,0.11,0.00,0.10,5.32,4.17
1505943945000,0.00,0.00,93.14,0.02,0.00,0.14,0.00,0.06,3.37,3.26
1505944045000,0.00,0.00,90.72,0.06,0.00,0.12,0.01,0.08,4.87,4.14
1505944145000,0.00,0.00,90.34,0.01,0.00,0.17,0.01,0.07,5.18,4.22
1505944245000,0.00,0.00,88.76,0.01,0.00,0.19,0.00,0.11,5.97,4.96
