timestamp_ms,all_interrupts
1505941345000,2339.58
1505941445000,2574.33
1505941545000,1238.41
1505941645000,1373.71
1505941745000,2885.81
1505941845000,3062.79
1505941945000,1785.56
1505942045000,1595.90
1505942145000,1585.87
1505942245000,1574.35
1505942345000,2127.46
1505942445000,2409.22
1505942545000,1517.41
1505942645000,1525.33
1505942745000,1537.41
1505942845000,2114.18
1505942945000,2815.59
1505943045000,4297.17
1505943145000,3145.78
1505943245000,3885.31
1505943345000,4278.08
1505943445000,4611.48
1505943545000,4856.59
1505943645000,5655.14
1505943745000,5948.95
1505943845000,6523.85
1505943945000,4931.61
1505944045000,6442.21
1505944145000,6167.71
1505944245000,6606.15
1505944345000,6434.16
1505944445000,7137.92
1505944545000,6545.93
1505944645000,8526.39
1505944745000,8805.98
1505944845000,9556.49
1505944945000,7535.45
1505945045000,7440.61
1505945145000,8031.70
1505945245000,8068.68
1505945345000,9144.10
1505945445000,7968.71
1505945545000,9180.44
1505945645000,8718.81
1505945745000,9200.96
1505945845000,10964.60
1505945945000,10584.02
1505946045000,11837.58
1505946145000,11042.57
1505946245000,13435.87
1505946345000,10953.64
1505946445000,9464.95
1505946545000,11404.00
1505946645000,12441.58
1505946745000,11984.61
1505946845000,12601.20
1505946945000,11576.92
1505947045000,13005.09
1505947145000,12744.06
1505947245000,14190.36
1505947345000,15229.84
1505947445000,14011.96
1505947545000,15966.31
1505947645000,18846.24
1505947745000,16787.00
1505947845000,19233.46
1505947945000,20271.64
1505948045000,14925.39
1505948145000,17764.86
1505948245000,14832.53
1505948345000,16546.48
