timestamp_ms,cpu_00,cpu_01,cpu_02,cpu_03,cpu_04,cpu_05,cpu_06,cpu_07,cpu_08,cpu_09,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15
1505941345000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505941445000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505941545000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505941645000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505941745000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505941845000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505941945000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505942045000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505942145000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505942245000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505942345000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505942445000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505942545000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505942645000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505942745000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505942845000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505942945000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505943045000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505943145000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505943245000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505943345000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505943445000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505943545000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505943645000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505943745000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505943845000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505943945000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505944045000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505944145000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505944245000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505944345000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505944445000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505944545000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505944645000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505944745000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505944845000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505944945000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505945045000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505945145000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505945245000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505945345000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505945445000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505945545000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505945645000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505945745000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505945845000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505945945000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505946045000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505946145000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505946245000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505946345000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505946445000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505946545000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505946645000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505946745000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505946845000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505946945000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505947045000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505947145000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505947245000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505947345000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505947445000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505947545000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505947645000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505947745000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
1505947845000,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19,2300.19
