timestamp_ms,all_interrupts
1505941345000,2295.93
1505941445000,2904.17
1505941545000,1322.94
1505941645000,1464.61
1505941745000,3456.03
1505941845000,5508.01
1505941945000,2150.42
1505942045000,5464.93
1505942145000,2907.06
1505942245000,2853.55
1505942345000,2221.50
1505942445000,2193.62
1505942545000,2090.17
1505942645000,2092.02
1505942745000,2111.00
1505942845000,9808.05
1505942945000,21530.96
1505943045000,19207.36
1505943145000,23006.49
1505943245000,26048.56
1505943345000,24188.80
1505943445000,26320.30
1505943545000,19193.39
1505943645000,14159.79
1505943745000,14893.74
1505943845000,15530.11
1505943945000,33686.15
1505944045000,34004.43
1505944145000,34644.16
1505944245000,36815.48
1505944345000,33847.76
1505944445000,38680.15
1505944545000,35933.25
1505944645000,23334.71
1505944745000,24491.62
1505944845000,23967.33
1505944945000,26980.60
1505945045000,40296.36
1505945145000,41843.81
1505945245000,41306.94
1505945345000,41624.78
1505945445000,40209.44
1505945545000,42635.71
1505945645000,40334.16
1505945745000,38796.66
1505945845000,29008.06
1505945945000,29402.13
1505946045000,30077.67
1505946145000,30059.73
1505946245000,31702.35
1505946345000,28788.83
1505946445000,37864.48
1505946545000,41412.20
1505946645000,46241.25
1505946745000,44377.81
1505946845000,43399.21
1505946945000,43572.71
1505947045000,46333.44
1505947145000,44517.65
1505947245000,39545.09
1505947345000,37947.39
1505947445000,31843.97
1505947545000,32019.38
1505947645000,31954.30
1505947745000,32190.36
1505947845000,32992.73
1505947945000,40543.49
1505948045000,36283.21
1505948145000,36003.00
1505948245000,30034.65
1505948345000,29832.90
