timestamp_ms,active_opens_sec,passive_opens_sec,rx_segments_sec,tcp_attempt_fails_sec,tcp_establish_resets_sec,tcp_rx_segments_error_sec,tcp_segments_retransmitted_sec,tcp_tx_segments_RSTflag_sec,tx_segments_sec
1505941345000,12.07,0.02,128.14,10.51,0.36,0.00,0.00,0.00,117.09
1505941445000,13.58,0.01,145.12,10.50,0.41,0.00,0.00,0.00,137.86
1505941545000,10.52,0.00,21.07,10.52,0.00,0.00,0.00,0.00,21.06
1505941645000,11.08,0.01,26.34,10.52,0.02,0.00,0.00,0.00,26.62
1505941745000,13.91,0.00,59.02,10.40,0.03,0.00,0.03,0.00,61.48
1505941845000,10.97,0.01,46.91,10.37,0.00,0.00,0.00,0.00,49.50
1505941945000,0.98,0.01,10.45,0.00,0.00,0.00,0.00,0.00,10.88
1505942045000,0.54,0.00,153.90,0.00,0.02,0.00,0.00,0.00,100.54
1505942145000,0.51,0.42,11.97,0.01,0.00,0.00,0.00,0.00,11.41
1505942245000,0.40,0.02,7.56,0.00,0.00,0.00,0.00,0.00,7.42
1505942345000,0.40,0.00,5.62,0.00,0.00,0.00,0.00,0.00,5.52
1505942445000,0.44,0.02,6.00,0.02,0.00,0.00,0.00,0.00,5.90
1505942545000,0.40,0.00,5.52,0.00,0.00,0.00,0.00,0.00,5.40
1505942645000,0.40,0.02,6.49,0.00,0.00,0.00,0.00,0.00,6.31
1505942745000,0.40,0.00,5.99,0.00,0.00,0.00,0.00,0.00,5.84
1505942845000,1.97,4.25,122.21,0.10,0.25,0.00,0.19,0.00,116.55
1505942945000,8.77,16.67,406.95,0.20,0.34,0.00,0.41,0.00,387.70
1505943045000,16.23,20.74,465.34,0.27,1.10,0.00,0.69,0.00,448.19
1505943145000,22.38,26.29,631.63,0.16,0.35,0.02,1.06,0.02,618.66
1505943245000,33.42,35.28,777.88,0.19,1.16,0.03,1.58,0.03,764.92
1505943345000,30.69,35.90,715.05,0.23,1.15,0.02,1.81,0.02,699.17
1505943445000,31.98,35.91,795.36,0.22,1.84,0.02,1.12,0.02,783.95
1505943545000,28.24,23.20,603.77,0.25,2.13,0.00,0.67,0.00,605.60
1505943645000,23.99,15.71,464.61,0.31,1.39,0.04,1.55,0.04,470.78
1505943745000,5.08,7.93,355.92,0.32,0.88,0.00,0.44,0.00,339.40
1505943845000,1.35,13.67,372.98,0.30,0.62,0.00,0.06,0.00,347.77
1505943945000,92.89,92.11,2071.03,0.14,2.04,0.08,3.03,0.08,2061.55
1505944045000,24.41,32.03,830.48,0.24,2.10,0.02,1.67,0.02,807.57
1505944145000,51.57,52.19,1481.11,0.23,2.48,0.01,2.70,0.01,1476.78
1505944245000,43.32,50.84,1197.89,0.24,4.70,0.02,2.76,0.02,1176.12
1505944345000,41.43,40.64,1034.04,0.22,2.21,0.02,2.31,0.02,1031.56
1505944445000,59.80,67.74,1451.32,0.20,4.66,0.05,4.92,0.05,1431.57
1505944545000,47.42,45.90,1115.96,0.22,3.08,0.03,4.78,0.03,1108.83
1505944645000,2.23,1.90,521.32,0.32,0.21,0.00,0.30,0.00,518.85
1505944745000,0.73,3.15,551.62,0.33,0.12,0.00,0.11,0.00,544.17
1505944845000,0.73,0.76,481.90,0.31,0.01,0.00,0.08,0.00,477.64
1505944945000,30.65,31.24,1043.92,0.12,0.03,0.00,0.05,0.00,1041.09
1505945045000,83.26,91.57,2016.67,0.16,9.27,0.03,11.21,0.03,1979.71
1505945145000,79.48,82.44,1972.20,0.15,1.10,0.10,11.25,0.10,1974.02
1505945245000,65.71,60.05,1630.70,0.17,2.18,0.04,7.61,0.04,1624.71
1505945345000,81.44,85.51,2049.14,0.15,0.98,0.02,12.12,0.02,2016.16
1505945445000,64.82,66.28,1556.52,0.17,3.89,0.10,9.09,0.10,1546.88
1505945545000,101.15,101.03,2293.54,0.12,4.04,0.06,14.51,0.06,2261.06
1505945645000,55.52,55.09,1318.45,0.17,2.89,0.07,7.93,0.07,1304.45
1505945745000,65.74,63.48,1411.14,0.17,4.27,0.09,9.06,0.09,1408.71
1505945845000,9.94,6.99,801.91,0.28,0.62,0.01,0.93,0.01,801.68
1505945945000,0.69,5.68,669.98,0.27,0.31,0.00,0.30,0.00,654.41
1505946045000,0.67,9.70,728.76,0.26,0.19,0.00,0.19,0.00,707.20
1505946145000,3.99,4.40,681.69,0.27,0.27,0.00,0.35,0.00,677.08
1505946245000,38.77,33.77,1208.18,0.19,0.40,0.00,0.89,0.00,1209.28
1505946345000,15.78,14.71,822.18,0.00,0.00,0.00,1.01,0.00,819.32
1505946445000,60.20,59.76,1514.38,0.08,5.91,0.07,11.39,0.07,1493.49
1505946545000,82.39,69.97,1821.54,0.14,2.88,0.09,10.37,0.09,1812.53
1505946645000,107.91,112.99,2720.84,0.11,9.71,0.06,14.61,0.06,2680.37
1505946745000,100.61,99.99,2311.60,0.12,5.39,0.11,14.80,0.11,2291.01
1505946845000,72.75,76.99,1747.04,0.13,5.42,0.11,12.06,0.11,1730.98
1505946945000,93.06,93.02,2074.38,0.12,8.62,0.10,17.26,0.10,2063.90
1505947045000,122.23,125.70,2981.39,0.08,7.81,0.07,17.60,0.07,2955.45
1505947145000,105.97,108.93,2448.45,0.11,13.15,0.13,17.38,0.13,2423.62
1505947245000,58.52,61.96,1288.65,0.12,1.41,0.13,9.51,0.13,1260.43
1505947345000,66.95,52.59,1640.23,0.18,7.65,0.08,10.59,0.08,1646.01
1505947445000,10.53,9.46,825.06,0.22,0.42,0.00,0.88,0.00,816.36
1505947545000,5.29,8.02,874.78,0.24,0.19,0.00,0.64,0.00,858.23
1505947645000,12.01,13.92,842.11,0.20,0.19,0.04,2.92,0.04,829.67
1505947745000,4.43,7.77,775.13,0.21,0.28,0.00,0.51,0.00,760.74
1505947845000,6.14,6.26,855.14,0.21,0.42,0.00,0.68,0.00,850.70
1505947945000,6.23,12.51,718.77,0.20,0.26,0.00,0.51,0.00,704.10
1505948045000,48.63,51.75,1579.57,0.13,4.47,0.05,7.98,0.05,1568.55
1505948145000,61.20,62.19,1880.41,0.04,0.00,0.00,5.08,0.00,1861.53
1505948245000,0.40,0.12,712.93,0.00,0.00,0.00,0.00,0.00,712.46
1505948345000,0.40,0.00,710.96,0.00,0.00,0.00,0.00,0.00,710.93
