timestamp_ms,context_switches_sec,processes_created_sec
1505941345000,1443.81,10.63
1505941445000,1757.98,18.38
1505941545000,1071.72,0.71
1505941645000,1129.83,5.46
1505941745000,2228.86,41.69
1505941845000,3586.66,205.41
1505941945000,1744.13,11.51
1505942045000,4805.41,14.21
1505942145000,2594.32,9.97
1505942245000,2468.66,7.91
1505942345000,2048.62,4.19
1505942445000,2025.99,4.26
1505942545000,1949.85,3.45
1505942645000,1949.27,3.37
1505942745000,1969.71,3.75
1505942845000,8406.10,63.08
1505942945000,18396.37,143.73
1505943045000,16378.82,114.40
1505943145000,20049.31,131.13
1505943245000,22843.22,146.28
1505943345000,21538.38,126.86
1505943445000,23887.20,135.39
1505943545000,17853.62,74.96
1505943645000,13751.82,29.81
1505943745000,14873.79,30.15
1505943845000,16278.06,24.30
1505943945000,32833.33,142.68
1505944045000,33298.75,148.47
1505944145000,34038.36,143.07
1505944245000,36710.30,153.15
1505944345000,33846.31,127.02
1505944445000,39423.82,153.14
1505944545000,36597.34,129.21
1505944645000,24809.64,31.66
1505944745000,26252.52,30.32
1505944845000,26531.42,21.57
1505944945000,31483.97,38.99
1505945045000,44300.19,132.53
1505945145000,45890.71,147.41
1505945245000,44512.56,136.15
1505945345000,43657.77,136.04
1505945445000,47860.33,127.72
1505945545000,46851.78,139.59
1505945645000,45663.08,121.48
1505945745000,44907.42,104.84
1505945845000,33404.78,28.64
1505945945000,34550.27,24.89
1505946045000,35692.19,24.38
1505946145000,36078.50,27.24
1505946245000,37550.50,31.47
1505946345000,35901.73,11.54
1505946445000,52705.34,87.90
1505946545000,50375.45,104.74
1505946645000,61746.57,142.28
1505946745000,58647.25,131.42
1505946845000,54700.08,119.67
1505946945000,55085.80,125.18
1505947045000,58444.77,144.35
1505947145000,58807.71,127.55
1505947245000,51091.03,83.31
1505947345000,49350.22,76.26
1505947445000,41138.47,22.92
1505947545000,40891.12,22.75
1505947645000,42745.31,20.69
1505947745000,42535.47,20.91
1505947845000,43290.89,21.36
1505947945000,42754.88,12.83
1505948045000,51673.50,59.89
1505948145000,45986.93,36.77
1505948245000,42749.52,3.73
1505948345000,42651.68,3.36
