timestamp_ms,raw_sockets,tcp_sockets,tcp_timewait_sockets,total_sockets,udp_sockets
1505941345000,0,7,140368121167880,630,2
1505941445000,0,7,140368121167876,1034,2
1505941545000,0,6,140368121167872,628,2
1505941645000,0,7,140368121167872,632,2
1505941745000,0,7,140368121167872,628,3
1505941845000,0,11,140368121167873,692,5
1505941945000,0,10,140368121167872,688,5
1505942045000,0,11,140368121167872,1161,10
1505942145000,0,27,140368121167875,1197,10
1505942245000,0,27,140368121167872,1191,10
1505942345000,0,27,140368121167872,1191,10
1505942445000,0,27,140368121167874,1191,10
1505942545000,0,27,140368121167872,1191,10
1505942645000,0,27,140368121167872,1191,10
1505942745000,0,27,140368121167872,1191,10
1505942845000,0,27,140368121168000,1211,10
1505942945000,0,39,140368121168571,1248,10
1505943045000,0,409,140368121168714,1639,10
1505943145000,0,98,140368121169590,1346,10
1505943245000,0,103,140368121170527,1368,10
1505943345000,0,177,140368121170628,1464,10
1505943445000,0,152,140368121170319,1463,10
1505943545000,0,172,140368121169885,1502,10
1505943645000,0,206,140368121169137,1558,10
1505943745000,0,243,140368121168046,1624,10
1505943845000,0,304,140368121167872,1720,11
1505943945000,0,279,140368121173741,1721,10
1505944045000,0,307,140368121169595,1777,10
1505944145000,0,324,140368121172543,1816,10
1505944245000,0,349,140368121171540,1859,10
1505944345000,0,367,140368121171569,1899,10
1505944445000,0,412,140368121172730,1966,10
1505944545000,0,405,140368121172050,1970,10
1505944645000,0,441,140368121167990,2038,10
1505944745000,0,471,140368121167878,2101,10
1505944845000,0,502,140368121167874,2155,10
1505944945000,0,519,140368121170323,2200,10
1505945045000,0,530,140368121174087,2226,10
1505945145000,0,546,140368121174922,2256,10
1505945245000,0,558,140368121173858,2293,10
1505945345000,0,3987,140368121173847,5734,10
1505945445000,0,590,140368121175342,2346,10
1505945545000,0,2867,140368121176368,4644,10
1505945645000,0,618,140368121173844,2408,10
1505945745000,0,631,140368121173788,2426,10
1505945845000,0,655,140368121168543,2480,10
1505945945000,0,669,140368121167877,2520,10
1505946045000,0,698,140368121167873,2576,10
1505946145000,0,714,140368121168118,2615,10
1505946245000,0,3779,140368121169358,5694,10
1505946345000,0,5281,140368121167872,7195,10
1505946445000,0,851,140368121174271,2785,10
1505946545000,0,777,140368121173792,2726,10
1505946645000,0,868,140368121177715,2833,10
1505946745000,0,1460,140368121176881,3432,10
1505946845000,0,811,140368121174306,2796,10
1505946945000,0,816,140368121176059,2805,10
1505947045000,0,2497,140368121178817,4505,10
1505947145000,0,847,140368121178362,2860,10
1505947245000,0,864,140368121172894,2895,10
1505947345000,0,870,140368121174045,2904,10
1505947445000,0,880,140368121168396,2936,10
1505947545000,0,893,140368121168106,2976,10
1505947645000,0,920,140368121168768,3023,10
1505947745000,0,935,140368121168127,3059,10
1505947845000,0,955,140368121167879,3097,10
1505947945000,0,981,140368121167936,3135,10
1505948045000,0,986,140368121172433,3163,10
1505948145000,0,7085,140368121169909,9260,10
1505948245000,0,7091,140368121167872,9269,10
1505948345000,0,7091,140368121167872,9267,10
