timestamp_ms,br0-rx,br0-tx,docker0-rx,docker0-tx,eth0-rx,eth0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,vxlan_sys_4789-rx,vxlan_sys_4789-tx
1505941345000,,,0,0,9.60036864,0.07159808,0.01015808,0.01015808,,,,,,
1505941445000,,,0,0,9.99473152,0.09404416,0.01007616,0.01007616,,,,,,
1505941545000,,,0,0,0.00016384,8.192e-05,0.01007616,0.01007616,,,,,,
1505941645000,,,0,0,0.04005888,0.00794624,0.01007616,0.01007616,,,,,,
1505941745000,,,0,0,0.33988608,0.05947392,0.00999424,0.00999424,,,,,,
1505941845000,0,0,,,20.289536,0.29261824,,,0,0,0,0,0,0
1505941945000,0,0,,,0.07569408,0.01335296,,,0,0,0,0,0,0
1505942045000,0,0,,,12.78984192,0.05832704,,,0,0,0,0,0,0
1505942145000,0,0,,,0.02842624,0.01564672,,,0,0,0,0,0,0
1505942245000,0,0,,,0.03457024,0.01220608,,,0,0,0.00090112,0.00516096,0,0
1505942345000,0,0,,,0.01654784,0.0036864,,,0,0,0,0,0,0
1505942445000,0,0,,,0.01712128,0.00360448,,,0,0,0,0,0,0
1505942545000,0,0,,,0.01630208,0.00360448,,,0,0,0,0,0,0
1505942645000,0,0,,,0.0188416,0.00925696,,,0,0,0,0,0,0
1505942745000,0,0,,,0.01671168,0.0036864,,,0,0,0,0,0,0
1505942845000,0,0,,,0.41517056,0.18284544,,,0,0,0,0,0,0
1505942945000,0,0,,,0.99336192,0.4886528,,,0,0,0,0,0,0
1505943045000,0,0,,,1.07995136,0.4947968,,,0,0,0,0,0,0
1505943145000,0,0,,,1.18063104,0.59539456,,,0,0,0,0,0,0
1505943245000,0,0,,,1.118208,0.66977792,,,0,0,0,0,0,0
1505943345000,0,0,,,0.66101248,0.55263232,,,0,0,0,0,0,0
1505943445000,0,0,,,0.69173248,0.58802176,,,0,0,0,0,0,0
1505943545000,0,0,,,0.50110464,0.39510016,,,0,0,0,0,0,0
1505943645000,0,0,,,0.3735552,0.23232512,,,0,0,0,0,0,0
1505943745000,0,0,,,0.35536896,0.1581056,,,0,0,0,0,0,0
1505943845000,0,0,,,0.40378368,0.18448384,,,0,0,0,0,0,0
1505943945000,0,0,,,2.0078592,1.3418496,,,0,0,0,0,0,0
1505944045000,0,0,,,1.3889536,0.64700416,,,0,0,0,0,0,0
1505944145000,0,0,,,1.7379328,0.9670656,,,0,0,0,0,0,0
1505944245000,0,0,,,1.61857536,0.82608128,,,0,0,0,0,0,0
1505944345000,0,0,,,0.77668352,0.60096512,,,0,0,0,0,0,0
1505944445000,0,0,,,1.00622336,0.8814592,,,0,0,0,0,0,0
1505944545000,0,0,,,0.72957952,0.6156288,,,0,0,0,0,0,0
1505944645000,0,0,,,0.34660352,0.13582336,,,0,0,0,0,0,0
1505944745000,0,0,,,0.35831808,0.13459456,,,0,0,0,0,0,0
1505944845000,0,0,,,0.29990912,0.08380416,,,0,0,0,0,0,0
1505944945000,0,0,,,0.75440128,0.54673408,,,0,0,0,0,0,0
1505945045000,0,0,,,2.03104256,1.23486208,,,0,0,0,0,0,0
1505945145000,0,0,,,1.99368704,1.18767616,,,0,0,0,0,0,0
1505945245000,0,0,,,1.83140352,0.9826304,,,0,0,0,0,0,0
1505945345000,0,0,,,2.07765504,1.25321216,,,0,0,0,0,0,0
1505945445000,0,0,,,0.93896704,0.85426176,,,0,0,0,0,0,0
1505945545000,0,0,,,1.36699904,1.29261568,,,0,0,0,0,0,0
1505945645000,0,0,,,0.80789504,0.71221248,,,0,0,0,0,0,0
1505945745000,0,0,,,0.81051648,0.72491008,,,0,0,0,0,0,0
1505945845000,0,0,,,0.40927232,0.19185664,,,0,0,0,0,0,0
1505945945000,0,0,,,0.36118528,0.14860288,,,0,0,0,0,0,0
1505946045000,0,0,,,0.4005888,0.18481152,,,0,0,0,0,0,0
1505946145000,0,0,,,0.34316288,0.15491072,,,0,0,0,0,0,0
1505946245000,0,0,,,0.67969024,0.5173248,,,0,0,0,0,0,0
1505946345000,0,0,,,0.40771584,0.38764544,,,0,0,0,0,0,0
1505946445000,0,0,,,1.51666688,0.86499328,,,0,0,0,0,0,0
1505946545000,0,0,,,1.91234048,0.99999744,,,0,0,0,0,0,0
1505946645000,0,0,,,2.547712,1.6224256,,,0,0,0,0,0,0
1505946745000,0,0,,,2.34143744,1.40337152,,,0,0,0,0,0,0
1505946845000,0,0,,,1.33054464,0.95379456,,,0,0,0,0,0,0
1505946945000,0,0,,,1.17866496,1.11869952,,,0,0,0,0,0,0
