13.20s of 16.83s total (78.43%)
Dropped 874 nodes (cum <= 0.08s)
      flat  flat%   sum%        cum   cum%
     2.50s 14.85% 14.85%      2.58s 15.33%  syscall.Syscall
     2.21s 13.13% 27.99%      2.21s 13.13%  math/big.addMulVVW
     1.04s  6.18% 34.17%      1.68s  9.98%  runtime.scanobject
     0.69s  4.10% 38.27%      0.69s  4.10%  runtime.memmove
     0.64s  3.80% 42.07%      3.23s 19.19%  math/big.nat.montgomery
     0.60s  3.57% 45.63%      0.60s  3.57%  runtime.memclrNoHeapPointers
     0.49s  2.91% 48.54%      0.49s  2.91%  runtime.futex
     0.44s  2.61% 51.16%      0.44s  2.61%  runtime.greyobject
     0.44s  2.61% 53.77%      0.46s  2.73%  syscall.Syscall6
     0.36s  2.14% 55.91%      1.31s  7.78%  runtime.mallocgc
     0.30s  1.78% 57.69%      0.30s  1.78%  vendor/golang_org/x/crypto/curve25519.ladderstep
     0.24s  1.43% 59.12%      0.24s  1.43%  encoding/json.stateInString
     0.24s  1.43% 60.55%      0.70s  4.16%  math/big.nat.divLarge
     0.24s  1.43% 61.97%      0.86s  5.11%  runtime.gentraceback
     0.23s  1.37% 63.34%      0.23s  1.37%  runtime.heapBitsForObject
     0.21s  1.25% 64.59%      0.21s  1.25%  math/big.mulAddVWW
     0.20s  1.19% 65.78%      0.20s  1.19%  runtime.readvarint
     0.14s  0.83% 66.61%      0.42s  2.50%  runtime.pcvalue
     0.13s  0.77% 67.38%      0.15s  0.89%  runtime.heapBitsSetType
     0.10s  0.59% 67.97%      0.10s  0.59%  runtime.aeshashbody
     0.09s  0.53% 68.51%      0.09s  0.53%  runtime.findfunc
     0.09s  0.53% 69.04%      0.09s  0.53%  runtime.lock
     0.09s  0.53% 69.58%      0.35s  2.08%  runtime.mapassign
     0.07s  0.42% 69.99%      0.93s  5.53%  encoding/json.(*decodeState).object
     0.07s  0.42% 70.41%      0.13s  0.77%  math/big.(*Int).Add
     0.07s  0.42% 70.83%      0.42s  2.50%  runtime.findrunnable
     0.07s  0.42% 71.24%      1.78s 10.58%  runtime.gcDrain
     0.06s  0.36% 71.60%      0.38s  2.26%  encoding/json.(*Decoder).readValue
     0.06s  0.36% 71.95%      0.25s  1.49%  encoding/json.(*decodeState).scanWhile
     0.06s  0.36% 72.31%      3.30s 19.61%  math/big.nat.expNNMontgomery
     0.06s  0.36% 72.67%      0.26s  1.54%  runtime.step
     0.05s   0.3% 72.96%      0.09s  0.53%  runtime.evacuate
     0.05s   0.3% 73.26%      0.11s  0.65%  strings.FieldsFunc
     0.04s  0.24% 73.50%      0.85s  5.05%  math/big.(*Int).GCD
     0.04s  0.24% 73.74%      0.12s  0.71%  runtime.runqgrab
     0.04s  0.24% 73.98%      0.10s  0.59%  runtime.typedmemmove
     0.04s  0.24% 74.21%      0.12s  0.71%  sync.(*Pool).Put
     0.03s  0.18% 74.39%      0.17s  1.01%  math/big.(*Int).Mul
     0.03s  0.18% 74.57%      0.17s  1.01%  runtime.adjustframe
     0.03s  0.18% 74.75%      0.19s  1.13%  runtime.slicebytetostring
     0.02s  0.12% 74.87%      0.10s  0.59%  bufio.(*Reader).fill
     0.02s  0.12% 74.99%      0.30s  1.78%  bufio.(*Writer).Flush
     0.02s  0.12% 75.10%      1.01s  6.00%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
     0.02s  0.12% 75.22%      0.45s  2.67%  math/big.(*Int).QuoRem
     0.02s  0.12% 75.34%      0.17s  1.01%  math/big.basicMul
     0.02s  0.12% 75.46%      0.13s  0.77%  math/big.nat.mulAddWW
     0.02s  0.12% 75.58%      0.09s  0.53%  net/http.(*persistConn).Read
     0.02s  0.12% 75.70%      0.32s  1.90%  runtime.(*mcentral).cacheSpan
     0.02s  0.12% 75.82%      0.11s  0.65%  runtime.(*mspan).sweep
     0.02s  0.12% 75.94%      0.44s  2.61%  runtime.newobject
     0.02s  0.12% 76.05%      0.52s  3.09%  runtime.schedule
     0.02s  0.12% 76.17%      0.34s  2.02%  runtime.selectgoImpl
     0.02s  0.12% 76.29%      0.13s  0.77%  runtime.sweepone
     0.02s  0.12% 76.41%      0.09s  0.53%  syscall.BytePtrFromString
     0.01s 0.059% 76.47%      0.23s  1.37%  bytes.(*Buffer).ReadFrom
     0.01s 0.059% 76.53%      0.09s  0.53%  crypto/tls.(*Conn).readRecord
     0.01s 0.059% 76.59%      0.09s  0.53%  crypto/tls.(*listener).Accept
     0.01s 0.059% 76.65%      5.09s 30.24%  crypto/tls.(*serverHandshakeState).doFullHandshake
     0.01s 0.059% 76.71%      0.31s  1.84%  encoding/binary.Write
     0.01s 0.059% 76.77%      0.94s  5.59%  encoding/json.(*decodeState).value
     0.01s 0.059% 76.83%      0.70s  4.16%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ContainerList
     0.01s 0.059% 76.89%      0.59s  3.51%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*MemoryGroup).GetStats
     0.01s 0.059% 76.95%      0.42s  2.50%  github.com/openshift/origin/vendor/google.golang.org/grpc.invoke
     0.01s 0.059% 77.01%      0.12s  0.71%  github.com/openshift/origin/vendor/google.golang.org/grpc.protoCodec.Unmarshal
     0.01s 0.059% 77.06%      0.14s  0.83%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/httpstream/spdy.(*connWrapper).Write
     0.01s 0.059% 77.12%      1.31s  7.78%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.JitterUntil.func1
     0.01s 0.059% 77.18%      0.38s  2.26%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.(*dockerService).ListContainers
     0.01s 0.059% 77.24%      0.73s  4.34%  io/ioutil.ReadFile
     0.01s 0.059% 77.30%      0.71s  4.22%  math/big.nat.div
     0.01s 0.059% 77.36%      3.77s 22.40%  math/big.nat.expNN
     0.01s 0.059% 77.42%      0.33s  1.96%  math/big.nat.mul
     0.01s 0.059% 77.48%      0.21s  1.25%  net/http.(*Transport).RoundTrip
     0.01s 0.059% 77.54%      0.75s  4.46%  os.Lstat
     0.01s 0.059% 77.60%      0.40s  2.38%  runtime.(*mcache).nextFree
     0.01s 0.059% 77.66%      0.30s  1.78%  runtime.(*mheap).alloc
     0.01s 0.059% 77.72%      0.19s  1.13%  runtime.chansend
     0.01s 0.059% 77.78%      0.53s  3.15%  runtime.copystack
     0.01s 0.059% 77.84%      0.53s  3.15%  runtime.makeslice
     0.01s 0.059% 77.90%      0.54s  3.21%  runtime.mcall
     0.01s 0.059% 77.96%      0.15s  0.89%  runtime.newarray
     0.01s 0.059% 78.02%      0.10s  0.59%  runtime.newproc1
     0.01s 0.059% 78.07%      0.13s  0.77%  runtime.notesleep
     0.01s 0.059% 78.13%      0.14s  0.83%  runtime.rawstringtmp
     0.01s 0.059% 78.19%      0.31s  1.84%  runtime.saveblockevent
     0.01s 0.059% 78.25%      0.20s  1.19%  runtime.send
     0.01s 0.059% 78.31%      0.41s  2.44%  syscall.Write
     0.01s 0.059% 78.37%      0.44s  2.61%  syscall.openat
     0.01s 0.059% 78.43%      0.31s  1.84%  vendor/golang_org/x/crypto/curve25519.mladder
         0     0% 78.43%      0.12s  0.71%  bufio.(*Reader).Read
         0     0% 78.43%      0.97s  5.76%  bufio.(*Scanner).Scan
         0     0% 78.43%      0.15s  0.89%  compress/flate.NewWriter
         0     0% 78.43%      0.16s  0.95%  compress/flate.NewWriterDict
         0     0% 78.43%      0.16s  0.95%  compress/zlib.(*Writer).Write
         0     0% 78.43%      0.16s  0.95%  compress/zlib.(*Writer).writeHeader
         0     0% 78.43%      4.40s 26.14%  crypto/rsa.(*PrivateKey).Sign
         0     0% 78.43%      4.40s 26.14%  crypto/rsa.SignPKCS1v15
         0     0% 78.43%      0.24s  1.43%  crypto/rsa.VerifyPKCS1v15
         0     0% 78.43%      4.28s 25.43%  crypto/rsa.decrypt
         0     0% 78.43%      4.40s 26.14%  crypto/rsa.decryptAndCheck
         0     0% 78.43%      0.35s  2.08%  crypto/rsa.encrypt
         0     0% 78.43%      0.85s  5.05%  crypto/rsa.modInverse
         0     0% 78.43%      5.15s 30.60%  crypto/tls.(*Conn).Handshake
         0     0% 78.43%      0.15s  0.89%  crypto/tls.(*Conn).Write
         0     0% 78.43%      5.15s 30.60%  crypto/tls.(*Conn).serverHandshake
         0     0% 78.43%      0.13s  0.77%  crypto/tls.(*Conn).write
         0     0% 78.43%      0.19s  1.13%  crypto/tls.(*Conn).writeRecordLocked
         0     0% 78.43%      4.56s 27.09%  crypto/tls.(*ecdheKeyAgreement).generateServerKeyExchange
         0     0% 78.43%      0.17s  1.01%  crypto/tls.(*ecdheKeyAgreement).processClientKeyExchange
         0     0% 78.43%      0.14s  0.83%  crypto/x509.(*CertPool).findVerifiedParents
         0     0% 78.43%      0.13s  0.77%  crypto/x509.(*Certificate).CheckSignature
         0     0% 78.43%      0.13s  0.77%  crypto/x509.(*Certificate).CheckSignatureFrom
         0     0% 78.43%      0.14s  0.83%  crypto/x509.(*Certificate).Verify
         0     0% 78.43%      0.14s  0.83%  crypto/x509.(*Certificate).buildChains
         0     0% 78.43%      0.13s  0.77%  crypto/x509.checkSignature
         0     0% 78.43%      1.32s  7.84%  encoding/json.(*Decoder).Decode
         0     0% 78.43%      0.18s  1.07%  encoding/json.(*Decoder).refill
         0     0% 78.43%      0.58s  3.45%  encoding/json.(*decodeState).array
         0     0% 78.43%      0.12s  0.71%  encoding/json.(*decodeState).indirect
         0     0% 78.43%      0.32s  1.90%  encoding/json.(*decodeState).literal
         0     0% 78.43%      0.21s  1.25%  encoding/json.(*decodeState).literalStore
         0     0% 78.43%      0.94s  5.59%  encoding/json.(*decodeState).unmarshal
