212.63MB of 219.62MB total (96.82%)
Dropped 1669 nodes (cum <= 1.10MB)
      flat  flat%   sum%        cum   cum%
  111.02MB 50.55% 50.55%   113.17MB 51.53%  runtime.mapassign
      45MB 20.49% 71.04%       45MB 20.49%  runtime.rawstringtmp
      19MB  8.65% 79.70%       19MB  8.65%  runtime.makemap
   17.61MB  8.02% 87.71%    17.61MB  8.02%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
    5.46MB  2.49% 90.20%     5.46MB  2.49%  bytes.makeSlice
    5.06MB  2.30% 92.50%     5.06MB  2.30%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    4.73MB  2.16% 94.66%    48.74MB 22.19%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
    2.15MB  0.98% 95.64%     2.15MB  0.98%  runtime.hashGrow
    1.58MB  0.72% 96.36%     1.58MB  0.72%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.50MB  0.23% 96.59%     5.56MB  2.53%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
    0.50MB  0.23% 96.82%   143.63MB 65.40%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
         0     0% 96.82%     3.93MB  1.79%  bytes.(*Buffer).ReadFrom
         0     0% 96.82%     1.54MB   0.7%  bytes.(*Buffer).WriteString
         0     0% 96.82%     1.54MB   0.7%  bytes.(*Buffer).grow
         0     0% 96.82%     1.51MB  0.69%  github.com/openshift/origin/pkg/client/testclient.init
         0     0% 96.82%     3.01MB  1.37%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0% 96.82%    10.44MB  4.75%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0% 96.82%     4.92MB  2.24%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0% 96.82%     2.01MB  0.92%  github.com/openshift/origin/pkg/cmd/util/clientcmd.init
         0     0% 96.82%     3.01MB  1.37%  github.com/openshift/origin/pkg/oc/cli/cmd.init
         0     0% 96.82%     2.01MB  0.92%  github.com/openshift/origin/pkg/oc/cli/describe.init
         0     0% 96.82%     1.51MB  0.69%  github.com/openshift/origin/pkg/security/legacyclient.init
