31.20s of 38.78s total (80.45%)
Dropped 1079 nodes (cum <= 0.19s)
      flat  flat%   sum%        cum   cum%
     7.48s 19.29% 19.29%      7.76s 20.01%  syscall.Syscall
     5.21s 13.43% 32.72%      5.21s 13.43%  math/big.addMulVVW
     3.26s  8.41% 41.13%      5.58s 14.39%  runtime.scanobject
     1.65s  4.25% 45.38%      1.65s  4.25%  runtime.greyobject
     1.48s  3.82% 49.20%      7.30s 18.82%  math/big.nat.montgomery
     1.27s  3.27% 52.48%      1.27s  3.27%  runtime.memclrNoHeapPointers
     1.17s  3.02% 55.49%      1.17s  3.02%  runtime.futex
     1.07s  2.76% 58.25%      1.07s  2.76%  runtime.memmove
     0.76s  1.96% 60.21%      2.72s  7.01%  runtime.mallocgc
     0.75s  1.93% 62.15%      0.75s  1.93%  runtime.heapBitsForObject
     0.68s  1.75% 63.90%      0.72s  1.86%  syscall.Syscall6
     0.56s  1.44% 65.34%      0.56s  1.44%  vendor/golang_org/x/crypto/curve25519.ladderstep
     0.53s  1.37% 66.71%      1.54s  3.97%  math/big.nat.divLarge
     0.39s  1.01% 67.72%      0.66s  1.70%  strings.FieldsFunc
     0.34s  0.88% 68.59%      0.34s  0.88%  math/big.mulAddVWW
     0.31s   0.8% 69.39%      0.40s  1.03%  runtime.heapBitsSetType
     0.30s  0.77% 70.17%      0.30s  0.77%  runtime.readvarint
     0.25s  0.64% 70.81%      0.75s  1.93%  runtime.mapassign
     0.24s  0.62% 71.43%      0.24s  0.62%  crypto/sha256.block
     0.23s  0.59% 72.02%      1.28s  3.30%  runtime.gentraceback
     0.22s  0.57% 72.59%      0.37s  0.95%  encoding/json.(*decodeState).scanWhile
     0.18s  0.46% 73.05%      1.58s  4.07%  encoding/json.(*decodeState).object
     0.16s  0.41% 73.47%      0.46s  1.19%  runtime.step
     0.14s  0.36% 73.83%      5.79s 14.93%  runtime.gcDrain
     0.14s  0.36% 74.19%      0.70s  1.81%  runtime.pcvalue
     0.13s  0.34% 74.52%      0.55s  1.42%  encoding/json.(*Decoder).readValue
     0.13s  0.34% 74.86%      0.82s  2.11%  runtime.selectgoImpl
     0.12s  0.31% 75.17%      1.80s  4.64%  math/big.(*Int).GCD
     0.11s  0.28% 75.45%      0.43s  1.11%  runtime.adjustframe
     0.09s  0.23% 75.68%      0.22s  0.57%  math/big.nat.add
     0.09s  0.23% 75.92%      0.22s  0.57%  sync.(*Pool).Get
     0.08s  0.21% 76.12%      0.30s  0.77%  math/big.(*Int).Add
     0.08s  0.21% 76.33%      7.44s 19.19%  math/big.nat.expNNMontgomery
     0.07s  0.18% 76.51%      0.93s  2.40%  math/big.(*Int).QuoRem
     0.07s  0.18% 76.69%      1.63s  4.20%  math/big.nat.div
     0.07s  0.18% 76.87%      0.89s  2.29%  runtime.findrunnable
     0.07s  0.18% 77.05%      1.02s  2.63%  runtime.newobject
     0.06s  0.15% 77.20%      0.59s  1.52%  math/big.nat.mul
     0.06s  0.15% 77.36%      0.22s  0.57%  runtime.sweepone
